repo_full,split,detector_family,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,total_weeks,evaluable_weeks,excluded_weeks,alarm_weeks,alarm_prevalence,episode_count,total_episode_weeks,median_episode_duration_weeks,maximum_episode_duration_weeks,median_alarm_magnitude,maximum_alarm_magnitude,external_scoring_eligible,interpretation
containerd/containerd,external_evaluation,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,46,46,0,1,0.021739130434782608,1,1,1.0,1.0,2.974593871370561,2.974593871370561,True,"detector signal, not ground truth"
docker/cli,holdout,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,19,19,0,4,0.21052631578947367,2,4,2.0,3.0,3.599217104326706,7.613700577630863,False,"detector signal, not ground truth"
docker/cli,purge,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,4,4,0,1,0.25,1,1,1.0,1.0,3.6235252024070355,3.6235252024070355,False,"detector signal, not ground truth"
docker/cli,train,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,36,23,13,7,0.30434782608695654,2,7,3.5,6.0,4.292031240894815,8.28060684258533,False,"detector signal, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,46,46,0,4,0.08695652173913043,4,4,1.0,1.0,4.40291960551512,6.062614071859863,True,"detector signal, not ground truth"
prometheus/prometheus,holdout,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,19,19,0,0,0.0,0,0,,,,,False,"detector signal, not ground truth"
prometheus/prometheus,purge,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,4,4,0,2,0.5,1,2,2.0,2.0,2.895804873932187,2.91877628114748,False,"detector signal, not ground truth"
prometheus/prometheus,train,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,36,23,13,0,0.0,0,0,,,,,False,"detector signal, not ground truth"
pytest-dev/pytest,external_evaluation,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,46,46,0,12,0.2608695652173913,4,12,3.0,5.0,4.723671904698111,18.618504091513024,True,"detector signal, not ground truth"
tektoncd/pipeline,holdout,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,19,19,0,3,0.15789473684210525,2,3,1.5,2.0,4.380642499777606,13.122197304536538,False,"detector signal, not ground truth"
tektoncd/pipeline,purge,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,4,4,0,2,0.5,2,2,1.0,1.0,8.896807591828338,10.80790937171276,False,"detector signal, not ground truth"
tektoncd/pipeline,train,causal_rolling_mad,latency_log,latency_log,13,primary,2.5,sensitivity,1,sensitivity,36,23,13,2,0.08695652173913043,2,2,1.0,1.0,14.35100245350484,25.84740378940678,False,"detector signal, not ground truth"
