repo_full,split,weeks,attempts_total,logical_run_n,outcome_n,latency_n,failure_count,rerun_count,failed_then_passed_count,feedback_latency_min_median,feedback_latency_min_iqr,feedback_latency_min_minimum,feedback_latency_min_maximum,feedback_latency_min_p90,queue_latency_min_median,execution_span_min_median,failure_rate_median,failure_rate_iqr,failure_rate_minimum,failure_rate_maximum,rerun_rate_median,rerun_rate_iqr,rerun_rate_minimum,rerun_rate_maximum,workflow_adjusted_latency_log_median,workflow_adjusted_latency_log_iqr,workflow_adjusted_latency_log_minimum,workflow_adjusted_latency_log_maximum,latency_log_missing_weeks,latency_log_missing_percent,failure_rate_missing_weeks,failure_rate_missing_percent,rerun_rate_missing_weeks,rerun_rate_missing_percent,low_outcome_support_weeks,low_outcome_support_percent,low_latency_support_weeks,low_latency_support_percent,any_low_support_weeks,any_low_support_percent
containerd/containerd,external,59,27382,25900,27049,27034,6510,1197,983,20.4,28.0,0.1,94.46666666666668,40.68333333333333,0.0333333333333333,20.53333333333333,0.2318840579710145,0.05552503777590506,0.1577287066246056,0.3904761904761905,0.0477137176938369,0.01989807296679065,0.0117647058823529,0.0969529085872576,-3.865728077368781e-05,0.02883944387039855,-0.0579401002420761,0.0750063016534093,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
docker/cli,holdout,19,4956,4211,3952,3945,618,729,87,1.6333333333333333,2.566666666666667,0.0666666666666666,254.61666666666667,4.233333333333333,0.05,1.6,0.161214953271028,0.08488533457691111,0.028169014084507,0.7352941176470589,0.1513157894736842,0.17171514837277013,0.0,0.4420289855072464,0.0787508775360808,0.0448486777559831,0.0431401862523743,0.27013840519323,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
docker/cli,purge,4,755,635,641,641,92,115,22,1.6833333333333331,2.433333333333333,0.0833333333333333,17.333333333333332,4.133333333333334,0.05,1.65,0.14585241730279896,0.008633445959652764,0.1233766233766233,0.1530249110320284,0.18685976686683148,0.23631370015090136,0.0785714285714285,0.5342465753424658,0.00815863982619635,0.025182283454258374,-0.0051052937946782,0.0390847223339058,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
docker/cli,train,36,10747,10057,10239,10239,1752,634,441,1.7166666666666666,2.283333333333333,0.0666666666666666,89.01666666666667,4.233333333333333,0.05,1.6833333333333331,0.15964912280701749,0.07469032306625321,0.0416666666666666,0.303030303030303,0.06222982708933715,0.04410453137220473,0.0248667850799289,1.0,-0.0001971217406579,0.0358264600831315,-0.0289498974796126,0.0601867524451083,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
helm/helm,external,59,8265,7418,7032,7015,675,841,8,3.883333333333333,2.866666666666667,0.0666666666666666,20.9,5.916666666666667,0.05,3.816666666666667,0.0833333333333333,0.07330035266457685,0.0,0.2450980392156862,0.125,0.15390856695204524,0.0,0.4545454545454545,-0.0023896365186728,0.05075883308868085,-0.2131263230147938,0.0832045786788483,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
prometheus/prometheus,holdout,19,14680,14435,11949,11946,1859,218,179,0.4166666666666667,6.383333333333333,0.0833333333333333,89.13333333333334,24.85,0.0333333333333333,0.2,0.1480263157894736,0.0753785139900062,0.0949796472184531,0.2644508670520231,0.016638935108153,0.013897525499638151,0.0055325034578146,0.0374707259953161,0.0864222243685279,0.11739388310135392,-0.028765130267574,0.1798865569787189,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
prometheus/prometheus,purge,4,3026,2936,2350,2350,545,69,56,0.5,27.020833333333336,0.0833333333333333,225.7333333333333,29.28333333333333,0.0333333333333333,0.45,0.21882844860047695,0.012476124474485206,0.2176759410801964,0.262002743484225,0.023140131473464748,0.005391153267892079,0.0187431091510474,0.0310965630114566,0.1542321356519894,0.0073632539879791015,0.1487726732945583,0.1610927183054395,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
prometheus/prometheus,train,36,19897,19567,15112,15109,3925,275,203,0.5666666666666667,15.316666666666668,0.0666666666666666,365.0833333333333,21.386666666666677,0.0333333333333333,0.4666666666666667,0.26163342830009495,0.06893918491154924,0.171875,0.4135593220338983,0.0105539249359895,0.009843117665105176,0.0,0.0398936170212766,0.0587704460120476,0.07752764104516768,-0.0443102466138947,0.2639706786146252,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pytest-dev/pytest,external,59,2898,2847,1980,1979,302,46,19,15.016666666666667,4.274999999999999,0.0833333333333333,100.41666666666669,25.893333333333334,0.05,14.866666666666667,0.1428571428571428,0.10188997993876041,0.0,0.5625,0.0,0.031229773462783147,0.0,0.0769230769230769,0.0265527809032604,0.09863205797886035,-0.0535790573019987,0.576187679841003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tektoncd/pipeline,holdout,19,16242,14868,14758,14062,2071,1210,269,2.6,11.045833333333336,0.25,834.35,45.798333333333325,0.2333333333333333,0.6166666666666667,0.1304347826086956,0.06531561986533516,0.0835734870317002,0.3163934426229508,0.0815569972196478,0.051257153222969955,0.0249343832020997,0.1769436997319035,0.2081347660028228,0.24200934760140433,-0.0050195316322097,1.287197013577207,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
