repo_full,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,merged_pr_count,pr_cycle_hours_median,qualified_review_latency_hours_median,reviewed_pr_n,churn_median,changed_files_median,commits_median,created_pr_count,workflow_count,workflow_concentration_hhi,release_count,split,external_calibration,external_evaluation_eligible,workflow_adjusted_latency_log,latency_log_raw,latency_log,low_outcome_support,low_latency_support,missing_core_metric_count
docker/cli,2025-06-23,50,46,10,0.217391304347826,46,1.7083333333333333,4.1,0.05,1.6833333333333331,48,2,0.0416666666666666,2,2,1.0,3,16.985833333333332,0.9891666666666666,3,8.0,3.0,1.0,3,6.0,0.1776,,train,False,False,-0.0190333191692831,0.9963334395476916,-0.0190333191692831,False,False,0
docker/cli,2025-06-30,115,106,15,0.1415094339622641,106,1.7583333333333333,4.175000000000001,0.05,1.725,111,4,0.036036036036036,4,4,1.0,5,28.87388888888889,25.284166666666668,5,8.0,1.0,1.0,8,6.0,0.1803402646502835,,train,False,False,-0.0289498974796126,1.0146266325950168,-0.0289498974796126,False,False,0
docker/cli,2025-07-07,258,247,50,0.2024291497975708,247,1.8666666666666667,4.266666666666667,0.05,1.8333333333333333,241,16,0.0663900414937759,17,14,0.875,6,5.342083333333333,3.912361111111111,6,13.0,2.5,1.0,13,6.0,0.169370831079863,,train,False,False,-0.0130952877884189,1.0531499145913523,-0.0130952877884189,False,False,0
docker/cli,2025-07-14,252,246,54,0.2195121951219512,246,1.7,4.258333333333333,0.05,1.6833333333333331,235,16,0.0680851063829787,17,11,0.6875,18,30.65652777777778,18.183611111111112,18,36.0,4.5,1.0,14,6.0,0.1821932476694381,,train,False,False,-0.0126878365461745,0.9932517730102832,-0.0126878365461745,False,False,0
docker/cli,2025-07-21,441,384,97,0.2526041666666667,384,1.8833333333333333,4.316666666666666,0.0333333333333333,1.8333333333333333,392,45,0.1147959183673469,49,14,0.3111111111111111,11,18.70583333333333,8.537777777777778,11,172.0,9.0,1.0,18,6.0,0.1687722708130871,,train,False,False,-0.0188548188877526,1.0589470322756782,-0.0188548188877526,False,False,0
docker/cli,2025-07-28,404,381,90,0.2362204724409448,381,1.8166666666666669,4.333333333333333,0.0333333333333333,1.7833333333333334,370,31,0.0837837837837837,34,17,0.5483870967741935,12,5.120555555555556,3.839027777777778,12,33.5,8.0,1.0,17,6.0,0.1689050093128124,,train,False,False,-0.0159286034079953,1.0355541527009726,-0.0159286034079953,False,False,0
docker/cli,2025-08-04,293,281,51,0.1814946619217081,281,1.8833333333333333,4.316666666666666,0.05,1.8333333333333333,262,22,0.0839694656488549,31,18,0.8181818181818182,16,13.337916666666668,6.287638888888889,16,66.5,7.0,1.0,13,6.0,0.1847546273107432,,train,False,False,-0.0014341722822259,1.0589470322756782,-0.0014341722822259,False,False,0
docker/cli,2025-08-11,476,464,73,0.1573275862068965,464,1.6833333333333331,4.3116666666666665,0.05,1.6666666666666667,448,28,0.0625,28,27,0.9642857142857144,23,16.439722222222223,8.446666666666667,23,31.0,2.0,1.0,28,6.0,0.2162629757785467,,train,False,False,0.0069385725630481,0.9870598027623624,0.0069385725630481,False,False,0
docker/cli,2025-08-18,1455,1392,226,0.1623563218390804,1392,1.65,4.25,0.05,1.6166666666666667,1369,79,0.0577063550036523,86,58,0.7341772151898734,69,2.24,1.6680555555555556,69,34.0,2.0,1.0,77,6.0,0.2442800628240101,,train,False,False,-0.0042854959739401,0.9745596399981308,-0.0042854959739401,False,False,0
docker/cli,2025-08-25,762,743,103,0.1386271870794078,743,1.65,4.283333333333333,0.05,1.6333333333333333,716,42,0.0586592178770949,46,41,0.9761904761904762,42,6.724305555555556,6.515000000000001,42,47.5,3.5,1.0,41,6.0,0.2309883508655906,,train,False,False,-0.0092388320954279,0.9745596399981308,-0.0092388320954279,False,False,0
