repo_full,evaluation_population,detector_family,detector_variant,metric,start_week,end_week,left_censored,right_censored,observed_duration_weeks,median_magnitude,maximum_magnitude,attempts_total_sum,outcome_n_sum,latency_n_sum,logical_run_n_sum,minimum_attempts_total,minimum_outcome_n,minimum_latency_n,minimum_logical_run_n,median_workflow_count,maximum_workflow_concentration_hhi,low_support_week_count,missing_core_metric_week_count,interpretation
containerd/containerd,external_evaluation,causal_rolling_mad,failure_rate,failure_rate,2026-03-02,2026-03-02,False,False,1,3.921574809606326,3.921574809606326,543,542,542,516,543,542,542,516,7.0,0.246176856628308,0,0,"candidate detector episode, not ground truth"
containerd/containerd,external_evaluation,causal_rolling_mad,union,composite,2026-03-02,2026-03-02,False,False,1,3.921574809606326,3.921574809606326,543,542,542,516,543,542,542,516,7.0,0.246176856628308,0,0,"candidate detector episode, not ground truth"
containerd/containerd,external_evaluation,causal_rolling_mad,union,composite,2026-05-11,2026-05-11,False,False,1,3.045500744892069,3.045500744892069,398,384,378,365,398,384,378,365,4.0,0.2594505189262897,0,0,"candidate detector episode, not ground truth"
docker/cli,holdout,causal_rolling_mad,latency_log,latency_log,2026-04-27,2026-04-27,False,False,1,4.046661106621476,4.046661106621476,34,34,34,34,34,34,34,34,7.0,0.4065743944636678,0,0,"candidate detector episode, not ground truth"
docker/cli,holdout,causal_rolling_mad,union,composite,2026-04-20,2026-04-27,False,False,2,10.742806658797567,18.3338402155632,384,338,338,338,34,34,34,34,7.0,0.4065743944636678,0,0,"candidate detector episode, not ground truth"
docker/cli,holdout,mewma,mewma,composite,2026-04-06,2026-08-03,False,True,18,3.278761470391218,5.2480557201411315,4588,3605,3598,3870,34,34,34,34,9.0,0.4065743944636678,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,failure_rate,failure_rate,2026-03-02,2026-03-02,False,False,1,3.159802864546907,3.159802864546907,80,71,71,71,80,71,71,71,4.0,0.28,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,rerun_rate,rerun_rate,2025-12-01,2025-12-01,False,False,1,3.4391616746938367,3.4391616746938367,78,63,63,63,78,63,63,63,3.0,0.3333333333333333,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,rerun_rate,rerun_rate,2025-12-29,2025-12-29,False,False,1,3.839408938559086,3.839408938559086,27,21,21,21,27,21,21,21,3.0,0.3333333333333333,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,union,composite,2025-12-01,2025-12-01,False,False,1,3.4391616746938367,3.4391616746938367,78,63,63,63,78,63,63,63,3.0,0.3333333333333333,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,union,composite,2025-12-29,2025-12-29,False,False,1,3.839408938559086,3.839408938559086,27,21,21,21,27,21,21,21,3.0,0.3333333333333333,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,union,composite,2026-03-02,2026-03-09,False,False,2,4.062488681224389,4.965174497901871,244,223,223,223,80,71,71,71,4.0,0.2836109458655562,0,0,"candidate detector episode, not ground truth"
helm/helm,external_evaluation,causal_rolling_mad,union,composite,2026-04-20,2026-04-20,False,False,1,4.423865863625892,4.423865863625892,108,102,102,102,108,102,102,102,4.0,0.2541152263374486,0,0,"candidate detector episode, not ground truth"
pytest-dev/pytest,external_evaluation,causal_rolling_mad,latency_log,latency_log,2025-11-10,2025-11-17,False,False,2,16.462373774329574,18.618504091513024,175,100,100,174,59,35,35,58,1.0,1.0,0,0,"candidate detector episode, not ground truth"
pytest-dev/pytest,external_evaluation,causal_rolling_mad,latency_log,latency_log,2026-02-09,2026-02-16,False,False,2,4.3794167915312245,5.649246974127741,95,72,72,90,45,34,34,42,1.0,1.0,0,0,"candidate detector episode, not ground truth"
pytest-dev/pytest,external_evaluation,causal_rolling_mad,latency_log,latency_log,2026-07-27,2026-08-03,False,True,2,4.723671904698111,4.898825432958944,143,113,113,139,31,28,28,29,1.0,1.0,0,0,"candidate detector episode, not ground truth"
pytest-dev/pytest,external_evaluation,causal_rolling_mad,union,composite,2026-07-27,2026-08-03,False,True,2,4.723671904698111,4.898825432958944,143,113,113,139,31,28,28,29,1.0,1.0,0,0,"candidate detector episode, not ground truth"
pytest-dev/pytest,external_evaluation,mewma,mewma,composite,2025-11-17,2025-11-24,False,False,2,1.435689503055737,1.8345861105836774,90,60,60,89,31,25,25,31,1.0,1.0,0,0,"candidate detector episode, not ground truth"
pytest-dev/pytest,external_evaluation,mewma,mewma,composite,2026-08-03,2026-08-03,False,True,1,1.071578367162262,1.071578367162262,31,28,28,29,31,28,28,29,1.0,1.0,0,0,"candidate detector episode, not ground truth"
tektoncd/pipeline,holdout,causal_rolling_mad,failure_rate,failure_rate,2026-04-27,2026-04-27,False,False,1,7.072157418804079,7.072157418804079,638,610,491,596,638,610,491,596,7.0,0.2703786322854531,0,0,"candidate detector episode, not ground truth"
tektoncd/pipeline,holdout,causal_rolling_mad,latency_log,latency_log,2026-04-20,2026-04-20,False,False,1,13.122197304536538,13.122197304536538,1076,1038,887,1026,1076,1038,887,1026,7.0,0.2937666698912397,0,0,"candidate detector episode, not ground truth"
tektoncd/pipeline,holdout,causal_rolling_mad,union,composite,2026-04-06,2026-04-27,False,False,4,5.407092250841847,13.122197304536538,3289,3103,2808,3058,401,382,368,371,7.0,0.2937666698912397,0,0,"candidate detector episode, not ground truth"
tektoncd/pipeline,holdout,mewma,mewma,composite,2026-03-30,2026-03-30,False,False,1,1.0025199778285796,1.0025199778285796,867,807,804,808,867,807,804,808,7.0,0.2052856966112315,0,0,"candidate detector episode, not ground truth"
tektoncd/pipeline,holdout,mewma,mewma,composite,2026-04-13,2026-07-20,False,False,15,3.3250028701205148,4.421880930499049,13231,12116,11489,12034,391,347,342,378,7.0,0.2975920672261669,0,0,"candidate detector episode, not ground truth"
