repo_full,evaluation_population,mad_variant,mewma_variant,both_evaluable_weeks,both_alarm_weeks,neither_alarm_weeks,mad_only_alarm_weeks,mewma_only_alarm_weeks,observed_agreement,jaccard_alarm_overlap,interpretation
containerd/containerd,external_evaluation,failure_rate,mewma,45,0,44,1,0,0.9777777777777777,0.0,"detector agreement, not ground truth"
containerd/containerd,external_evaluation,latency_log,mewma,45,0,45,0,0,1.0,,"detector agreement, not ground truth"
containerd/containerd,external_evaluation,rerun_rate,mewma,45,0,45,0,0,1.0,,"detector agreement, not ground truth"
containerd/containerd,external_evaluation,two_of_three,mewma,45,0,45,0,0,1.0,,"detector agreement, not ground truth"
containerd/containerd,external_evaluation,union,mewma,45,0,43,2,0,0.9555555555555556,0.0,"detector agreement, not ground truth"
docker/cli,holdout,failure_rate,mewma,19,0,1,0,18,0.05263157894736842,0.0,"detector agreement, not ground truth"
docker/cli,holdout,latency_log,mewma,19,1,1,0,17,0.10526315789473684,0.05555555555555555,"detector agreement, not ground truth"
docker/cli,holdout,rerun_rate,mewma,19,0,1,0,18,0.05263157894736842,0.0,"detector agreement, not ground truth"
docker/cli,holdout,two_of_three,mewma,19,0,1,0,18,0.05263157894736842,0.0,"detector agreement, not ground truth"
docker/cli,holdout,union,mewma,19,2,1,0,16,0.15789473684210525,0.1111111111111111,"detector agreement, not ground truth"
helm/helm,external_evaluation,failure_rate,mewma,45,0,44,1,0,0.9777777777777777,0.0,"detector agreement, not ground truth"
helm/helm,external_evaluation,latency_log,mewma,45,0,45,0,0,1.0,,"detector agreement, not ground truth"
helm/helm,external_evaluation,rerun_rate,mewma,45,0,43,2,0,0.9555555555555556,0.0,"detector agreement, not ground truth"
helm/helm,external_evaluation,two_of_three,mewma,45,0,45,0,0,1.0,,"detector agreement, not ground truth"
helm/helm,external_evaluation,union,mewma,45,0,40,5,0,0.8888888888888888,0.0,"detector agreement, not ground truth"
prometheus/prometheus,holdout,failure_rate,mewma,19,0,19,0,0,1.0,,"detector agreement, not ground truth"
prometheus/prometheus,holdout,latency_log,mewma,19,0,19,0,0,1.0,,"detector agreement, not ground truth"
prometheus/prometheus,holdout,rerun_rate,mewma,19,0,19,0,0,1.0,,"detector agreement, not ground truth"
prometheus/prometheus,holdout,two_of_three,mewma,19,0,19,0,0,1.0,,"detector agreement, not ground truth"
prometheus/prometheus,holdout,union,mewma,19,0,19,0,0,1.0,,"detector agreement, not ground truth"
pytest-dev/pytest,external_evaluation,failure_rate,mewma,45,0,42,0,3,0.9333333333333333,0.0,"detector agreement, not ground truth"
pytest-dev/pytest,external_evaluation,latency_log,mewma,45,2,38,4,1,0.8888888888888888,0.2857142857142857,"detector agreement, not ground truth"
pytest-dev/pytest,external_evaluation,rerun_rate,mewma,6,0,5,0,1,0.8333333333333334,0.0,"detector agreement, not ground truth"
pytest-dev/pytest,external_evaluation,two_of_three,mewma,6,0,5,0,1,0.8333333333333334,0.0,"detector agreement, not ground truth"
pytest-dev/pytest,external_evaluation,union,mewma,6,1,4,1,0,0.8333333333333334,0.5,"detector agreement, not ground truth"
tektoncd/pipeline,holdout,failure_rate,mewma,19,1,3,0,15,0.21052631578947367,0.0625,"detector agreement, not ground truth"
tektoncd/pipeline,holdout,latency_log,mewma,19,1,3,0,15,0.21052631578947367,0.0625,"detector agreement, not ground truth"
tektoncd/pipeline,holdout,rerun_rate,mewma,19,0,3,0,16,0.15789473684210525,0.0,"detector agreement, not ground truth"
tektoncd/pipeline,holdout,two_of_three,mewma,19,0,3,0,16,0.15789473684210525,0.0,"detector agreement, not ground truth"
tektoncd/pipeline,holdout,union,mewma,19,3,2,1,13,0.2631578947368421,0.17647058823529413,"detector agreement, not ground truth"
