evidence_domain,repo_full,evaluation_population,detector_family,detector_variant,metric,specification_role,total_weeks,evaluable_weeks,unevaluable_weeks,alarm_weeks,alarm_prevalence,episode_count,complete_episode_count,left_censored_episode_count,right_censored_episode_count,total_observed_episode_weeks,median_observed_duration_weeks,maximum_observed_duration_weeks,median_alarm_magnitude,maximum_alarm_magnitude,attempts_total_sum,outcome_n_sum,latency_n_sum,logical_run_n_sum,synthetic_scenarios,precision,precision_valid_observations,recall,recall_valid_observations,false_alarm_rate,false_alarm_rate_valid_observations,episode_detection_rate,episode_detection_rate_valid_observations,detection_delay_weeks,detection_delay_weeks_valid_observations,boundary_overlap,boundary_overlap_valid_observations,alarm_duration_weeks,alarm_duration_weeks_valid_observations,unevaluable_fraction,unevaluable_fraction_valid_observations
observed_research,containerd/containerd,external_evaluation,causal_rolling_mad,failure_rate,failure_rate,primary,46.0,45.0,1.0,1.0,0.022222222222222223,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.921574809606326,3.921574809606326,21049.0,20767.0,20754.0,19862.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,containerd/containerd,external_evaluation,causal_rolling_mad,latency_log,latency_log,primary,46.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21049.0,20767.0,20754.0,19862.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,containerd/containerd,external_evaluation,causal_rolling_mad,rerun_rate,rerun_rate,primary,46.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21049.0,20767.0,20754.0,19862.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,containerd/containerd,external_evaluation,causal_rolling_mad,two_of_three,composite,primary,46.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21049.0,20767.0,20754.0,19862.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,containerd/containerd,external_evaluation,causal_rolling_mad,union,composite,primary,46.0,45.0,1.0,2.0,0.044444444444444446,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.4835377772491976,3.921574809606326,21049.0,20767.0,20754.0,19862.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,containerd/containerd,external_evaluation,mewma,mewma,composite,primary,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21049.0,20767.0,20754.0,19862.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,docker/cli,holdout,causal_rolling_mad,failure_rate,failure_rate,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4956.0,3952.0,3945.0,4211.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,docker/cli,holdout,causal_rolling_mad,latency_log,latency_log,primary,19.0,19.0,0.0,1.0,0.05263157894736842,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.046661106621476,4.046661106621476,4956.0,3952.0,3945.0,4211.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,docker/cli,holdout,causal_rolling_mad,rerun_rate,rerun_rate,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4956.0,3952.0,3945.0,4211.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,docker/cli,holdout,causal_rolling_mad,two_of_three,composite,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4956.0,3952.0,3945.0,4211.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,docker/cli,holdout,causal_rolling_mad,union,composite,primary,19.0,19.0,0.0,2.0,0.10526315789473684,1.0,1.0,0.0,0.0,2.0,2.0,2.0,10.742806658797567,18.3338402155632,4956.0,3952.0,3945.0,4211.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,docker/cli,holdout,mewma,mewma,composite,primary,19.0,19.0,0.0,18.0,0.9473684210526315,1.0,1.0,0.0,1.0,18.0,18.0,18.0,3.278761470391218,5.2480557201411315,4956.0,3952.0,3945.0,4211.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,helm/helm,external_evaluation,causal_rolling_mad,failure_rate,failure_rate,primary,46.0,45.0,1.0,1.0,0.022222222222222223,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.159802864546907,3.159802864546907,6412.0,5431.0,5422.0,5822.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,helm/helm,external_evaluation,causal_rolling_mad,latency_log,latency_log,primary,46.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6412.0,5431.0,5422.0,5822.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,helm/helm,external_evaluation,causal_rolling_mad,rerun_rate,rerun_rate,primary,46.0,45.0,1.0,2.0,0.044444444444444446,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.639285306626461,3.839408938559086,6412.0,5431.0,5422.0,5822.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,helm/helm,external_evaluation,causal_rolling_mad,two_of_three,composite,primary,46.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6412.0,5431.0,5422.0,5822.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,helm/helm,external_evaluation,causal_rolling_mad,union,composite,primary,46.0,45.0,1.0,5.0,0.1111111111111111,4.0,4.0,0.0,0.0,5.0,1.0,2.0,3.839408938559086,4.965174497901871,6412.0,5431.0,5422.0,5822.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,helm/helm,external_evaluation,mewma,mewma,composite,primary,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6412.0,5431.0,5422.0,5822.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,prometheus/prometheus,holdout,causal_rolling_mad,failure_rate,failure_rate,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14680.0,11949.0,11946.0,14435.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,prometheus/prometheus,holdout,causal_rolling_mad,latency_log,latency_log,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14680.0,11949.0,11946.0,14435.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,prometheus/prometheus,holdout,causal_rolling_mad,rerun_rate,rerun_rate,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14680.0,11949.0,11946.0,14435.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,prometheus/prometheus,holdout,causal_rolling_mad,two_of_three,composite,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14680.0,11949.0,11946.0,14435.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,prometheus/prometheus,holdout,causal_rolling_mad,union,composite,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14680.0,11949.0,11946.0,14435.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,prometheus/prometheus,holdout,mewma,mewma,composite,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14680.0,11949.0,11946.0,14435.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,pytest-dev/pytest,external_evaluation,causal_rolling_mad,failure_rate,failure_rate,primary,46.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2618.0,1777.0,1776.0,2571.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,pytest-dev/pytest,external_evaluation,causal_rolling_mad,latency_log,latency_log,primary,46.0,45.0,1.0,6.0,0.13333333333333333,3.0,3.0,0.0,1.0,6.0,2.0,2.0,5.274036203543343,18.618504091513024,2618.0,1777.0,1776.0,2571.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,pytest-dev/pytest,external_evaluation,causal_rolling_mad,rerun_rate,rerun_rate,primary,46.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2618.0,1777.0,1776.0,2571.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,pytest-dev/pytest,external_evaluation,causal_rolling_mad,two_of_three,composite,primary,46.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2618.0,1777.0,1776.0,2571.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,pytest-dev/pytest,external_evaluation,causal_rolling_mad,union,composite,primary,46.0,6.0,40.0,2.0,0.3333333333333333,1.0,1.0,0.0,1.0,2.0,2.0,2.0,4.723671904698111,4.898825432958944,2618.0,1777.0,1776.0,2571.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,pytest-dev/pytest,external_evaluation,mewma,mewma,composite,primary,46.0,46.0,0.0,3.0,0.06521739130434782,2.0,2.0,0.0,1.0,3.0,1.5,2.0,1.071578367162262,1.8345861105836774,2618.0,1777.0,1776.0,2571.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,tektoncd/pipeline,holdout,causal_rolling_mad,failure_rate,failure_rate,primary,19.0,19.0,0.0,1.0,0.05263157894736842,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.072157418804079,7.072157418804079,16242.0,14758.0,14062.0,14868.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,tektoncd/pipeline,holdout,causal_rolling_mad,latency_log,latency_log,primary,19.0,19.0,0.0,1.0,0.05263157894736842,1.0,1.0,0.0,0.0,1.0,1.0,1.0,13.122197304536538,13.122197304536538,16242.0,14758.0,14062.0,14868.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,tektoncd/pipeline,holdout,causal_rolling_mad,rerun_rate,rerun_rate,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16242.0,14758.0,14062.0,14868.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,tektoncd/pipeline,holdout,causal_rolling_mad,two_of_three,composite,primary,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16242.0,14758.0,14062.0,14868.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,tektoncd/pipeline,holdout,causal_rolling_mad,union,composite,primary,19.0,19.0,0.0,4.0,0.21052631578947367,1.0,1.0,0.0,0.0,4.0,4.0,4.0,5.407092250841847,13.122197304536538,16242.0,14758.0,14062.0,14868.0,,,0,,0,,0,,0,,0,,0,,0,,0
observed_research,tektoncd/pipeline,holdout,mewma,mewma,composite,primary,19.0,19.0,0.0,16.0,0.8421052631578947,2.0,2.0,0.0,0.0,16.0,8.0,15.0,3.2168861518088834,4.421880930499049,16242.0,14758.0,14062.0,14868.0,,,0,,0,,0,,0,,0,,0,,0,,0
synthetic_stage_a,docker/cli,development_training_synthetic,causal_rolling_mad,failure_rate,failure_rate,primary,,,,,,,,,,,,,,,,,,,14000.0,1.0,758,0.0196938648782911,13420,0.0,14000,0.0541428571428571,14000,1.650395778364116,758,0.0196938648782911,13420,0.0723571428571428,14000,0.4034107142857139,14000
synthetic_stage_a,docker/cli,development_training_synthetic,causal_rolling_mad,latency_log,latency_log,primary,,,,,,,,,,,,,,,,,,,14000.0,0.1429074829931973,14000,0.240327868852459,13420,0.2284792608271374,14000,0.3737857142857143,14000,1.0,5233,0.116912350546279,14000,5.090642857142857,14000,0.4034642857142853,14000
synthetic_stage_a,docker/cli,development_training_synthetic,causal_rolling_mad,rerun_rate,rerun_rate,primary,,,,,,,,,,,,,,,,,,,14000.0,0.4756663067369752,13627,0.4106959734179768,13457,0.0771054113750763,14000,0.6308571428571429,14000,0.5628396739130435,8832,0.2927673881673882,13750,3.036928571428572,14000,0.4026765873015869,14000
synthetic_stage_a,docker/cli,development_training_synthetic,causal_rolling_mad,two_of_three,composite,primary,,,,,,,,,,,,,,,,,,,14000.0,1.0,3870,0.1443195904068984,12370,0.0,14000,0.2764285714285714,14000,1.1878552971576228,3870,0.1443195904068984,12370,0.6246428571428572,14000,0.4228293650793648,14000
synthetic_stage_a,docker/cli,development_training_synthetic,causal_rolling_mad,union,composite,primary,,,,,,,,,,,,,,,,,,,14000.0,0.2292216527520099,14000,0.5672581514416599,12370,0.3100098501816379,14000,0.6775,14000,0.4931997891407485,9485,0.1951138569763569,14000,7.4038571428571425,14000,0.4228293650793648,14000
synthetic_stage_a,docker/cli,development_training_synthetic,mewma,mewma,composite,primary,,,,,,,,,,,,,,,,,,,14000.0,0.4937766233348937,13832,0.7002091836734695,14000,0.0617144020108042,14000,0.8159285714285714,14000,0.4129388076687385,11423,0.4237248299319726,14000,4.914357142857143,14000,1.984126984126929e-05,14000
synthetic_stage_a,prometheus/prometheus,development_training_synthetic,causal_rolling_mad,failure_rate,failure_rate,primary,,,,,,,,,,,,,,,,,,,14000.0,1.0,1345,0.042906712718667,13401,0.0,14000,0.0960714285714285,14000,1.0988847583643122,1345,0.042906712718667,13401,0.1699285714285714,14000,0.4037023809523806,14000
synthetic_stage_a,prometheus/prometheus,development_training_synthetic,causal_rolling_mad,latency_log,latency_log,primary,,,,,,,,,,,,,,,,,,,14000.0,1.0,4329,0.1502011659632519,13404,0.0,14000,0.3092142857142857,14000,1.0,4329,0.1502011659632519,13404,0.5554285714285714,14000,0.403115079365079,14000
synthetic_stage_a,prometheus/prometheus,development_training_synthetic,causal_rolling_mad,rerun_rate,rerun_rate,primary,,,,,,,,,,,,,,,,,,,14000.0,0.5873787774110181,13027,0.3626987080652879,13435,0.0224933733142379,14000,0.5977857142857143,14000,1.3216632811566495,8369,0.3297948276103615,13596,1.9070714285714283,14000,0.4028551587301583,14000
synthetic_stage_a,prometheus/prometheus,development_training_synthetic,causal_rolling_mad,two_of_three,composite,primary,,,,,,,,,,,,,,,,,,,14000.0,1.0,2946,0.1059786727292411,12316,0.0,14000,0.2104285714285714,14000,1.093686354378819,2946,0.1059786727292411,12316,0.3725,14000,0.4230575396825393,14000
synthetic_stage_a,prometheus/prometheus,development_training_synthetic,causal_rolling_mad,union,composite,primary,,,,,,,,,,,,,,,,,,,14000.0,0.6400304351402483,12157,0.4720072805023276,12316,0.0214629132354695,14000,0.6336428571428572,14000,0.9426220268289932,8871,0.40892104462695,12785,2.137857142857143,14000,0.4230575396825393,14000
