repo_full,pr_number,node_id,state,draft,created_at,updated_at,closed_at,merged_at,author_login,author_type,author_association,additions,deletions,changed_files,commits_count,comments_count,review_comments_count,head_sha,head_ref,head_repo_full,base_sha,base_ref,merge_commit_sha,created_at_ts,closed_at_ts,merged_at_ts,event_type,resolution_at,observation_end_at,first_qualified_review_at,received_qualified_review,author_login_key,author_prior_pr_count,author_prior_resolved_count,author_prior_merged_count,author_prior_merge_rate,author_newcomer,repo_open_prs_at_creation,repo_pr_arrivals_28d,repo_merges_28d,ci_context_week,prior_week_ci_attempts_total,prior_week_ci_outcome_n,prior_week_ci_failure_count,prior_week_ci_failure_rate,prior_week_ci_latency_n,prior_week_ci_feedback_latency_median_min,prior_week_ci_feedback_latency_p90_min,prior_week_ci_queue_latency_median_min,prior_week_ci_execution_span_median_min,prior_week_ci_logical_run_n,prior_week_ci_rerun_count,prior_week_ci_rerun_rate,prior_week_ci_additional_attempt_count,prior_week_ci_failed_then_passed_count,prior_week_ci_failed_then_passed_rate_among_reruns,prior_week_ci_merged_pr_count,prior_week_ci_pr_cycle_hours_median,prior_week_ci_qualified_review_latency_hours_median,prior_week_ci_reviewed_pr_n,prior_week_ci_churn_median,prior_week_ci_changed_files_median,prior_week_ci_commits_median,prior_week_ci_created_pr_count,prior_week_ci_workflow_count,prior_week_ci_workflow_concentration_hhi,prior_week_ci_release_count,prior_week_ci_split,prior_week_ci_external_calibration,prior_week_ci_external_evaluation_eligible,prior_week_ci_workflow_adjusted_latency_log,prior_week_ci_latency_log_raw,prior_week_ci_latency_log,prior_week_ci_context_available,time_to_first_review_hours,time_to_resolution_hours,resolution_observed
containerd/containerd,11924,PR_kwDOAr9FWM6Yd6LT,closed,0,2025-06-01T10:14:29Z,2025-06-01T14:04:05Z,2025-06-01T14:04:05Z,,akhilerm,User,MEMBER,26,2130,13,4,0,0,58cfad25ea1dd88257d4e878890ca03071111da2,1.7-fix-fuzz,akhilerm/containerd,fc2a5f28fd872a957fcac42a65a09e435eba2eea,release/1.7,,2025-06-01 10:14:29+00:00,2025-06-01 14:04:05+00:00,,closed_unmerged,2025-06-01 14:04:05+00:00,2025-06-01 14:04:05+00:00,,0,akhilerm,0,0,0,,1,0,0,0,2025-05-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.8266666666666667,1
containerd/containerd,11927,PR_kwDOAr9FWM6Ytv1R,closed,0,2025-06-02T22:52:02Z,2025-06-19T06:02:18Z,2025-06-09T02:50:40Z,2025-06-09T02:50:40Z,dmcgowan,User,MEMBER,31,11,3,1,2,4,48cec3659fe2f46473be8ab03e296dd5fda7b360,enhance-transfer-unpack-selection,dmcgowan/containerd,e393f41d2063adb78fa649958ca21b7abe389c8a,main,,2025-06-02 22:52:02+00:00,2025-06-09 02:50:40+00:00,2025-06-09 02:50:40+00:00,merged,2025-06-09 02:50:40+00:00,2025-06-09 02:50:40+00:00,2025-06-04 00:25:26+00:00,1,dmcgowan,0,0,0,,1,0,1,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.55666666666667,147.97722222222222,1
containerd/containerd,11928,PR_kwDOAr9FWM6YuDiY,closed,0,2025-06-02T23:43:46Z,2025-06-09T03:20:10Z,2025-06-09T03:20:03Z,2025-06-09T03:20:03Z,dependabot[bot],Bot,CONTRIBUTOR,1,1,1,1,2,0,4dd2cd92c1fd5b1e2670474d93b19e2a06f3143f,dependabot/github_actions/ossf/scorecard-action-2.4.2,containerd/containerd,e393f41d2063adb78fa649958ca21b7abe389c8a,main,,2025-06-02 23:43:46+00:00,2025-06-09 03:20:03+00:00,2025-06-09 03:20:03+00:00,merged,2025-06-09 03:20:03+00:00,2025-06-09 03:20:03+00:00,2025-06-04 15:03:31+00:00,1,dependabot[bot],0,0,0,,1,1,2,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39.329166666666666,147.60472222222222,1
containerd/containerd,11929,PR_kwDOAr9FWM6YuhPx,open,0,2025-06-03T01:47:37Z,2026-08-02T00:32:26Z,,,ningmingxiao,User,CONTRIBUTOR,1,1,1,1,2,2,81c8d94ad10930aa19e1dc2ee091e23172646196,doc_config_dump,ningmingxiao/containerd,aa6cce6c075289157341788a67f46ae00ea4be94,main,,2025-06-03 01:47:37+00:00,,,censored,,2026-08-08 00:00:00+00:00,2025-06-03 23:00:53+00:00,1,ningmingxiao,0,0,0,,1,2,3,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.22111111111111,10342.20638888889,0
containerd/containerd,11930,PR_kwDOAr9FWM6Yw-vR,open,0,2025-06-03T07:44:40Z,2026-08-02T00:32:28Z,,,ningmingxiao,User,CONTRIBUTOR,2,1,1,1,2,4,1b0f034a4c498d678a1a2fec4dde94a30deb8208,print_dmsetup,ningmingxiao/containerd,f482992fdc84aa037af82ed5810cbcb936f7fcd7,main,,2025-06-03 07:44:40+00:00,,,censored,,2026-08-08 00:00:00+00:00,2025-06-07 23:41:55+00:00,1,ningmingxiao,1,1,0,0.0,0,3,4,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111.95416666666667,10336.255555555555,0
containerd/containerd,11932,PR_kwDOAr9FWM6Y4BGt,closed,0,2025-06-03T18:06:36Z,2025-06-09T23:31:14Z,2025-06-03T23:32:02Z,2025-06-03T23:32:02Z,k8s-infra-cherrypick-robot,User,NONE,2,0,1,1,2,0,d82921ff59cc91c1d75d35cc1cb3a5e709da9fdd,cherry-pick-11914-to-release/2.1,k8s-infra-cherrypick-robot/containerd,596748c174ea6db4d56262d3bb1226640baadc11,release/2.1,,2025-06-03 18:06:36+00:00,2025-06-03 23:32:02+00:00,2025-06-03 23:32:02+00:00,merged,2025-06-03 23:32:02+00:00,2025-06-03 23:32:02+00:00,2025-06-03 19:03:24+00:00,1,k8s-infra-cherrypick-robot,0,0,0,,1,4,5,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9466666666666667,5.4238888888888885,1
containerd/containerd,11933,PR_kwDOAr9FWM6Y4reJ,closed,0,2025-06-03T19:11:14Z,2025-11-04T19:58:41Z,2025-06-27T19:34:38Z,2025-06-27T19:34:38Z,dmcgowan,User,MEMBER,11,11,2,1,6,1,d553c4014edc7c2ad11e0715db736189ccdd143d,gha-use-latest-images,dmcgowan/containerd,99df502341b96dac70160bf8d8070c1cf09e6373,main,,2025-06-03 19:11:14+00:00,2025-06-27 19:34:38+00:00,2025-06-27 19:34:38+00:00,merged,2025-06-27 19:34:38+00:00,2025-06-27 19:34:38+00:00,2025-06-03 20:19:36+00:00,1,dmcgowan,1,0,0,,0,5,6,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1394444444444445,576.39,1
containerd/containerd,11934,PR_kwDOAr9FWM6Y6eIQ,closed,0,2025-06-03T22:59:17Z,2025-06-19T06:01:20Z,2025-06-04T02:42:32Z,2025-06-04T02:42:32Z,hsiangkao,User,MEMBER,2,1,1,1,5,0,a8658a7081070c14605c917f0f3d1b0774776385,erofs-snapshotter,,f482992fdc84aa037af82ed5810cbcb936f7fcd7,main,,2025-06-03 22:59:17+00:00,2025-06-04 02:42:32+00:00,2025-06-04 02:42:32+00:00,merged,2025-06-04 02:42:32+00:00,2025-06-04 02:42:32+00:00,2025-06-03 23:04:39+00:00,1,hsiangkao,0,0,0,,1,6,7,0,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.08944444444444444,3.720833333333333,1
containerd/containerd,11935,PR_kwDOAr9FWM6Y8BA5,closed,0,2025-06-04T02:51:54Z,2025-06-09T23:30:32Z,2025-06-04T06:42:14Z,2025-06-04T06:42:14Z,k8s-infra-cherrypick-robot,User,NONE,2,1,1,1,3,0,480126f5079e501228553038a584ce8542807d89,cherry-pick-11934-to-release/2.1,k8s-infra-cherrypick-robot/containerd,99660955427262b72d6cf3f5df4a82aa06562125,release/2.1,,2025-06-04 02:51:54+00:00,2025-06-04 06:42:14+00:00,2025-06-04 06:42:14+00:00,merged,2025-06-04 06:42:14+00:00,2025-06-04 06:42:14+00:00,2025-06-04 02:53:20+00:00,1,k8s-infra-cherrypick-robot,1,1,1,1.0,0,5,8,2,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02388888888888889,3.838888888888889,1
containerd/containerd,11936,PR_kwDOAr9FWM6Y9J_t,closed,0,2025-06-04T05:41:25Z,2025-06-09T23:29:28Z,2025-06-06T18:32:09Z,2025-06-06T18:32:09Z,k8s-infra-cherrypick-robot,User,NONE,17,3,3,3,1,0,4bcea74decd64dcbf616f56b47cf8f5b4a2a586f,cherry-pick-11915-to-release/2.1,k8s-infra-cherrypick-robot/containerd,99660955427262b72d6cf3f5df4a82aa06562125,release/2.1,,2025-06-04 05:41:25+00:00,2025-06-06 18:32:09+00:00,2025-06-06 18:32:09+00:00,merged,2025-06-06 18:32:09+00:00,2025-06-06 18:32:09+00:00,2025-06-04 12:43:50+00:00,1,k8s-infra-cherrypick-robot,2,1,1,1.0,0,6,9,2,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.040277777777778,60.845555555555556,1
