repo_full,pr_number,from_state,to_state,start_at,stop_at,event,duration_hours,transition
containerd/containerd,11924,0,3,2025-06-01 10:14:29+00:00,2025-06-01 14:04:05+00:00,1,3.8266666666666667,0->3
containerd/containerd,11927,0,1,2025-06-02 22:52:02+00:00,2025-06-04 00:25:26+00:00,1,25.55666666666667,0->1
containerd/containerd,11927,1,2,2025-06-04 00:25:26+00:00,2025-06-09 02:50:40+00:00,1,122.42055555555555,1->2
containerd/containerd,11928,0,1,2025-06-02 23:43:46+00:00,2025-06-04 15:03:31+00:00,1,39.329166666666666,0->1
containerd/containerd,11928,1,2,2025-06-04 15:03:31+00:00,2025-06-09 03:20:03+00:00,1,108.27555555555556,1->2
containerd/containerd,11929,0,1,2025-06-03 01:47:37+00:00,2025-06-03 23:00:53+00:00,1,21.22111111111111,0->1
containerd/containerd,11929,1,,2025-06-03 23:00:53+00:00,2026-08-08 00:00:00+00:00,0,10320.985277777778,1->censored
containerd/containerd,11930,0,1,2025-06-03 07:44:40+00:00,2025-06-07 23:41:55+00:00,1,111.95416666666667,0->1
containerd/containerd,11930,1,,2025-06-07 23:41:55+00:00,2026-08-08 00:00:00+00:00,0,10224.301388888889,1->censored
containerd/containerd,11932,0,1,2025-06-03 18:06:36+00:00,2025-06-03 19:03:24+00:00,1,0.9466666666666667,0->1
containerd/containerd,11932,1,2,2025-06-03 19:03:24+00:00,2025-06-03 23:32:02+00:00,1,4.477222222222222,1->2
containerd/containerd,11933,0,1,2025-06-03 19:11:14+00:00,2025-06-03 20:19:36+00:00,1,1.1394444444444445,0->1
containerd/containerd,11933,1,2,2025-06-03 20:19:36+00:00,2025-06-27 19:34:38+00:00,1,575.2505555555556,1->2
containerd/containerd,11934,0,1,2025-06-03 22:59:17+00:00,2025-06-03 23:04:39+00:00,1,0.08944444444444444,0->1
containerd/containerd,11934,1,2,2025-06-03 23:04:39+00:00,2025-06-04 02:42:32+00:00,1,3.631388888888889,1->2
containerd/containerd,11935,0,1,2025-06-04 02:51:54+00:00,2025-06-04 02:53:20+00:00,1,0.02388888888888889,0->1
containerd/containerd,11935,1,2,2025-06-04 02:53:20+00:00,2025-06-04 06:42:14+00:00,1,3.815,1->2
containerd/containerd,11936,0,1,2025-06-04 05:41:25+00:00,2025-06-04 12:43:50+00:00,1,7.040277777777778,0->1
containerd/containerd,11936,1,2,2025-06-04 12:43:50+00:00,2025-06-06 18:32:09+00:00,1,53.805277777777775,1->2
containerd/containerd,11938,0,1,2025-06-04 10:47:38+00:00,2025-06-05 00:51:46+00:00,1,14.068888888888889,0->1
containerd/containerd,11938,1,2,2025-06-05 00:51:46+00:00,2025-06-06 23:00:55+00:00,1,46.1525,1->2
containerd/containerd,11939,0,1,2025-06-04 10:54:16+00:00,2025-06-04 12:48:25+00:00,1,1.9025,0->1
containerd/containerd,11939,1,2,2025-06-04 12:48:25+00:00,2025-06-04 15:42:40+00:00,1,2.904166666666667,1->2
containerd/containerd,11941,0,1,2025-06-04 11:44:22+00:00,2025-06-04 12:50:31+00:00,1,1.1025,0->1
containerd/containerd,11941,1,2,2025-06-04 12:50:31+00:00,2025-06-04 15:42:40+00:00,1,2.8691666666666666,1->2
containerd/containerd,11942,0,1,2025-06-04 12:25:37+00:00,2025-06-07 23:40:33+00:00,1,83.24888888888889,0->1
containerd/containerd,11942,1,2,2025-06-07 23:40:33+00:00,2025-08-18 21:27:25+00:00,1,1725.7811111111112,1->2
containerd/containerd,11943,0,1,2025-06-04 12:46:12+00:00,2025-06-04 12:47:37+00:00,1,0.02361111111111111,0->1
containerd/containerd,11943,1,2,2025-06-04 12:47:37+00:00,2025-06-04 16:09:59+00:00,1,3.372777777777778,1->2
containerd/containerd,11944,0,1,2025-06-04 12:46:23+00:00,2025-06-04 12:47:51+00:00,1,0.024444444444444446,0->1
containerd/containerd,11944,1,2,2025-06-04 12:47:51+00:00,2025-06-04 16:09:45+00:00,1,3.365,1->2
containerd/containerd,11945,0,1,2025-06-04 14:09:57+00:00,2025-06-07 11:02:38+00:00,1,68.87805555555556,0->1
containerd/containerd,11945,1,2,2025-06-07 11:02:38+00:00,2025-06-08 06:55:46+00:00,1,19.885555555555555,1->2
containerd/containerd,11946,0,1,2025-06-04 14:28:19+00:00,2025-06-07 11:03:14+00:00,1,68.58194444444445,0->1
containerd/containerd,11946,1,2,2025-06-07 11:03:14+00:00,2025-06-09 02:37:49+00:00,1,39.576388888888886,1->2
containerd/containerd,11947,0,1,2025-06-04 17:48:19+00:00,2025-06-06 16:13:09+00:00,1,46.41388888888889,0->1
containerd/containerd,11947,1,2,2025-06-06 16:13:09+00:00,2025-06-06 18:17:08+00:00,1,2.066388888888889,1->2
containerd/containerd,11951,0,3,2025-06-05 18:21:38+00:00,2025-08-21 16:40:13+00:00,1,1846.3097222222223,0->3
containerd/containerd,11952,0,1,2025-06-05 18:39:38+00:00,2025-06-06 18:57:15+00:00,1,24.29361111111111,0->1
containerd/containerd,11952,1,2,2025-06-06 18:57:15+00:00,2025-06-06 18:59:08+00:00,1,0.03138888888888889,1->2
containerd/containerd,11955,0,1,2025-06-06 18:40:38+00:00,2025-06-06 18:56:50+00:00,1,0.27,0->1
containerd/containerd,11955,1,2,2025-06-06 18:56:50+00:00,2025-06-08 06:27:53+00:00,1,35.5175,1->2
containerd/containerd,11956,0,3,2025-06-07 07:40:05+00:00,2025-11-21 00:27:30+00:00,1,4000.7902777777776,0->3
containerd/containerd,11957,0,3,2025-06-09 06:27:07+00:00,2025-06-09 06:29:43+00:00,1,0.043333333333333335,0->3
containerd/containerd,11960,0,1,2025-06-09 12:24:18+00:00,2025-06-09 14:51:17+00:00,1,2.4497222222222224,0->1
containerd/containerd,11960,1,3,2025-06-09 14:51:17+00:00,2026-04-22 00:24:58+00:00,1,7593.561388888889,1->3
containerd/containerd,11961,0,1,2025-06-09 14:53:25+00:00,2025-06-09 17:46:52+00:00,1,2.890833333333333,0->1
containerd/containerd,11961,1,2,2025-06-09 17:46:52+00:00,2025-06-10 04:37:14+00:00,1,10.839444444444444,1->2
containerd/containerd,11962,0,1,2025-06-09 22:09:00+00:00,2025-06-09 22:22:09+00:00,1,0.21916666666666668,0->1
containerd/containerd,11962,1,2,2025-06-09 22:22:09+00:00,2025-06-11 17:05:48+00:00,1,42.7275,1->2
containerd/containerd,11963,0,1,2025-06-09 23:26:11+00:00,2025-06-12 21:21:18+00:00,1,69.9186111111111,0->1
containerd/containerd,11963,1,2,2025-06-12 21:21:18+00:00,2025-06-27 20:08:08+00:00,1,358.78055555555557,1->2
containerd/containerd,11964,0,1,2025-06-09 23:26:37+00:00,2025-06-09 23:32:02+00:00,1,0.09027777777777778,0->1
containerd/containerd,11964,1,2,2025-06-09 23:32:02+00:00,2025-06-20 00:51:00+00:00,1,241.3161111111111,1->2
containerd/containerd,11965,0,1,2025-06-09 23:28:12+00:00,2025-06-09 23:31:34+00:00,1,0.05611111111111111,0->1
containerd/containerd,11965,1,3,2025-06-09 23:31:34+00:00,2025-06-17 01:23:44+00:00,1,169.86944444444444,1->3
containerd/containerd,11966,0,1,2025-06-10 01:41:07+00:00,2025-06-10 19:21:18+00:00,1,17.669722222222223,0->1
containerd/containerd,11966,1,2,2025-06-10 19:21:18+00:00,2025-08-20 03:38:38+00:00,1,1688.2888888888888,1->2
containerd/containerd,11967,0,1,2025-06-10 03:56:48+00:00,2025-07-20 20:30:38+00:00,1,976.5638888888889,0->1
containerd/containerd,11967,1,3,2025-07-20 20:30:38+00:00,2025-10-21 07:59:26+00:00,1,2219.48,1->3
containerd/containerd,11968,0,1,2025-06-10 13:21:51+00:00,2025-06-10 13:24:12+00:00,1,0.03916666666666667,0->1
containerd/containerd,11968,1,2,2025-06-10 13:24:12+00:00,2025-06-10 14:21:25+00:00,1,0.9536111111111111,1->2
containerd/containerd,11969,0,1,2025-06-10 13:39:17+00:00,2025-06-10 13:48:13+00:00,1,0.14888888888888888,0->1
containerd/containerd,11969,1,2,2025-06-10 13:48:13+00:00,2025-06-27 18:45:55+00:00,1,412.96166666666664,1->2
