transition,model,population,n,events,harrell_c
unreviewed_to_reviewed,baseline,development_training,2160,1663,0.6132456099325982
unreviewed_to_reviewed,baseline,development_temporal_holdout,1757,1257,0.5910050822399555
unreviewed_to_reviewed,baseline,external_evaluation,3510,2713,0.6370888205878987
unreviewed_to_reviewed,ci_context,development_training,2160,1663,0.6505343413176513
unreviewed_to_reviewed,ci_context,development_temporal_holdout,1757,1257,0.5853869027888822
unreviewed_to_reviewed,ci_context,external_evaluation,3510,2713,0.5394862573305478
unreviewed_to_resolved,baseline,development_training,2160,352,0.5573381084636749
unreviewed_to_resolved,baseline,development_temporal_holdout,1757,260,0.5222868081657748
unreviewed_to_resolved,baseline,external_evaluation,3510,500,0.49245709938511734
unreviewed_to_resolved,ci_context,development_training,2160,352,0.5918260222455516
unreviewed_to_resolved,ci_context,development_temporal_holdout,1757,260,0.5519420030647272
unreviewed_to_resolved,ci_context,external_evaluation,3510,500,0.5704206665411804
reviewed_to_resolved,baseline,development_training,1663,1562,0.6510059937777205
reviewed_to_resolved,baseline,development_temporal_holdout,1257,1130,0.6110863412553794
reviewed_to_resolved,baseline,external_evaluation,2713,2496,0.6554236635725205
reviewed_to_resolved,ci_context,development_training,1663,1562,0.6578496956238977
reviewed_to_resolved,ci_context,development_temporal_holdout,1257,1130,0.5989292960622391
reviewed_to_resolved,ci_context,external_evaluation,2713,2496,0.5449785662066062
