repo_full,detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,scenario_detector_rows,mean_strict_incremental_episode_detected,strict_incremental_episode_detected_valid_observations,mean_strict_incremental_detection_delay_weeks,strict_incremental_detection_delay_weeks_valid_observations,mean_reference_alarm_burden,reference_alarm_burden_valid_observations,mean_incremental_alarm_duration_weeks,incremental_alarm_duration_weeks_valid_observations,mean_incremental_spillover_weeks,incremental_spillover_weeks_valid_observations,mean_total_operational_episode_detected,total_operational_episode_detected_valid_observations,mean_reference_alarm_overlap_fraction,reference_alarm_overlap_fraction_valid_observations,mean_incremental_boundary_overlap,incremental_boundary_overlap_valid_observations,mean_pair_unevaluable_fraction,pair_unevaluable_fraction_valid_observations,mean_injection_relative_precision,injection_relative_precision_valid_observations,mean_injection_relative_false_alarm_rate,injection_relative_false_alarm_rate_valid_observations,mean_incremental_detected_within_0w_post,incremental_detected_within_0w_post_valid_observations,mean_incremental_detected_within_1w_post,incremental_detected_within_1w_post_valid_observations,mean_incremental_detected_within_2w_post,incremental_detected_within_2w_post_valid_observations,mean_incremental_detected_within_4w_post,incremental_detected_within_4w_post_valid_observations
containerd/containerd,causal_rolling_mad,latency_log,no_injection,none,0,none,0,observed,none,1,,0,,0,0.0,1,0.0,1,0.0,1,,0,,0,,0,0.021739130434782608,1,,0,0.0,1,,0,,0,,0,,0
containerd/containerd,causal_rolling_mad,failure_rate,no_injection,none,0,none,0,observed,none,1,,0,,0,0.022222222222222223,1,0.0,1,0.0,1,,0,,0,,0,0.021739130434782608,1,0.0,1,0.022222222222222223,1,,0,,0,,0,,0
containerd/containerd,causal_rolling_mad,rerun_rate,no_injection,none,0,none,0,observed,none,1,,0,,0,0.0,1,0.0,1,0.0,1,,0,,0,,0,0.021739130434782608,1,,0,0.0,1,,0,,0,,0,,0
containerd/containerd,causal_rolling_mad,union,no_injection,none,0,none,0,observed,none,1,,0,,0,0.044444444444444446,1,0.0,1,0.0,1,,0,,0,,0,0.021739130434782608,1,0.0,1,0.044444444444444446,1,,0,,0,,0,,0
containerd/containerd,causal_rolling_mad,two_of_three,no_injection,none,0,none,0,observed,none,1,,0,,0,0.0,1,0.0,1,0.0,1,,0,,0,,0,0.021739130434782608,1,,0,0.0,1,,0,,0,,0,,0
containerd/containerd,mewma,mewma,no_injection,none,0,none,0,observed,none,1,,0,,0,0.0,1,0.0,1,0.0,1,,0,,0,,0,0.0,1,,0,0.0,1,,0,,0,,0,,0
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,low,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,low,1,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.04,100,0.04,100,0.0,100,0.021739130434782653,100,0.04,100,0.02181818181818182,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,low,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,low,1,observed,none,100,0.15,100,0.0,15,0.04444444444444437,100,0.27,100,0.12,100,0.2,100,0.05,100,0.125,100,0.021739130434782653,100,0.07083333333333333,100,0.047045454545454585,100,0.15,100,0.22,100,0.22,100,0.22,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,low,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,low,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,1,observed,none,100,0.0,100,,0,0.0,100,0.01,100,0.01,100,0.0,100,0.0,100,0.0,98,0.021739130434782653,100,0.0,1,0.00022727272727272727,100,0.0,100,0.01,100,0.01,100,0.01,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,1,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.01,100,0.01,100,0.0,98,0.021739130434782653,100,0.01,100,0.022489898989898994,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,98,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,1,observed,none,100,0.07,100,0.0,7,0.04444444444444437,100,0.15,100,0.08,100,0.11,100,0.04,100,0.0663265306122449,98,0.021739130434782653,100,0.0425,100,0.046343434343434374,100,0.07,100,0.14,100,0.14,100,0.14,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,98,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,1,observed,none,100,0.04,100,0.0,4,0.0,100,0.1,100,0.06,100,0.04,100,0.0,100,0.04,100,0.0,100,0.4,10,0.0013333333333333333,100,0.04,100,0.06,100,0.1,100,0.1,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,high,1,observed,none,100,0.0,100,,0,0.0,100,0.04,100,0.04,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,0.0,4,0.0009090909090909091,100,0.0,100,0.04,100,0.04,100,0.04,100
