scenario_id,repo_full,scenario_type,affected_metrics,dimensionality,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,repetition,seed,start_index,end_index,injected_weeks,status
B000000001,containerd/containerd,no_injection,none,0,none,{},0,observed,none,0,15072012084392273482,,,[],evaluable
B000000002,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,0,14350725173440710957,30.0,30.0,"[""2026-01-19""]",evaluable
B000000003,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,1,10965527753214938033,18.0,18.0,"[""2025-10-27""]",evaluable
B000000004,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,2,905762308081910618,47.0,47.0,"[""2026-05-18""]",evaluable
B000000005,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,3,16705200777854871398,33.0,33.0,"[""2026-02-09""]",evaluable
B000000006,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,4,17976038666545360098,37.0,37.0,"[""2026-03-09""]",evaluable
B000000007,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,5,4589130526226571288,37.0,37.0,"[""2026-03-09""]",evaluable
B000000008,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,6,16710635699182240258,55.0,55.0,"[""2026-07-13""]",evaluable
B000000009,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,7,4741937121680884710,25.0,25.0,"[""2025-12-15""]",evaluable
B000000010,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,8,7045940371926640651,22.0,22.0,"[""2025-11-24""]",evaluable
B000000011,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,9,8878444730247258918,47.0,47.0,"[""2026-05-18""]",evaluable
B000000012,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,10,5789478302797371854,53.0,53.0,"[""2026-06-29""]",evaluable
