repo_full,detector_family,detector_variant,affected_metrics,dimensionality,duration_weeks,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,1,300,300,0.06,0.038286369524692054,0.09283944515290843,300,0.08333333333333333,0.057080874056394275,0.12012160196406074,300,0.06,0.038286369524692054,0.09283944515290843,300,0.11,0.07940528531126051,0.15045623224388538,300,0.11,0.07940528531126051,0.15045623224388538,300,0.11,0.07940528531126051,0.15045623224388538,18,0.0,0.0,0.0,0.0,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.13666666666666666,0.4146024677242434,0.08975084288771364,0.1835824904456197,300,0.07666666666666666,0.2665063620734804,0.046509186930377734,0.1068241464029556,300,0.023333333333333334,0.15121212222763153,0.006222385300116314,0.04044428136655036,293,0.04778156996587031,0.19698983024718417,0.025225777667775583,0.07033736226396503,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,258,0.05684754521963824,0.19281979745150166,0.03331928253020859,0.08037580790906788,300,0.02074579124579122,0.010974885821284672,0.019503888822943162,0.02198769366863928
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,2,300,300,0.43333333333333335,0.3784513181454693,0.48990107801780347,300,0.46,0.4044631474970939,0.5165482902008698,300,0.43333333333333335,0.3784513181454693,0.48990107801780347,300,0.43333333333333335,0.3784513181454693,0.48990107801780347,300,0.43333333333333335,0.3784513181454693,0.48990107801780347,300,0.43333333333333335,0.3784513181454693,0.48990107801780347,130,0.8769230769230769,0.3297963810470022,0.8202310087680762,0.9336151450780776,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.5233333333333333,0.6564235383968394,0.4490533821771667,0.5976132844894999,300,0.043333333333333335,0.2039465687344377,0.02025503056396583,0.06641163610270084,300,0.035,0.12778666377258266,0.020539843426975717,0.049460156573024286,300,0.24277777777777776,0.30608177383341334,0.2081420009047158,0.2774135546508397,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,244,0.3319672131147541,0.31499334200099927,0.29244378996501985,0.3714906362644883,300,0.017734319943622213,0.009891697710532483,0.016614989542118964,0.018853650345125463
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,4,300,300,0.53,0.4735002333859323,0.5857411883405951,300,0.5566666666666666,0.5000873808268701,0.6118130824343481,300,0.53,0.4735002333859323,0.5857411883405951,300,0.53,0.4735002333859323,0.5857411883405951,300,0.53,0.4735002333859323,0.5857411883405951,300,0.53,0.4735002333859323,0.5857411883405951,159,1.1257861635220126,0.7181387543088393,1.014162083415795,1.2374102436282302,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,1.13,1.2669321437457444,0.9866357660094773,1.2733642339905225,300,0.0,0.0,0.0,0.0,300,0.0325,0.08421633632703232,0.022970199523616938,0.042029800476383064,300,0.2841666666666667,0.31831299146456,0.24814682265542604,0.3201865106779073,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,241,0.5269709543568465,0.38423637543625533,0.47846019793082534,0.5754817107828677,300,0.015435540069686398,0.011764587036477085,0.014104276183908904,0.016766803955463892
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate,1,8,300,300,0.54,0.4834517097991302,0.5955368525029061,300,0.5433333333333333,0.48677384505565635,0.5987970974382163,300,0.54,0.4834517097991302,0.5955368525029061,300,0.54,0.4834517097991302,0.5955368525029061,300,0.54,0.4834517097991302,0.5955368525029061,300,0.54,0.4834517097991302,0.5955368525029061,162,1.2160493827160495,0.8966406303009299,1.0779763073158979,1.354122458116201,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,1.52,1.7606626906843608,1.320765921670141,1.719234078329859,300,0.0,0.0,0.0,0.0,300,0.027083333333333334,0.05158273922066611,0.021246304150665616,0.032920362516001056,300,0.19029761904761902,0.22015191869961873,0.16538554199462044,0.2152096961006176,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,218,0.6150611620795108,0.3877689956520726,0.5635865685338353,0.6665357556251863,300,0.013679468942626824,0.013521190011193474,0.012149430370186847,0.0152095075150668
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,1,300,300,0.07,0.046236944827176336,0.10463601042593323,300,0.1,0.07094791459501532,0.1391664623846215,300,0.07,0.046236944827176336,0.10463601042593323,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,300,0.11,0.07940528531126051,0.15045623224388538,300,0.11666666666666667,0.08509313461466292,0.15793314332415567,21,0.0,0.0,0.0,0.0,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.14666666666666667,0.431016014673747,0.09789350933034888,0.19543982400298446,300,0.07666666666666666,0.2665063620734804,0.046509186930377734,0.1068241464029556,300,0.03,0.17087224588772665,0.010664340420389273,0.049335659579610724,300,0.055,0.21124333319515198,0.03109600577376666,0.07890399422623334,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,254,0.07086614173228346,0.2152708510769511,0.04439233094739624,0.09733995251717069,300,0.020303030303030278,0.011351214453155737,0.01901854306906725,0.021587517536993305
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,2,300,300,0.41,0.35582394979935006,0.4664517850210681,300,0.43,0.3752111767337645,0.48655883923767185,300,0.41,0.35582394979935006,0.4664517850210681,300,0.41333333333333333,0.3590487301690917,0.46980938484316287,300,0.4166666666666667,0.3622760916643604,0.4731644035397305,300,0.4166666666666667,0.3622760916643604,0.4731644035397305,123,0.8211382113821138,0.38480398086799544,0.7531341122861824,0.8891423104780453,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.49,0.6307875843646804,0.41862097683005584,0.5613790231699441,300,0.016666666666666666,0.12823299585640946,0.0021560037917704895,0.031177329541562843,300,0.015,0.08543612294386332,0.005332170210194637,0.024667829789805362,300,0.24,0.3143892169113708,0.20442416471957137,0.2755758352804286,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,242,0.3168044077134986,0.3220102821293084,0.27623392757868703,0.3573748878483102,300,0.01757751937984491,0.010341056287593287,0.01640734020281298,0.018747698556876836
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,4,300,300,0.5066666666666667,0.45036683073695566,0.5627979296467172,300,0.5133333333333333,0.4569640167618392,0.5693655040055061,300,0.5066666666666667,0.45036683073695566,0.5627979296467172,300,0.5066666666666667,0.45036683073695566,0.5627979296467172,300,0.5066666666666667,0.45036683073695566,0.5627979296467172,300,0.5066666666666667,0.45036683073695566,0.5627979296467172,152,1.125,0.6642478193889039,1.019401819687607,1.230598180312393,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,1.07,1.2343061636748067,0.9303276753703301,1.2096723246296701,300,0.0,0.0,0.0,0.0,300,0.023333333333333334,0.07284625920725459,0.015090154563358908,0.03157651210330776,300,0.26944444444444443,0.31134510364900286,0.23421307667807656,0.3046758122108123,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,236,0.4831214689265537,0.38354289964499816,0.43418799633629274,0.5320549415168148,300,0.015758807588075865,0.011668434471813871,0.014438424189345146,0.017079190986806585
containerd/containerd,causal_rolling_mad,failure_rate,failure_rate+rerun_rate,2,8,300,300,0.5966666666666667,0.540271195643406,0.6506178299198485,300,0.6,0.5436365963411878,0.653834809413903,300,0.5966666666666667,0.540271195643406,0.6506178299198485,300,0.5966666666666667,0.540271195643406,0.6506178299198485,300,0.5966666666666667,0.540271195643406,0.6506178299198485,300,0.5966666666666667,0.540271195643406,0.6506178299198485,179,1.2458100558659218,1.003321331406651,1.0988289125381654,1.392791199193678,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,1.6066666666666667,1.7092965036373038,1.4132451127844414,1.800088220548892,300,0.0,0.0,0.0,0.0,300,0.025833333333333333,0.05069885074745381,0.020096323709345755,0.03157034295732091,300,0.20107142857142857,0.21373685482313373,0.17688527099501178,0.22525758614784536,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,226,0.6678466076696166,0.36991301489463835,0.6196192483228576,0.7160739670163755,300,0.013136557610241809,0.013514623329041178,0.011607262114186207,0.01466585310629741
containerd/containerd,causal_rolling_mad,failure_rate,latency_log,1,1,300,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.016666666666666666,0.00713947735063333,0.0384153948330945,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,0,,,,,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.0,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0,300,0.016666666666666666,0.12823299585640943,0.002156003791770493,0.03117732954156284,298,0.0,0.0,0.0,0.0,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,300,0.016666666666666666,0.12823299585640943,0.002156003791770493,0.03117732954156284,300,0.022345117845117824,0.002914237954591221,0.02201534683560595,0.022674888854629698
containerd/containerd,causal_rolling_mad,failure_rate,latency_log,1,2,300,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.056666666666666664,0.03567747646328951,0.08886595802247463,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,0,,,,,300,0.022222222222222195,3.475243859842279e-18,0.022222222222222195,0.022222222222222195,300,0.0,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0,300,0.028333333333333332,0.11579544105643251,0.015230086416281608,0.041436580250385054,300,0.0,0.0,0.0,0.0,300,0.021739130434782598,3.475243859842279e-18,0.021739130434782598,0.021739130434782598,300,0.056666666666666664,0.23159088211286502,0.030460172832563217,0.08287316050077011,300,0.021929175475687034,0.005384098005579429,0.021319918626288868,0.0225384323250852
