repo_full,detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,high,1,observed,none,100,100,0.09,0.04807254000256516,0.1622621285271631,100,0.11,0.06254196357064568,0.18631296503080313,100,0.09,0.04807254000256516,0.1622621285271631,100,0.14,0.08526343659939134,0.22137188210963837,100,0.14,0.08526343659939134,0.22137188210963837,100,0.14,0.08526343659939134,0.22137188210963837,9,0.0,0.0,0.0,0.0,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.18,0.4794778304562056,0.08602407209204346,0.27397592790795655,100,0.09,0.2876234912646614,0.03362683160135928,0.14637316839864073,100,0.02,0.14070529413628968,-0.007577730894124262,0.04757773089412426,97,0.07216494845360824,0.23924458720855332,0.02455427279339078,0.1197756241138257,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,89,0.06554307116104868,0.19400415479008257,0.025237589210524235,0.10584855311157312,100,0.021803030303030272,0.010673756727826507,0.019711012426402066,0.023895048179658478
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,high,2,observed,none,100,100,0.73,0.6356788323205499,0.8073041585042365,100,0.77,0.6784561697712622,0.8415673411969654,100,0.73,0.6356788323205499,0.8073041585042365,100,0.73,0.6356788323205499,0.8073041585042365,100,0.73,0.6356788323205499,0.8073041585042365,100,0.73,0.6356788323205499,0.8073041585042365,73,0.9315068493150684,0.25433830943623054,0.8731625483008032,0.9898511503293337,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.81,0.5630903187506486,0.699636325520555,0.9203636744794451,100,0.04,0.19694638556693236,0.0013992177403473471,0.07860078225965265,100,0.04,0.13632996217214535,0.013279818412888715,0.0667201815871113,100,0.40833333333333327,0.2933752265768594,0.350832845528641,0.4658338211380255,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,83,0.5461847389558232,0.22886732558010506,0.4969475965653794,0.5954218813462671,100,0.016712473572938636,0.010475303575694574,0.014659351799390135,0.018765595346487137
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,high,4,observed,none,100,100,0.8,0.7111708344068411,0.8666330666689676,100,0.8,0.7111708344068411,0.8666330666689676,100,0.8,0.7111708344068411,0.8666330666689676,100,0.8,0.7111708344068411,0.8666330666689676,100,0.8,0.7111708344068411,0.8666330666689676,100,0.8,0.7111708344068411,0.8666330666689676,80,0.925,0.4141485088006139,0.8342473742225208,1.0157526257774792,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,1.97,1.226434431244253,1.72962326853614,2.2103767314638603,100,0.0,0.0,0.0,0.0,100,0.0325,0.08449941724740778,0.01593841854804581,0.04906158145195419,100,0.4975,0.3080602120951264,0.4371213079223782,0.5578786920776218,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,83,0.7349397590361446,0.20393510940271098,0.6910663839502915,0.7788131341219977,100,0.016080139372822284,0.011599932034483517,0.013806594471752271,0.018353684273892296
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,high,8,observed,none,100,100,0.76,0.6676766365018553,0.8330867444305122,100,0.76,0.6676766365018553,0.8330867444305122,100,0.76,0.6676766365018553,0.8330867444305122,100,0.76,0.6676766365018553,0.8330867444305122,100,0.76,0.6676766365018553,0.8330867444305122,100,0.76,0.6676766365018553,0.8330867444305122,76,0.9736842105263158,0.36418618720013035,0.8918066744989017,1.05556174655373,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,2.8,1.9332288373014037,2.4210941105015005,3.178905889498499,100,0.0,0.0,0.0,0.0,100,0.02375,0.04928465555045782,0.014090385013064059,0.03340961498693594,100,0.3507142857142857,0.2414071602654259,0.3033993517412533,0.3980292196873181,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,76,0.8381578947368421,0.13122826562827486,0.8086547245880806,0.8676610648856036,100,0.014039829302987184,0.013557349328814496,0.011382637661956716,0.016697020944017652
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,1,observed,none,100,100,0.04,0.01566330399154762,0.0983707143588792,100,0.06,0.027786123963188192,0.1247681544589592,100,0.04,0.01566330399154762,0.0983707143588792,100,0.07,0.03431926106727268,0.137495147390735,100,0.07,0.03431926106727268,0.137495147390735,100,0.07,0.03431926106727268,0.137495147390735,4,0.0,0.0,0.0,0.0,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.07,0.2564323999762428,0.01974017315773944,0.12025982684226058,100,0.03,0.1714466079977653,-0.0036029176947176764,0.06360291769471768,100,0.02,0.14070529413628965,-0.0075777308941242585,0.04757773089412426,98,0.04081632653061224,0.19888178879993867,0.0014404648604208273,0.08019218820080365,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,84,0.047619047619047616,0.1839828373846161,0.008274390918203756,0.08696370431989148,100,0.019308080808080785,0.009887513936199339,0.017370163686921927,0.021245997929239643
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,2,observed,none,100,100,0.16,0.10095288488804782,0.24420269389270244,100,0.19,0.12514751509768735,0.27778845379064376,100,0.16,0.10095288488804782,0.24420269389270244,100,0.16,0.10095288488804782,0.24420269389270244,100,0.16,0.10095288488804782,0.24420269389270244,100,0.16,0.10095288488804782,0.24420269389270244,16,0.625,0.5,0.38000450193249324,0.8699954980675068,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.25,0.6092717958449424,0.13058492233478725,0.36941507766521275,100,0.04,0.1969463855669324,0.0013992177403473402,0.07860078225965267,100,0.035,0.1282161999881214,0.00987008657886972,0.06012991342113029,100,0.09833333333333333,0.25080677902329596,0.04917610793691773,0.14749055872974892,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,82,0.1524390243902439,0.2906890960408751,0.08952174917252646,0.21535629960796132,100,0.018350951374207128,0.00950961250342927,0.016487101572841813,0.020214801175572443
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,4,observed,none,100,100,0.28,0.20139685211186212,0.3748802870992116,100,0.35,0.26364248243097527,0.44745556703112027,100,0.28,0.20139685211186212,0.3748802870992116,100,0.28,0.20139685211186212,0.3748802870992116,100,0.28,0.20139685211186212,0.3748802870992116,100,0.28,0.20139685211186212,0.3748802870992116,28,1.5357142857142858,1.0708993401928106,1.1390549078907033,1.9323736635378683,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.37,0.6765181207305297,0.23740488484794414,0.5025951151520558,100,0.0,0.0,0.0,0.0,100,0.0325,0.08449941724740778,0.01593841854804581,0.04906158145195419,100,0.0925,0.16912953018263244,0.059351221211986036,0.12564877878801395,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,76,0.34210526315789475,0.40519290041868644,0.25100846303721314,0.43320206327857635,100,0.014872241579558639,0.011951744862760962,0.01252974263121633,0.017214740527900948
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,8,observed,none,100,100,0.28,0.20139685211186212,0.3748802870992116,100,0.29,0.2101483574912227,0.3853889117557111,100,0.28,0.20139685211186212,0.3748802870992116,100,0.28,0.20139685211186212,0.3748802870992116,100,0.28,0.20139685211186212,0.3748802870992116,100,0.28,0.20139685211186212,0.3748802870992116,28,1.5,1.2909944487358056,1.021817751127716,1.978182248872284,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.51,0.9155778657672039,0.33055003580542325,0.6894499641945768,100,0.0,0.0,0.0,0.0,100,0.03,0.05365433699886599,0.019483943186784775,0.040516056813215226,100,0.06375,0.11444723322090049,0.041318754475677906,0.0861812455243221,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,68,0.3431372549019608,0.42186543104182705,0.24286804932702696,0.4434064604768946,100,0.014580369843527724,0.013525230052623639,0.011929473464951613,0.017231266222103837
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,low_volume,none,100,100,0.03,0.010254524024038925,0.0845193642905276,100,0.04,0.01566330399154762,0.0983707143588792,100,0.03,0.010254524024038925,0.0845193642905276,100,0.05,0.02154367915436796,0.11175046923191913,100,0.06,0.027786123963188192,0.1247681544589592,100,0.06,0.027786123963188192,0.1247681544589592,3,0.0,0.0,0.0,0.0,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.08,0.3074824459143229,0.01973454801296421,0.1402654519870358,100,0.05,0.21904291355759034,0.007068377835840266,0.09293162216415973,100,0.01,0.09999999999999999,-0.009599639845400536,0.02959963984540054,99,0.025252525252525252,0.14938201565349452,-0.004173310662574252,0.054678361167624756,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,82,0.028455284552845524,0.13809620225039185,-0.001434507950027454,0.0583450770557185,100,0.01954040404040402,0.010722079592571434,0.01743891505632283,0.02164189302448521
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,controlled,100,100,0.0,3.469446951953614e-18,0.03699349820698568,100,0.0,3.469446951953614e-18,0.03699349820698568,100,0.0,3.469446951953614e-18,0.03699349820698568,100,0.0,3.469446951953614e-18,0.03699349820698568,100,0.0,3.469446951953614e-18,0.03699349820698568,100,0.0,3.469446951953614e-18,0.03699349820698568,0,,,,,100,0.019369952793390936,0.015203158969490376,0.016390188390247112,0.02234971719653476,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0,,,,,100,0.3058695652173913,0.08497158089319645,0.2892154413913816,0.32252368904340095,63,0.0,0.0,0.0,0.0,100,0.019369952793390936,0.015203158969490376,0.016390188390247112,0.02234971719653476
