detector,duration_weeks,estimate,ci95_low,ci95_high,n
MAD failure,1,0.02015873015873015,0.01696943295158712,0.023932842352292476,6300
MAD failure,2,0.1519047619047619,0.14325394406655476,0.16097982693622662,6300
MAD failure,4,0.1953968253968254,0.18579266068115796,0.20537223058848975,6300
MAD failure,8,0.21984126984126984,0.2097872581966681,0.2302367298653059,6300
MAD latency,1,0.03206349206349206,0.027990457643900457,0.03670683233156666,6300
MAD latency,2,0.4336507936507937,0.42145746334822104,0.4459249882154646,6300
MAD latency,4,0.4712698412698413,0.45896487940330244,0.48360981852259977,6300
MAD latency,8,0.48158730158730156,0.4692640387639507,0.4939330052106606,6300
MAD rerun,1,0.005873015873015857,0.004264005644262752,0.008084252053711825,6300
MAD rerun,2,0.18015873015873016,0.17086443572131702,0.1898428367686987,6300
MAD rerun,4,0.19365079365079366,0.1840809298278908,0.20359402595659074,6300
MAD rerun,8,0.1919047619047619,0.1823695035405101,0.2018155167588053,6300
MAD two-of-three,1,0.005555555555555548,0.003997441931372976,0.00771628204202595,6300
MAD two-of-three,2,0.17952380952380953,0.17024295709618845,0.18919524794467593,6300
MAD two-of-three,4,0.21476190476190476,0.20479687684941741,0.225074571619346,6300
MAD two-of-three,8,0.2365079365079365,0.22617739419792834,0.24715961440426817,6300
MAD union,1,0.0711111111111111,0.06502260758130028,0.07772233051697382,6300
MAD union,2,0.46,0.44772106163470354,0.4723276890687625,6300
MAD union,4,0.5506349206349206,0.5383246303356097,0.5628834987342091,6300
MAD union,8,0.5576190476190476,0.5453232644536906,0.5698446065567929,6300
MEWMA,1,0.11380952380952379,0.10620165131997474,0.12188807273372652,6300
MEWMA,2,0.42142857142857143,0.4092868564860162,0.43366604668150627,6300
MEWMA,4,0.6009523809523809,0.5888020546103625,0.6129796698046994,6300
MEWMA,8,0.7288888888888889,0.7177749049341974,0.7397239104848584,6300
