detector,magnitude_order,estimate,ci95_low,ci95_high,n
MAD failure,1,0.05488095238095238,0.0502109073151809,0.059957931942124267,8400
MAD failure,2,0.1130952380952381,0.10649852078320707,0.12004566953138021,8400
MAD failure,3,0.2725,0.2630840383810855,0.28212394552389186,8400
MAD latency,1,0.24011904761904762,0.23110445144028127,0.24937123085410154,8400
MAD latency,2,0.39261904761904765,0.38222741747635963,0.4031088470355659,8400
MAD latency,3,0.4311904761904762,0.4206335599634356,0.44181029911405095,8400
MAD rerun,1,0.0655952380952381,0.060496950993041566,0.07109066453247506,8400
MAD rerun,2,0.14392857142857143,0.13658479458807007,0.15159787409837014,8400
MAD rerun,3,0.21916666666666668,0.21044955923435105,0.22814051613552938,8400
MAD two-of-three,1,0.07083333333333333,0.065541024485976,0.07651799277066622,8400
MAD two-of-three,2,0.15285714285714286,0.14532057478594143,0.16071107412400829,8400
MAD two-of-three,3,0.25357142857142856,0.2443818809798472,0.2629862648512899,8400
MAD union,1,0.30797619047619046,0.2981933233826668,0.31793460861038836,8400
MAD union,2,0.42297619047619045,0.41244890632152725,0.43357389095033055,8400
MAD union,3,0.49857142857142855,0.4878820891396211,0.5092620740246173,8400
MEWMA,1,0.23892857142857143,0.2299300449327235,0.24816577333185802,8400
MEWMA,2,0.5096428571428572,0.4989504005606952,0.5203264980806951,8400
MEWMA,3,0.6502380952380953,0.6399731468293012,0.6603656937316192,8400
