repo_full,detector,estimate,ci95_low,ci95_high,n
containerd/containerd,MAD failure,0.22297619047619047,0.21420262484751038,0.23200301541773408,8400
containerd/containerd,MAD latency,0.4164285714285714,0.4059270473407835,0.4270064977671673,8400
containerd/containerd,MAD rerun,0.3229761904761905,0.31305916732780154,0.3330550514407496,8400
containerd/containerd,MAD two-of-three,0.2820238095238095,0.27250222322168094,0.29174467292170647,8400
containerd/containerd,MAD union,0.6577380952380952,0.6475216024776135,0.6678103814710549,8400
containerd/containerd,MEWMA,0.638095238095238,0.6277576949568645,0.6483065325000826,8400
helm/helm,MAD failure,0.17416666666666666,0.16620578884424342,0.18242542619914903,8400
helm/helm,MAD latency,0.373452380952381,0.36316808193746264,0.38385237169466246,8400
helm/helm,MAD rerun,0.07404761904761904,0.06864060318160183,0.0798440469555038,8400
helm/helm,MAD two-of-three,0.1732142857142857,0.16527137067836545,0.18145595314118595,8400
helm/helm,MAD union,0.513095238095238,0.5024028814281505,0.5237756228996633,8400
helm/helm,MEWMA,0.2811904761904762,0.2716779173397832,0.2909030739827434,8400
pytest-dev/pytest,MAD failure,0.043333333333333335,0.039183957990780297,0.04790020017745257,8400
pytest-dev/pytest,MAD latency,0.27404761904761904,0.26461412453531125,0.28368768260840777,8400
pytest-dev/pytest,MAD rerun,0.03166666666666667,0.02813074230331023,0.03563074837287019,8400
pytest-dev/pytest,MAD two-of-three,0.022023809523809525,0.01909693986267731,0.025387652172112824,8400
pytest-dev/pytest,MAD union,0.05869047619047619,0.053862887056230394,0.06392151709643884,8400
pytest-dev/pytest,MEWMA,0.4795238095238095,0.4688520970652437,0.4902142416221745,8400
