scenario_id,repo_full,scenario_type,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,repetition,seed,start_index,end_index,injected_weeks,status,unsupported_reason
S000000001,docker/cli,no_injection,none,none,{},0,observed,none,0,15302786317929223605,,,[],evaluable,
S000000002,docker/cli,no_injection,none,none,{},0,observed,none,1,3538239750558122322,,,[],evaluable,
S000000003,docker/cli,no_injection,none,none,{},0,observed,none,2,6385691902884751086,,,[],evaluable,
S000000004,docker/cli,no_injection,none,none,{},0,observed,none,3,566180571354571206,,,[],evaluable,
S000000005,docker/cli,no_injection,none,none,{},0,observed,none,4,15528347639890709371,,,[],evaluable,
S000000006,docker/cli,no_injection,none,none,{},0,observed,none,5,9979338296825200561,,,[],evaluable,
S000000007,docker/cli,no_injection,none,none,{},0,observed,none,6,5838097974745916541,,,[],evaluable,
S000000008,docker/cli,no_injection,none,none,{},0,observed,none,7,6573049619574501016,,,[],evaluable,
S000000009,docker/cli,no_injection,none,none,{},0,observed,none,8,8341143321159869637,,,[],evaluable,
S000000010,docker/cli,no_injection,none,none,{},0,observed,none,9,17377065054667026718,,,[],evaluable,
S000000011,docker/cli,no_injection,none,none,{},0,observed,none,10,15979163959331198551,,,[],evaluable,
S000000012,docker/cli,no_injection,none,none,{},0,observed,none,11,15727151081066235270,,,[],evaluable,
S000000013,docker/cli,no_injection,none,none,{},0,observed,none,12,6908598589186743315,,,[],evaluable,
S000000014,docker/cli,no_injection,none,none,{},0,observed,none,13,11501831236414550341,,,[],evaluable,
S000000015,docker/cli,no_injection,none,none,{},0,observed,none,14,6105699134653101707,,,[],evaluable,
S000000016,docker/cli,no_injection,none,none,{},0,observed,none,15,11389809316530870146,,,[],evaluable,
S000000017,docker/cli,no_injection,none,none,{},0,observed,none,16,16813915736284362447,,,[],evaluable,
S000000018,docker/cli,no_injection,none,none,{},0,observed,none,17,9731787230473694432,,,[],evaluable,
S000000019,docker/cli,no_injection,none,none,{},0,observed,none,18,11271819943459822979,,,[],evaluable,
S000000020,docker/cli,no_injection,none,none,{},0,observed,none,19,8593034341714414253,,,[],evaluable,
S000000021,docker/cli,no_injection,none,none,{},0,observed,none,20,5809150211306303751,,,[],evaluable,
S000000022,docker/cli,no_injection,none,none,{},0,observed,none,21,10876878326867089042,,,[],evaluable,
S000000023,docker/cli,no_injection,none,none,{},0,observed,none,22,14281041469402559104,,,[],evaluable,
S000000024,docker/cli,no_injection,none,none,{},0,observed,none,23,17631332365055208953,,,[],evaluable,
S000000025,docker/cli,no_injection,none,none,{},0,observed,none,24,2757304736593481744,,,[],evaluable,
S000000026,docker/cli,no_injection,none,none,{},0,observed,none,25,7452626919876662590,,,[],evaluable,
S000000027,docker/cli,no_injection,none,none,{},0,observed,none,26,5486059902973379461,,,[],evaluable,
S000000028,docker/cli,no_injection,none,none,{},0,observed,none,27,3362978344709368431,,,[],evaluable,
S000000029,docker/cli,no_injection,none,none,{},0,observed,none,28,16601984212572109390,,,[],evaluable,
S000000030,docker/cli,no_injection,none,none,{},0,observed,none,29,15750328145600023807,,,[],evaluable,
S000000031,docker/cli,no_injection,none,none,{},0,observed,none,30,8593225580438474167,,,[],evaluable,
S000000032,docker/cli,no_injection,none,none,{},0,observed,none,31,8866595469726226475,,,[],evaluable,
S000000033,docker/cli,no_injection,none,none,{},0,observed,none,32,16091341055935367808,,,[],evaluable,
S000000034,docker/cli,no_injection,none,none,{},0,observed,none,33,6748547414386227678,,,[],evaluable,
S000000035,docker/cli,no_injection,none,none,{},0,observed,none,34,9801915562708092341,,,[],evaluable,
S000000036,docker/cli,no_injection,none,none,{},0,observed,none,35,13754516541728353961,,,[],evaluable,
S000000037,docker/cli,no_injection,none,none,{},0,observed,none,36,7667963936757147456,,,[],evaluable,
S000000038,docker/cli,no_injection,none,none,{},0,observed,none,37,4269739877998873725,,,[],evaluable,
S000000039,docker/cli,no_injection,none,none,{},0,observed,none,38,11048927816150625430,,,[],evaluable,
S000000040,docker/cli,no_injection,none,none,{},0,observed,none,39,8841165879221434567,,,[],evaluable,
S000000041,docker/cli,no_injection,none,none,{},0,observed,none,40,3079157048829136654,,,[],evaluable,
S000000042,docker/cli,no_injection,none,none,{},0,observed,none,41,11266697137267225935,,,[],evaluable,
S000000043,docker/cli,no_injection,none,none,{},0,observed,none,42,14027221285499679834,,,[],evaluable,
S000000044,docker/cli,no_injection,none,none,{},0,observed,none,43,1362388529314117340,,,[],evaluable,
S000000045,docker/cli,no_injection,none,none,{},0,observed,none,44,2440491689685865796,,,[],evaluable,
S000000046,docker/cli,no_injection,none,none,{},0,observed,none,45,17015196164927796463,,,[],evaluable,
S000000047,docker/cli,no_injection,none,none,{},0,observed,none,46,13774728120289080358,,,[],evaluable,
S000000048,docker/cli,no_injection,none,none,{},0,observed,none,47,5846083998884319397,,,[],evaluable,
S000000049,docker/cli,no_injection,none,none,{},0,observed,none,48,17401836693082809016,,,[],evaluable,
S000000050,docker/cli,no_injection,none,none,{},0,observed,none,49,416776536772039825,,,[],evaluable,
S000000051,docker/cli,no_injection,none,none,{},0,observed,none,50,9399702886643481437,,,[],evaluable,
S000000052,docker/cli,no_injection,none,none,{},0,observed,none,51,1326996459439278306,,,[],evaluable,
S000000053,docker/cli,no_injection,none,none,{},0,observed,none,52,4375387843015366457,,,[],evaluable,
S000000054,docker/cli,no_injection,none,none,{},0,observed,none,53,4300985010861322070,,,[],evaluable,
S000000055,docker/cli,no_injection,none,none,{},0,observed,none,54,6487394512211736702,,,[],evaluable,
S000000056,docker/cli,no_injection,none,none,{},0,observed,none,55,9139421849374765467,,,[],evaluable,
S000000057,docker/cli,no_injection,none,none,{},0,observed,none,56,7365277526718539642,,,[],evaluable,
S000000058,docker/cli,no_injection,none,none,{},0,observed,none,57,6350505220421631212,,,[],evaluable,
S000000059,docker/cli,no_injection,none,none,{},0,observed,none,58,17508070575485356650,,,[],evaluable,
