repo_full,detector_family,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,scenario_type,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenarios,mean_precision,precision_observations,mean_recall,recall_observations,mean_false_alarm_rate,false_alarm_rate_observations,mean_episode_detection_rate,episode_detection_rate_observations,mean_detection_delay_weeks,detection_delay_weeks_observations,mean_boundary_overlap,boundary_overlap_observations,mean_alarm_duration_weeks,alarm_duration_weeks_observations,mean_unevaluable_fraction,unevaluable_fraction_observations
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,2.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.30434782608695693,100,,0,,0,,0,7.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,2.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.22727272727272688,100,,0,,0,,0,5.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,2.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.19047619047619016,100,,0,,0,,0,4.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,2.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.15000000000000024,100,,0,,0,,0,3.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.043478260869565306,100,,0,,0,,0,1.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.2608695652173909,100,,0,,0,,0,6.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,2.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.13636363636363658,100,,0,,0,,0,3.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,2.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.09523809523809508,100,,0,,0,,0,2.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,2.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.049999999999999906,100,,0,,0,,0,1.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,2.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.5217391304347818,100,,0,,0,,0,12.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,2.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.4090909090909088,100,,0,,0,,0,9.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,2.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.3333333333333329,100,,0,,0,,0,7.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,2.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.25,100,,0,,0,,0,5.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,2.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.08695652173913061,100,,0,,0,,0,2.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,2.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,2.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,2.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.0,primary,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.21739130434782566,100,,0,,0,,0,5.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.0,primary,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.1818181818181819,100,,0,,0,,0,4.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.0,primary,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.1428571428571427,100,,0,,0,,0,3.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.0,primary,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.09999999999999981,100,,0,,0,,0,2.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.0,primary,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.0,primary,2.0,primary,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.0,primary,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.0,primary,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,3.0,primary,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.21739130434782566,100,,0,,0,,0,5.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,3.0,primary,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.13636363636363658,100,,0,,0,,0,3.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,3.0,primary,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.09523809523809508,100,,0,,0,,0,2.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,3.0,primary,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.049999999999999906,100,,0,,0,,0,1.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,3.0,primary,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.43478260869565133,100,,0,,0,,0,10.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,3.0,primary,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.31818181818181746,100,,0,,0,,0,7.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,3.0,primary,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.23809523809523753,100,,0,,0,,0,5.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,union,composite,13.0,primary,3.0,primary,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.15000000000000024,100,,0,,0,,0,3.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,3.0,primary,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,3.0,primary,2.0,primary,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,3.0,primary,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,two_of_three,composite,13.0,primary,3.0,primary,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.21739130434782566,100,,0,,0,,0,5.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.1818181818181819,100,,0,,0,,0,4.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.1428571428571427,100,,0,,0,,0,3.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,latency_log,latency_log,13.0,primary,3.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.09999999999999981,100,,0,,0,,0,2.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.38888888888888856,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.5,sensitivity,3.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.4166666666666665,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,13.0,primary,3.5,sensitivity,4.0,sensitivity,no_injection,none,none,{},0,observed,none,100,,0,,0,0.0,100,,0,,0,,0,0.0,100,0.44444444444444353,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,3.5,sensitivity,1.0,sensitivity,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.17391304347826123,100,,0,,0,,0,4.0,100,0.3611111111111112,100
docker/cli,causal_rolling_mad,rerun_rate,rerun_rate,13.0,primary,3.5,sensitivity,2.0,primary,no_injection,none,none,{},0,observed,none,100,0.0,100,,0,0.13636363636363658,100,,0,,0,,0,3.0,100,0.38888888888888856,100
