repo_full,detector_family,detector_variant,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,failure_rate,low_volume,none,2800,1.0,152,0.014330357142857143,2800,0.0,2800,0.054285714285714284,2800,2.223684210526316,152,0.014330357142857143,2800,0.06107142857142857,2800,0.3888888888888885,2800
docker/cli,causal_rolling_mad,failure_rate,observed,controlled,2800,1.0,7,0.0010322822822822744,2220,0.0,2800,0.0025,2800,1.7142857142857142,7,0.0010322822822822744,2220,0.002857142857142857,2800,0.46149801587301575,2800
docker/cli,causal_rolling_mad,failure_rate,observed,none,8400,1.0,599,0.026413690476190476,8400,0.0,8400,0.07130952380952381,8400,1.5041736227045075,599,0.026413690476190476,8400,0.09928571428571428,8400,0.38888888888888845,8400
docker/cli,causal_rolling_mad,latency_log,low_volume,none,2800,0.17330385487528355,2800,0.27950892857142856,2800,0.22460317460317425,2800,0.42857142857142855,2800,1.0,1200,0.14467261904761897,2800,5.378928571428571,2800,0.3888888888888885,2800
docker/cli,causal_rolling_mad,latency_log,observed,controlled,2800,0.059405895691609964,2800,0.1462612612612613,2220,0.24398360572299058,2800,0.18678571428571428,2800,1.0,523,0.050975443207586055,2800,4.395,2800,0.46176587301587274,2800
docker/cli,causal_rolling_mad,latency_log,observed,none,8400,0.16060922146636436,8400,0.25212797619047617,8400,0.22460317460317417,8400,0.41785714285714287,8400,1.0,3510,0.12963789682539678,8400,5.226428571428571,8400,0.38888888888888845,8400
docker/cli,causal_rolling_mad,rerun_rate,low_volume,none,2800,0.47218630268199224,2784,0.3319642857142857,2800,0.07427806122448974,2800,0.6217857142857143,2800,0.6628374497415278,1741,0.2435821995464852,2800,2.7860714285714288,2800,0.3888888888888885,2800
docker/cli,causal_rolling_mad,rerun_rate,observed,controlled,2800,0.422574703233729,2443,0.4094420532945123,2257,0.07611407501597126,2800,0.4928571428571429,2800,0.5,1380,0.271267507002801,2550,2.512857142857143,2800,0.4578273809523807,2800
docker/cli,causal_rolling_mad,rerun_rate,observed,none,8400,0.49226048752834456,8400,0.4372767857142857,8400,0.07837830687830684,8400,0.6798809523809524,8400,0.5475398354053581,5711,0.3156892006802721,8400,3.295238095238095,8400,0.38888888888888845,8400
docker/cli,causal_rolling_mad,two_of_three,low_volume,none,2800,1.0,830,0.12147321428571428,2800,0.0,2800,0.29642857142857143,2800,1.2843373493975903,830,0.12147321428571428,2800,0.6042857142857143,2800,0.3888888888888885,2800
docker/cli,causal_rolling_mad,two_of_three,observed,controlled,2800,1.0,143,0.0647293447293447,1170,0.0,2800,0.05107142857142857,2800,1.132867132867133,143,0.0647293447293447,1170,0.07892857142857143,2800,0.55859126984127,2800
docker/cli,causal_rolling_mad,two_of_three,observed,none,8400,1.0,2897,0.16302083333333334,8400,0.0,8400,0.3448809523809524,8400,1.162927166033828,2897,0.16302083333333334,8400,0.8133333333333334,8400,0.38888888888888845,8400
