repo_full,detector_family,detector_variant,metric,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,high,"{""failure_rate"": 0.2}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,high,"{""failure_rate"": 0.2}",2,observed,none,100,1.0,51,0.255,100,0.0,100,0.51,100,1.0,51,0.255,100,0.51,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,high,"{""failure_rate"": 0.2}",4,observed,none,100,1.0,57,0.2325,100,0.0,100,0.57,100,1.3859649122807018,57,0.2325,100,0.93,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,high,"{""failure_rate"": 0.2}",8,observed,none,100,1.0,37,0.06875,100,0.0,100,0.37,100,2.054054054054054,37,0.06875,100,0.55,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,low,"{""failure_rate"": 0.05}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,low,"{""failure_rate"": 0.05}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,low,"{""failure_rate"": 0.05}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,low,"{""failure_rate"": 0.05}",8,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,medium,"{""failure_rate"": 0.1}",1,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate,medium,"{""failure_rate"": 0.1}",1,observed,controlled,100,,0,,0,0.0,100,0.0,100,,0,,0,0.0,100,0.5419444444444445,100
