repo_full,detector_family,detector_variant,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,failure_rate,14000,1.0,758,0.01969386487829111,13420,0.0,14000,0.054142857142857145,14000,1.650395778364116,758,0.01969386487829111,13420,0.07235714285714286,14000,0.4034107142857139,14000
docker/cli,causal_rolling_mad,latency_log,14000,0.1429074829931973,14000,0.24032786885245905,13420,0.22847926082713746,14000,0.3737857142857143,14000,1.0,5233,0.11691235054627908,14000,5.090642857142857,14000,0.40346428571428533,14000
docker/cli,causal_rolling_mad,rerun_rate,14000,0.47566630673697524,13627,0.41069597341797687,13457,0.0771054113750763,14000,0.6308571428571429,14000,0.5628396739130435,8832,0.2927673881673882,13750,3.0369285714285716,14000,0.40267658730158695,14000
docker/cli,causal_rolling_mad,two_of_three,14000,1.0,3870,0.1443195904068984,12370,0.0,14000,0.2764285714285714,14000,1.1878552971576228,3870,0.1443195904068984,12370,0.6246428571428572,14000,0.42282936507936486,14000
docker/cli,causal_rolling_mad,union,14000,0.2292216527520099,14000,0.5672581514416599,12370,0.31000985018163796,14000,0.6775,14000,0.4931997891407485,9485,0.1951138569763569,14000,7.4038571428571425,14000,0.42282936507936486,14000
docker/cli,mewma,mewma,14000,0.49377662333489375,13832,0.7002091836734695,14000,0.061714402010804234,14000,0.8159285714285714,14000,0.41293880766873853,11423,0.42372482993197264,14000,4.914357142857143,14000,1.9841269841269286e-05,14000
prometheus/prometheus,causal_rolling_mad,failure_rate,14000,1.0,1345,0.04290671271866705,13401,0.0,14000,0.09607142857142857,14000,1.0988847583643122,1345,0.04290671271866705,13401,0.16992857142857143,14000,0.4037023809523806,14000
prometheus/prometheus,causal_rolling_mad,latency_log,14000,1.0,4329,0.15020116596325192,13404,0.0,14000,0.3092142857142857,14000,1.0,4329,0.15020116596325192,13404,0.5554285714285714,14000,0.403115079365079,14000
prometheus/prometheus,causal_rolling_mad,rerun_rate,14000,0.5873787774110181,13027,0.3626987080652879,13435,0.02249337331423791,14000,0.5977857142857143,14000,1.3216632811566495,8369,0.32979482761036155,13596,1.9070714285714285,14000,0.40285515873015837,14000
prometheus/prometheus,causal_rolling_mad,two_of_three,14000,1.0,2946,0.1059786727292411,12316,0.0,14000,0.21042857142857144,14000,1.0936863543788187,2946,0.1059786727292411,12316,0.3725,14000,0.42305753968253934,14000
prometheus/prometheus,causal_rolling_mad,union,14000,0.6400304351402483,12157,0.4720072805023276,12316,0.021462913235469564,14000,0.6336428571428572,14000,0.9426220268289933,8871,0.40892104462695,12785,2.137857142857143,14000,0.42305753968253934,14000
prometheus/prometheus,mewma,mewma,14000,0.7376058666487942,7105,0.3327117346938776,14000,0.021002262154861926,14000,0.5075,14000,1.595777621393385,7105,0.26728075396825396,14000,2.425,14000,1.5873015873015716e-05,14000
tektoncd/pipeline,causal_rolling_mad,failure_rate,14000,1.0,15,0.0003629932985852569,13430,0.0,14000,0.0010714285714285715,14000,2.3333333333333335,15,0.0003629932985852569,13430,0.0010714285714285715,14000,0.40343849206349175,14000
tektoncd/pipeline,causal_rolling_mad,latency_log,14000,0.9218997063474136,4427,0.19323953931472002,13421,0.0022442176870748143,14000,0.30378571428571427,14000,1.1105102280743004,4253,0.1885329849099315,13421,0.7955714285714286,14000,0.4031369047619044,14000
tektoncd/pipeline,causal_rolling_mad,rerun_rate,14000,0.4345606704966549,13403,0.15767260665788765,13452,0.028561406492421455,14000,0.4297142857142857,14000,0.7820811170212766,6016,0.14676806478405313,13760,1.1417857142857142,14000,0.4032420634920631,14000
tektoncd/pipeline,causal_rolling_mad,two_of_three,14000,1.0,851,0.02163338453661034,12369,0.0,14000,0.06078571428571428,14000,1.227967097532315,851,0.02163338453661034,12369,0.08957142857142857,14000,0.42324007936507907,14000
tektoncd/pipeline,causal_rolling_mad,union,14000,0.5174794847823828,12836,0.3536947206726494,12369,0.030758467948582873,14000,0.5527142857142857,14000,0.7335228741276816,7738,0.2807028112449799,13280,1.7842142857142858,14000,0.42324007936507907,14000
tektoncd/pipeline,mewma,mewma,14000,0.6486034280354338,5449,0.1795548469387755,14000,0.012801234243697465,14000,0.3206428571428571,14000,2.398975272889285,4489,0.1531781179138322,14000,1.3877142857142857,14000,2.5793650793650004e-05,14000
