repo_full,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,high,"{""failure_rate"": 0.2}",1,observed,none,100,0.445,100,0.89,100,0.04545454545454539,100,0.89,100,0.0,89,0.445,100,1.89,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,high,"{""failure_rate"": 0.2}",2,observed,none,100,0.5883333333333328,100,0.805,100,0.04761904761904749,100,0.96,100,0.1770833333333333,96,0.5366666666666665,100,2.61,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,high,"{""failure_rate"": 0.2}",4,observed,none,100,0.7166666666666663,100,0.7025,100,0.0526315789473684,100,1.0,100,0.29,100,0.5620000000000002,100,3.81,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,high,"{""failure_rate"": 0.2}",8,observed,none,100,0.684166666666666,100,0.34625,100,0.0666666666666666,100,0.96,100,0.5104166666666666,96,0.3077777777777773,100,3.77,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,low,"{""failure_rate"": 0.05}",1,observed,none,100,0.055,100,0.11,100,0.04545454545454539,100,0.11,100,0.0,11,0.055,100,1.11,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,low,"{""failure_rate"": 0.05}",2,observed,none,100,0.1,100,0.1,100,0.04761904761904749,100,0.2,100,0.45,20,0.0666666666666666,100,1.2,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,low,"{""failure_rate"": 0.05}",4,observed,none,100,0.1116666666666666,100,0.0575,100,0.0526315789473684,100,0.22,100,1.1363636363636365,22,0.046,100,1.23,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,low,"{""failure_rate"": 0.05}",8,observed,none,100,0.2183333333333333,100,0.05625,100,0.0666666666666666,100,0.43,100,1.930232558139535,43,0.049999999999999906,100,1.45,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",1,low_volume,none,100,0.225,100,0.45,100,0.04545454545454539,100,0.45,100,0.0,45,0.225,100,1.45,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",1,observed,controlled,100,0.0,100,,0,0.058982216399012,100,0.0,100,,0,0.0,100,1.0,100,0.5141666666666667,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",1,observed,none,100,0.14,100,0.28,100,0.04545454545454539,100,0.28,100,0.0,28,0.14,100,1.28,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",2,low_volume,none,100,0.3066666666666667,100,0.34,100,0.04761904761904749,100,0.58,100,0.3793103448275862,58,0.2266666666666666,100,1.68,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",2,observed,controlled,100,0.08,100,0.3265306122448979,49,0.0598668395158332,100,0.16,100,0.0,16,0.08,100,1.16,100,0.5125000000000001,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",2,observed,none,100,0.3,100,0.32,100,0.04761904761904749,100,0.58,100,0.3103448275862069,58,0.2133333333333333,100,1.64,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",4,low_volume,none,100,0.4658333333333332,100,0.305,100,0.0526315789473684,100,0.8,100,1.1625,80,0.2439999999999997,100,2.22,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",4,observed,controlled,100,0.16833333333333333,100,0.23376623376623373,77,0.0636728184526171,100,0.33,100,0.696969696969697,33,0.1141666666666667,100,1.35,100,0.5136111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",4,observed,none,100,0.3791666666666666,100,0.235,100,0.0526315789473684,100,0.67,100,0.9253731343283582,67,0.1879999999999998,100,1.94,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",8,low_volume,none,100,0.5944999999999996,100,0.235,100,0.0666666666666666,100,0.92,100,1.4565217391304348,92,0.2088888888888885,100,2.88,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",8,observed,controlled,100,0.22333333333333327,100,0.24137254901960778,85,0.0713699633699633,100,0.42,100,0.7857142857142857,42,0.1379999999999999,100,1.5,100,0.550555555555556,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate,medium,"{""failure_rate"": 0.1}",8,observed,none,100,0.4249999999999999,100,0.13875,100,0.0666666666666666,100,0.74,100,1.4324324324324325,74,0.12333333333333311,100,2.11,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",1,observed,none,100,0.375,100,0.75,100,0.04545454545454539,100,0.75,100,0.0,75,0.375,100,1.75,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",2,observed,none,100,0.5833333333333328,100,0.79,100,0.04761904761904749,100,0.96,100,0.1354166666666666,96,0.5266666666666666,100,2.58,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",4,observed,none,100,0.7084999999999995,100,0.6975,100,0.0526315789473684,100,0.98,100,0.3469387755102041,98,0.5579999999999999,100,3.79,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""rerun_rate"": 0.2}",8,observed,none,100,0.7019999999999996,100,0.35875,100,0.0666666666666666,100,0.98,100,0.5408163265306123,98,0.3188888888888884,100,3.87,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",1,observed,none,100,0.035,100,0.07,100,0.04545454545454539,100,0.07,100,0.0,7,0.035,100,1.07,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",2,observed,none,100,0.09,100,0.09,100,0.04761904761904749,100,0.18,100,0.3333333333333333,18,0.0599999999999999,100,1.18,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",4,observed,none,100,0.09,100,0.045,100,0.0526315789473684,100,0.18,100,1.6111111111111112,18,0.036,100,1.18,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""rerun_rate"": 0.05}",8,observed,none,100,0.2008333333333333,100,0.05375,100,0.0666666666666666,100,0.39,100,1.6153846153846154,39,0.0477777777777777,100,1.43,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,low_volume,none,100,0.155,100,0.31,100,0.04545454545454539,100,0.31,100,0.0,31,0.155,100,1.31,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,observed,controlled,100,0.06,100,0.3076923076923077,39,0.0524254864072975,100,0.12,100,0.0,12,0.06,100,1.12,100,0.445277777777778,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,observed,none,100,0.135,100,0.27,100,0.04545454545454539,100,0.27,100,0.0,27,0.135,100,1.27,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,low_volume,none,100,0.32,100,0.35,100,0.04761904761904749,100,0.61,100,0.5245901639344263,61,0.23333333333333323,100,1.7,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,observed,controlled,100,0.1766666666666666,100,0.3133333333333333,75,0.0539795373615032,100,0.35,100,0.2285714285714285,35,0.1383333333333333,100,1.36,100,0.4408333333333335,100
