repo_full,week,cd_runs,cd_failure_rate,cd_success_rate,cd_duration_med_min
tektoncd/pipeline,2024-12-02,1,0.0,1.0,577052.95
tektoncd/pipeline,2025-04-14,1,1.0,0.0,0.7333333333333333
tektoncd/pipeline,2025-05-12,2,0.0,1.0,1.2166666666666668
tektoncd/pipeline,2025-06-09,1,1.0,0.0,0.9833333333333333
tektoncd/pipeline,2025-07-14,2,0.5,0.5,1.0833333333333333
prometheus/prometheus,2025-07-21,11,0.45454545454545453,0.5454545454545454,0.13333333333333333
prometheus/prometheus,2025-07-28,2,0.0,1.0,0.15
prometheus/prometheus,2025-08-11,78,0.6282051282051282,0.3717948717948718,0.15
prometheus/prometheus,2025-08-18,148,0.4864864864864865,0.5135135135135135,0.13333333333333333
prometheus/prometheus,2025-08-25,115,0.3565217391304348,0.6434782608695653,0.15
tektoncd/pipeline,2025-09-01,2,1.0,0.0,0.7916666666666667
prometheus/prometheus,2025-09-01,176,0.3977272727272727,0.6022727272727273,0.15
prometheus/prometheus,2025-09-08,120,0.39166666666666666,0.6083333333333334,0.15
tektoncd/pipeline,2025-09-08,1,1.0,0.0,13.616666666666667
prometheus/prometheus,2025-09-15,116,0.20689655172413793,0.7931034482758621,0.14166666666666666
tektoncd/pipeline,2025-09-15,1,1.0,0.0,0.55
prometheus/prometheus,2025-09-22,79,0.31645569620253167,0.6835443037974683,0.15
tektoncd/pipeline,2025-09-22,1,1.0,0.0,1.0166666666666666
prometheus/prometheus,2025-09-29,53,0.39622641509433965,0.6037735849056604,0.13333333333333333
prometheus/prometheus,2025-10-06,198,0.1717171717171717,0.8282828282828283,0.13333333333333333
tektoncd/pipeline,2025-10-06,4,0.75,0.25,1.0166666666666666
prometheus/prometheus,2025-10-13,113,0.18584070796460178,0.8141592920353982,0.15
tektoncd/pipeline,2025-10-20,1,0.0,1.0,13.833333333333334
prometheus/prometheus,2025-10-20,135,0.1259259259259259,0.8740740740740741,0.21666666666666667
tektoncd/pipeline,2025-10-27,1,1.0,0.0,28.066666666666666
prometheus/prometheus,2025-10-27,34,0.0,1.0,0.016666666666666666
prometheus/prometheus,2025-11-03,230,0.09565217391304348,0.9043478260869565,0.11666666666666667
prometheus/prometheus,2025-11-10,66,0.18181818181818182,0.8181818181818181,0.13333333333333333
tektoncd/pipeline,2025-11-10,1,1.0,0.0,0.8
tektoncd/pipeline,2025-11-17,1,1.0,0.0,0.7833333333333333
prometheus/prometheus,2025-11-17,206,0.18932038834951456,0.8106796116504854,0.15
prometheus/prometheus,2025-11-24,97,0.09278350515463918,0.9072164948453608,0.15
prometheus/prometheus,2025-12-01,189,0.21693121693121692,0.783068783068783,0.13333333333333333
prometheus/prometheus,2025-12-08,10,0.4,0.6,0.14166666666666666
prometheus/prometheus,2025-12-15,221,0.26244343891402716,0.7375565610859729,0.13333333333333333
prometheus/prometheus,2025-12-22,126,0.31746031746031744,0.6825396825396826,0.13333333333333333
prometheus/prometheus,2025-12-29,159,0.2893081761006289,0.7106918238993711,0.13333333333333333
prometheus/prometheus,2026-01-05,30,0.43333333333333335,0.5666666666666667,0.13333333333333333
prometheus/prometheus,2026-01-12,205,0.25853658536585367,0.7414634146341463,0.13333333333333333
prometheus/prometheus,2026-01-19,213,0.10328638497652583,0.8967136150234741,0.15
prometheus/prometheus,2026-01-26,28,0.10714285714285714,0.8928571428571429,0.15
