repo_full,week,share_with_retry,avg_runs_per_key,p95_runs_per_key,n_keys
docker/cli,2024-11-26,0.07804878048780488,1.2975609756097561,3.799999999999983,205
prometheus/prometheus,2024-11-26,0.02,1.036,1.0,250
tektoncd/pipeline,2024-11-26,0.0,1.0,1.0,25
tektoncd/pipeline,2024-12-03,0.03278688524590164,1.284153005464481,1.0,183
docker/cli,2024-12-03,0.13524590163934427,1.3401639344262295,3.8499999999999943,244
prometheus/prometheus,2024-12-03,0.014534883720930232,1.0348837209302326,1.0,344
docker/cli,2024-12-10,0.08955223880597014,1.3880597014925373,4.0,201
tektoncd/pipeline,2024-12-10,0.09090909090909091,2.051948051948052,6.800000000000011,77
prometheus/prometheus,2024-12-10,0.004291845493562232,1.0042918454935623,1.0,699
tektoncd/pipeline,2024-12-17,0.03669724770642202,1.6605504587155964,1.0,109
prometheus/prometheus,2024-12-17,0.046822742474916385,1.0836120401337792,1.0,299
docker/cli,2024-12-17,0.06842105263157895,1.2210526315789474,3.549999999999983,190
tektoncd/pipeline,2024-12-24,0.034482758620689655,1.6896551724137931,1.0,29
docker/cli,2024-12-24,0.075,1.25,3.0999999999999943,40
prometheus/prometheus,2024-12-24,0.059782608695652176,1.0815217391304348,2.0,184
tektoncd/pipeline,2024-12-31,0.036585365853658534,1.7926829268292683,1.0,82
docker/cli,2024-12-31,0.12949640287769784,1.381294964028777,4.099999999999994,139
prometheus/prometheus,2024-12-31,0.0636604774535809,1.0795755968169762,2.0,377
prometheus/prometheus,2025-01-07,0.006329113924050633,1.0147679324894514,1.0,474
tektoncd/pipeline,2025-01-07,0.13636363636363635,2.0545454545454547,4.199999999999989,110
docker/cli,2025-01-07,0.08163265306122448,1.2081632653061225,2.799999999999983,245
tektoncd/pipeline,2025-01-14,0.03768844221105527,1.4221105527638191,1.0,398
prometheus/prometheus,2025-01-14,0.038461538461538464,1.047337278106509,1.0,338
docker/cli,2025-01-14,0.06707317073170732,1.2164634146341464,3.6499999999999773,328
tektoncd/pipeline,2025-01-21,0.047619047619047616,1.7976190476190477,1.0,252
docker/cli,2025-01-21,0.09045226130653267,1.2110552763819096,2.0,199
prometheus/prometheus,2025-01-21,0.045454545454545456,1.0454545454545454,1.0,176
docker/cli,2025-01-28,0.11987381703470032,1.220820189274448,2.0,317
prometheus/prometheus,2025-01-28,0.06092124814264487,1.0906389301634472,2.0,673
tektoncd/pipeline,2025-01-28,0.03169014084507042,1.721830985915493,1.0,284
prometheus/prometheus,2025-02-04,0.027692307692307693,1.073846153846154,1.0,325
docker/cli,2025-02-04,0.1174496644295302,1.2583892617449663,3.0,298
tektoncd/pipeline,2025-02-04,0.08433734939759036,1.8072289156626506,2.0,166
docker/cli,2025-02-11,0.14732142857142858,1.3258928571428572,3.8499999999999943,224
prometheus/prometheus,2025-02-11,0.04415584415584416,1.077922077922078,1.0,385
tektoncd/pipeline,2025-02-11,0.023076923076923078,1.5076923076923077,1.0,130
tektoncd/pipeline,2025-02-18,0.030805687203791468,1.3507109004739337,1.0,422
docker/cli,2025-02-18,0.10285714285714286,1.2257142857142858,3.0,350
prometheus/prometheus,2025-02-18,0.01293103448275862,1.0129310344827587,1.0,232
tektoncd/pipeline,2025-02-25,0.072992700729927,1.6094890510948905,3.0,274
docker/cli,2025-02-25,0.1437908496732026,1.5816993464052287,5.400000000000006,153
prometheus/prometheus,2025-02-25,0.00808080808080808,1.0141414141414142,1.0,495
prometheus/prometheus,2025-03-04,0.0068212824010914054,1.0081855388813097,1.0,733
tektoncd/pipeline,2025-03-04,0.05263157894736842,1.590643274853801,1.5,171
docker/cli,2025-03-04,0.058091286307053944,1.16597510373444,2.0,723
tektoncd/pipeline,2025-03-11,0.09004739336492891,1.7962085308056872,2.5,211
prometheus/prometheus,2025-03-11,0.011673151750972763,1.0233463035019454,1.0,257
docker/cli,2025-03-11,0.12337662337662338,1.1753246753246753,2.0,154
prometheus/prometheus,2025-03-18,0.0,1.0,1.0,612
docker/cli,2025-03-18,0.06479481641468683,1.1468682505399568,2.0,463
tektoncd/pipeline,2025-03-18,0.07236842105263158,1.5592105263157894,2.0,152
prometheus/prometheus,2025-03-25,0.10706638115631692,1.1156316916488223,2.0,467
docker/cli,2025-03-25,0.1440677966101695,1.3305084745762712,3.0,236
tektoncd/pipeline,2025-03-25,0.05128205128205128,1.4957264957264957,1.3499999999999943,234
docker/cli,2025-04-01,0.07142857142857142,1.1842105263157894,3.0,266
prometheus/prometheus,2025-04-01,0.011990407673860911,1.023980815347722,1.0,417
tektoncd/pipeline,2025-04-01,0.058394160583941604,1.5401459854014599,3.1999999999999886,137
prometheus/prometheus,2025-04-08,0.13714285714285715,1.1885714285714286,2.0,175
tektoncd/pipeline,2025-04-08,0.04195804195804196,1.4055944055944056,1.0,143
docker/cli,2025-04-08,0.06958762886597938,1.1314432989690721,2.0,388
prometheus/prometheus,2025-04-15,0.02252252252252252,1.0247747747747749,1.0,444
tektoncd/pipeline,2025-04-15,0.010869565217391304,1.4456521739130435,1.0,92
docker/cli,2025-04-15,0.14482758620689656,1.3379310344827586,3.0,290
prometheus/prometheus,2025-04-22,0.22660098522167488,1.2266009852216748,2.0,406
tektoncd/pipeline,2025-04-22,0.0425531914893617,1.3900709219858156,1.0,282
docker/cli,2025-04-22,0.06944444444444445,1.1944444444444444,3.0,216
docker/cli,2025-04-29,0.03125,1.0625,1.0,32
prometheus/prometheus,2025-04-29,0.017587939698492462,1.0226130653266332,1.0,398
tektoncd/pipeline,2025-04-29,0.07339449541284404,1.2935779816513762,2.0,109
prometheus/prometheus,2025-05-06,0.054838709677419356,1.0548387096774194,2.0,310
docker/cli,2025-05-06,0.06896551724137931,1.1896551724137931,3.0,116
tektoncd/pipeline,2025-05-06,0.05747126436781609,1.5057471264367817,2.0,261
tektoncd/pipeline,2025-05-13,0.0410958904109589,1.773972602739726,1.0,146
prometheus/prometheus,2025-05-13,0.027777777777777776,1.0396825396825398,1.0,252
docker/cli,2025-05-13,0.07894736842105263,1.1626794258373205,3.0,418
prometheus/prometheus,2025-05-20,0.14054054054054055,1.1567567567567567,2.0,185
tektoncd/pipeline,2025-05-20,0.06321839080459771,1.5517241379310345,2.0,174
docker/cli,2025-05-20,0.1388888888888889,1.2619047619047619,3.0,252
prometheus/prometheus,2025-05-27,0.011695906432748537,1.0146198830409356,1.0,342
docker/cli,2025-05-27,0.09691629955947137,1.2070484581497798,3.0,227
tektoncd/pipeline,2025-05-27,0.05714285714285714,1.4476190476190476,1.7999999999999972,105
prometheus/prometheus,2025-06-03,0.024096385542168676,1.0441767068273093,1.0,249
tektoncd/pipeline,2025-06-03,0.028169014084507043,1.676056338028169,1.0,142
docker/cli,2025-06-03,0.05128205128205128,1.1282051282051282,1.1000000000000014,39
tektoncd/pipeline,2025-06-10,0.07296137339055794,1.5751072961373391,3.0,233
prometheus/prometheus,2025-06-10,0.008379888268156424,1.0251396648044693,1.0,358
docker/cli,2025-06-10,0.10738255033557047,1.221476510067114,3.0,149
prometheus/prometheus,2025-06-17,0.03551912568306011,1.040983606557377,1.0,366
tektoncd/pipeline,2025-06-17,0.06097560975609756,1.4634146341463414,1.9500000000000028,82
docker/cli,2025-06-17,0.1,1.2666666666666666,3.0,120
tektoncd/pipeline,2025-06-24,0.07228915662650602,1.7228915662650603,2.8999999999999915,83
prometheus/prometheus,2025-06-24,0.02286902286902287,1.0311850311850312,1.0,481
docker/cli,2025-06-24,0.12222222222222222,1.2555555555555555,3.0,90
prometheus/prometheus,2025-07-01,0.03238095238095238,1.0323809523809524,1.0,525
tektoncd/pipeline,2025-07-01,0.18811881188118812,1.881188118811881,2.0,101
docker/cli,2025-07-01,0.08888888888888889,1.1703703703703703,2.299999999999997,135
tektoncd/pipeline,2025-07-08,0.07692307692307693,1.8461538461538463,2.0,117
docker/cli,2025-07-08,0.16363636363636364,1.3227272727272728,3.0,220
prometheus/prometheus,2025-07-08,0.013513513513513514,1.0315315315315314,1.0,444
prometheus/prometheus,2025-07-15,0.024691358024691357,1.0493827160493827,1.0,243
tektoncd/pipeline,2025-07-15,0.08411214953271028,1.588785046728972,2.0,214
docker/cli,2025-07-15,0.04666666666666667,1.1666666666666667,1.0,300
docker/cli,2025-07-22,0.04,1.0729411764705883,1.0,425
prometheus/prometheus,2025-07-22,0.02288329519450801,1.0389016018306636,1.0,437
tektoncd/pipeline,2025-07-22,0.06291390728476821,1.695364238410596,2.0,302
docker/cli,2025-07-29,0.2262210796915167,1.3213367609254498,2.0,389
prometheus/prometheus,2025-07-29,0.013725490196078431,1.0215686274509803,1.0,510
tektoncd/pipeline,2025-07-29,0.06406685236768803,1.6963788300835654,2.0,359
docker/cli,2025-08-05,0.05901639344262295,1.1508196721311474,2.0,305
prometheus/prometheus,2025-08-05,0.01289134438305709,1.022099447513812,1.0,543
tektoncd/pipeline,2025-08-05,0.08974358974358974,2.1923076923076925,5.449999999999974,78
docker/cli,2025-08-12,0.08205128205128205,1.3076923076923077,4.0,390
tektoncd/pipeline,2025-08-12,0.0787037037037037,1.5138888888888888,4.0,216
prometheus/prometheus,2025-08-12,0.13947990543735225,1.1891252955082743,2.0,423
docker/cli,2025-08-19,0.07317073170731707,1.2682926829268293,2.799999999999983,205
tektoncd/pipeline,2025-08-19,0.1308411214953271,1.9205607476635513,3.3499999999999943,214
prometheus/prometheus,2025-08-19,0.07160493827160494,1.125925925925926,2.0,405
docker/cli,2025-08-26,0.0957004160887656,1.3051317614424411,3.0,721
prometheus/prometheus,2025-08-26,0.058011049723756904,1.0966850828729282,2.0,362
tektoncd/pipeline,2025-08-26,0.1452991452991453,1.9230769230769231,3.1999999999999886,117
tektoncd/pipeline,2025-09-02,0.05223880597014925,1.712686567164179,1.6499999999999773,268
docker/cli,2025-09-02,0.1130820399113082,1.237250554323725,2.5,451
prometheus/prometheus,2025-09-02,0.070298769771529,1.1511423550087874,2.0,569
tektoncd/pipeline,2025-09-09,0.16,2.2,7.0,75
docker/cli,2025-09-09,0.065,1.205,2.099999999999966,200
prometheus/prometheus,2025-09-09,0.116991643454039,1.2256267409470751,3.0,359
prometheus/prometheus,2025-09-16,0.12420382165605096,1.194267515923567,2.0,314
tektoncd/pipeline,2025-09-16,0.0410958904109589,1.7397260273972603,1.0,73
tektoncd/pipeline,2025-09-23,0.06666666666666667,1.9333333333333333,4.999999999999986,45
docker/cli,2025-09-23,0.09143518518518519,1.3113425925925926,3.0,864
prometheus/prometheus,2025-09-23,0.09876543209876543,1.1440329218106995,2.0,243
prometheus/prometheus,2025-09-30,0.08178438661710037,1.1895910780669146,2.0,269
tektoncd/pipeline,2025-09-30,0.14130434782608695,1.934782608695652,6.849999999999994,184
docker/cli,2025-09-30,0.10416666666666667,1.3041666666666667,3.0,240
prometheus/prometheus,2025-10-07,0.06774193548387097,1.0983870967741935,2.0,620
tektoncd/pipeline,2025-10-07,0.1334841628959276,1.7058823529411764,5.0,442
docker/cli,2025-10-07,0.0807899461400359,1.2280071813285458,2.0,557
tektoncd/pipeline,2025-10-14,0.14215686274509803,1.6029411764705883,4.0,204
docker/cli,2025-10-14,0.07692307692307693,1.164835164835165,2.0,182
prometheus/prometheus,2025-10-14,0.057208237986270026,1.1121281464530892,2.0,437
docker/cli,2025-10-21,0.032432432432432434,1.0648648648648649,1.0,185
prometheus/prometheus,2025-10-21,0.08496732026143791,1.1198257080610021,2.0,459
tektoncd/pipeline,2025-10-21,0.12735849056603774,1.509433962264151,4.0,424
prometheus/prometheus,2025-10-28,0.05217391304347826,1.065217391304348,1.549999999999983,230
