repo_full,week,avg_runs_per_sha,p95_runs_per_sha
docker/cli,2024-11-25,6.181818181818182,11.399999999999999
prometheus/prometheus,2024-11-25,2.9036144578313254,4.8999999999999915
tektoncd/pipeline,2024-11-25,12.0,12.0
tektoncd/pipeline,2024-12-02,4.444444444444445,10.599999999999994
docker/cli,2024-12-02,6.909090909090909,12.0
prometheus/prometheus,2024-12-02,2.75,3.0
tektoncd/pipeline,2024-12-09,8.333333333333334,28.0
prometheus/prometheus,2024-12-09,3.2657004830917873,8.0
docker/cli,2024-12-09,6.891891891891892,11.599999999999987
tektoncd/pipeline,2024-12-16,5.9393939393939394,26.39999999999997
prometheus/prometheus,2024-12-16,2.8119658119658117,6.199999999999989
docker/cli,2024-12-16,6.372093023255814,10.0
tektoncd/pipeline,2024-12-23,10.25,26.09999999999999
docker/cli,2024-12-23,6.823529411764706,10.0
prometheus/prometheus,2024-12-23,2.945945945945946,7.199999999999974
tektoncd/pipeline,2024-12-30,7.5,36.549999999999976
docker/cli,2024-12-30,6.555555555555555,11.7
prometheus/prometheus,2024-12-30,3.185185185185185,4.0
prometheus/prometheus,2025-01-06,2.3583333333333334,4.0
tektoncd/pipeline,2025-01-06,8.61111111111111,28.949999999999953
docker/cli,2025-01-06,6.151515151515151,9.399999999999999
tektoncd/pipeline,2025-01-13,7.285714285714286,24.400000000000006
docker/cli,2025-01-13,6.524590163934426,10.0
prometheus/prometheus,2025-01-13,3.121212121212121,6.0
prometheus/prometheus,2025-01-20,2.981132075471698,6.0
docker/cli,2025-01-20,6.39622641509434,10.399999999999999
tektoncd/pipeline,2025-01-20,8.5,25.75
docker/cli,2025-01-27,6.823529411764706,11.0
prometheus/prometheus,2025-01-27,3.3878504672897196,6.0
tektoncd/pipeline,2025-01-27,8.576271186440678,22.49999999999997
prometheus/prometheus,2025-02-03,3.0,5.699999999999989
docker/cli,2025-02-03,6.52,11.0
tektoncd/pipeline,2025-02-03,9.86111111111111,55.0
docker/cli,2025-02-10,7.0,11.299999999999997
prometheus/prometheus,2025-02-10,3.1241379310344826,5.799999999999983
tektoncd/pipeline,2025-02-10,8.263157894736842,21.29999999999995
tektoncd/pipeline,2025-02-17,6.266666666666667,22.549999999999997
docker/cli,2025-02-17,6.911764705882353,11.0
prometheus/prometheus,2025-02-17,3.4794520547945207,5.3999999999999915
tektoncd/pipeline,2025-02-24,7.023809523809524,23.39999999999995
docker/cli,2025-02-24,7.365853658536586,14.0
prometheus/prometheus,2025-02-24,3.732394366197183,4.0
prometheus/prometheus,2025-03-03,3.9176470588235293,7.0
tektoncd/pipeline,2025-03-03,5.825,12.04999999999994
docker/cli,2025-03-03,6.474747474747475,12.099999999999994
tektoncd/pipeline,2025-03-10,7.08,32.449999999999946
prometheus/prometheus,2025-03-10,3.393939393939394,5.0
docker/cli,2025-03-10,5.27536231884058,8.599999999999994
tektoncd/pipeline,2025-03-17,6.352941176470588,24.699999999999996
prometheus/prometheus,2025-03-17,3.7823129251700682,5.0
docker/cli,2025-03-17,5.896551724137931,10.0
tektoncd/pipeline,2025-03-24,5.676923076923077,10.599999999999994
prometheus/prometheus,2025-03-24,3.591240875912409,6.0
docker/cli,2025-03-24,7.416666666666667,13.5
prometheus/prometheus,2025-03-31,3.4817518248175183,4.199999999999989
docker/cli,2025-03-31,6.314814814814815,9.699999999999989
tektoncd/pipeline,2025-03-31,6.615384615384615,18.75
prometheus/prometheus,2025-04-07,3.6774193548387095,6.0
tektoncd/pipeline,2025-04-07,5.25,14.849999999999952
docker/cli,2025-04-07,6.125,10.0
prometheus/prometheus,2025-04-14,3.4803149606299213,5.0
tektoncd/pipeline,2025-04-14,6.161290322580645,14.5
docker/cli,2025-04-14,6.862068965517241,15.0
docker/cli,2025-04-21,6.351351351351352,11.0
prometheus/prometheus,2025-04-21,4.1192660550458715,8.0
tektoncd/pipeline,2025-04-21,6.095238095238095,17.949999999999996
prometheus/prometheus,2025-04-28,3.4296296296296296,5.0
docker/cli,2025-04-28,5.181818181818182,8.0
tektoncd/pipeline,2025-04-28,5.375,13.899999999999991
prometheus/prometheus,2025-05-05,3.3333333333333335,6.0
docker/cli,2025-05-05,6.666666666666667,9.599999999999998
tektoncd/pipeline,2025-05-05,5.5625,19.65
prometheus/prometheus,2025-05-12,3.4025974025974026,6.0
tektoncd/pipeline,2025-05-12,6.551724137931035,15.149999999999999
docker/cli,2025-05-12,5.776315789473684,9.25
tektoncd/pipeline,2025-05-19,6.3478260869565215,24.75
docker/cli,2025-05-19,6.96078431372549,12.5
prometheus/prometheus,2025-05-19,3.703125,6.0
docker/cli,2025-05-26,6.543478260869565,10.75
tektoncd/pipeline,2025-05-26,6.05,14.150000000000002
prometheus/prometheus,2025-05-26,3.6455696202531644,6.0
tektoncd/pipeline,2025-06-02,7.242424242424242,8.599999999999987
docker/cli,2025-06-02,6.375,8.95
prometheus/prometheus,2025-06-02,3.6931818181818183,6.0
tektoncd/pipeline,2025-06-09,5.725806451612903,20.74999999999998
docker/cli,2025-06-09,6.285714285714286,10.0
prometheus/prometheus,2025-06-09,3.3863636363636362,4.0
prometheus/prometheus,2025-06-16,3.45,6.0
docker/cli,2025-06-16,7.363636363636363,10.95
tektoncd/pipeline,2025-06-16,6.826086956521739,28.69999999999998
docker/cli,2025-06-23,6.666666666666667,12.699999999999996
prometheus/prometheus,2025-06-23,3.3691275167785233,4.0
tektoncd/pipeline,2025-06-23,8.615384615384615,29.799999999999955
tektoncd/pipeline,2025-06-30,7.6521739130434785,28.099999999999973
prometheus/prometheus,2025-06-30,3.4964028776978417,5.099999999999994
docker/cli,2025-06-30,6.333333333333333,9.849999999999998
prometheus/prometheus,2025-07-07,3.356687898089172,4.0
tektoncd/pipeline,2025-07-07,7.242424242424242,19.999999999999986
docker/cli,2025-07-07,6.75,10.0
docker/cli,2025-07-14,6.269230769230769,11.0
tektoncd/pipeline,2025-07-14,6.4576271186440675,16.499999999999915
prometheus/prometheus,2025-07-14,3.4057971014492754,5.599999999999994
docker/cli,2025-07-21,5.654320987654321,8.0
tektoncd/pipeline,2025-07-21,5.833333333333333,17.0
prometheus/prometheus,2025-07-21,3.4193548387096775,5.849999999999994
docker/cli,2025-07-28,6.946666666666666,10.0
prometheus/prometheus,2025-07-28,3.523489932885906,4.0
tektoncd/pipeline,2025-07-28,6.032608695652174,24.900000000000006
prometheus/prometheus,2025-08-04,3.4093959731543624,4.599999999999994
tektoncd/pipeline,2025-08-04,9.444444444444445,41.29999999999998
docker/cli,2025-08-04,6.140350877192983,10.199999999999996
tektoncd/pipeline,2025-08-11,5.7368421052631575,14.999999999999979
docker/cli,2025-08-11,6.0638297872340425,11.0
prometheus/prometheus,2025-08-11,4.161290322580645,8.0
docker/cli,2025-08-18,6.181818181818182,9.0
tektoncd/pipeline,2025-08-18,6.88135593220339,26.49999999999997
prometheus/prometheus,2025-08-18,4.513274336283186,7.0
tektoncd/pipeline,2025-08-25,8.458333333333334,41.14999999999996
docker/cli,2025-08-25,6.5174825174825175,12.0
prometheus/prometheus,2025-08-25,4.490196078431373,7.0
docker/cli,2025-09-01,6.731958762886598,12.199999999999989
prometheus/prometheus,2025-09-01,4.844262295081967,8.949999999999989
tektoncd/pipeline,2025-09-01,6.703125,7.399999999999977
tektoncd/pipeline,2025-09-08,7.111111111111111,32.29999999999998
docker/cli,2025-09-08,6.803921568627451,10.5
prometheus/prometheus,2025-09-08,4.873563218390805,10.0
prometheus/prometheus,2025-09-15,4.612903225806452,8.0
tektoncd/pipeline,2025-09-15,7.2631578947368425,22.099999999999913
prometheus/prometheus,2025-09-22,4.765625,8.0
tektoncd/pipeline,2025-09-22,8.636363636363637,33.5
docker/cli,2025-09-22,6.666666666666667,13.0
tektoncd/pipeline,2025-09-29,7.0,24.499999999999957
docker/cli,2025-09-29,6.5636363636363635,12.299999999999997
prometheus/prometheus,2025-09-29,4.75,8.099999999999994
prometheus/prometheus,2025-10-06,4.383783783783784,7.0
tektoncd/pipeline,2025-10-06,7.232323232323233,19.399999999999977
docker/cli,2025-10-06,5.8090909090909095,12.0
prometheus/prometheus,2025-10-13,4.43956043956044,7.0
tektoncd/pipeline,2025-10-13,8.02127659574468,22.29999999999996
docker/cli,2025-10-13,6.733333333333333,12.599999999999994
tektoncd/pipeline,2025-10-20,7.740259740259741,17.400000000000006
docker/cli,2025-10-20,6.2105263157894735,9.149999999999999
prometheus/prometheus,2025-10-20,4.138888888888889,7.849999999999994
docker/cli,2025-10-27,5.666666666666667,7.0
prometheus/prometheus,2025-10-27,4.9393939393939394,7.199999999999996
tektoncd/pipeline,2025-10-27,8.142857142857142,17.0
prometheus/prometheus,2025-11-03,4.65,8.0
tektoncd/pipeline,2025-11-03,8.051282051282051,20.80000000000001
docker/cli,2025-11-03,6.3,9.049999999999983
docker/cli,2025-11-10,6.435897435897436,10.100000000000001
prometheus/prometheus,2025-11-10,5.023809523809524,8.949999999999996
tektoncd/pipeline,2025-11-10,11.566666666666666,32.74999999999993
tektoncd/pipeline,2025-11-17,7.44,18.0
docker/cli,2025-11-17,6.857142857142857,15.099999999999998
prometheus/prometheus,2025-11-17,4.324175824175824,6.949999999999989
tektoncd/pipeline,2025-11-24,7.018867924528302,17.4
docker/cli,2025-11-24,7.208333333333333,11.0
prometheus/prometheus,2025-11-24,4.383720930232558,6.0
prometheus/prometheus,2025-12-01,4.562043795620438,7.199999999999989
docker/cli,2025-12-01,7.846153846153846,12.599999999999994
tektoncd/pipeline,2025-12-01,9.75,18.849999999999994
tektoncd/pipeline,2025-12-08,3.3333333333333335,7.299999999999999
prometheus/prometheus,2025-12-08,4.090909090909091,5.0
docker/cli,2025-12-08,6.5,8.75
tektoncd/pipeline,2025-12-15,9.072072072072071,19.5
docker/cli,2025-12-15,7.041666666666667,11.699999999999996
prometheus/prometheus,2025-12-15,4.511520737327189,8.0
prometheus/prometheus,2025-12-22,5.051282051282051,8.149999999999991
tektoncd/pipeline,2025-12-22,8.08,17.0
docker/cli,2025-12-22,6.846153846153846,9.0
prometheus/prometheus,2025-12-29,5.017241379310345,9.0
tektoncd/pipeline,2025-12-29,14.142857142857142,36.39999999999998
docker/cli,2025-12-29,7.0,7.0
tektoncd/pipeline,2026-01-05,10.083333333333334,38.39999999999999
docker/cli,2026-01-05,5.583333333333333,8.45
prometheus/prometheus,2026-01-05,4.5,6.849999999999998
prometheus/prometheus,2026-01-12,4.574358974358974,7.299999999999983
tektoncd/pipeline,2026-01-12,9.34375,21.699999999999996
docker/cli,2026-01-12,6.266666666666667,10.799999999999997
docker/cli,2026-01-19,6.571428571428571,10.449999999999998
tektoncd/pipeline,2026-01-19,11.461538461538462,20.599999999999994
prometheus/prometheus,2026-01-19,4.190697674418605,6.0
docker/cli,2026-01-26,6.333333333333333,8.299999999999999
prometheus/prometheus,2026-01-26,4.125,7.849999999999998
tektoncd/pipeline,2026-01-26,8.2,20.199999999999996
