repo_full,week,ci_duration_med_min,ci_failure_rate,ci_runs
docker/cli,2024-11-25,576238.35,0.06372549019607843,204
prometheus/prometheus,2024-11-25,576200.9666666667,0.08713692946058091,241
tektoncd/pipeline,2024-11-25,576860.775,0.08333333333333333,12
tektoncd/pipeline,2024-12-02,577043.7833333334,0.145,200
docker/cli,2024-12-02,576366.7416666667,0.0756578947368421,304
prometheus/prometheus,2024-12-02,576737.025,0.18716577540106952,374
tektoncd/pipeline,2024-12-09,576528.6833333333,0.05714285714285714,175
prometheus/prometheus,2024-12-09,577510.9416666667,0.2470414201183432,676
docker/cli,2024-12-09,576634.5166666667,0.050980392156862744,255
tektoncd/pipeline,2024-12-16,576616.8166666667,0.08163265306122448,196
prometheus/prometheus,2024-12-16,576912.3166666667,0.1702127659574468,329
docker/cli,2024-12-16,576433.6666666667,0.12773722627737227,274
tektoncd/pipeline,2024-12-23,0.75,0.07317073170731707,41
docker/cli,2024-12-23,1.925,0.06896551724137931,116
prometheus/prometheus,2024-12-23,2.4,0.14678899082568808,109
tektoncd/pipeline,2024-12-30,0.36666666666666664,0.02962962962962963,135
docker/cli,2024-12-30,1.85,0.11299435028248588,177
prometheus/prometheus,2024-12-30,13.975,0.22093023255813954,430
prometheus/prometheus,2025-01-06,1.6666666666666667,0.19081272084805653,283
tektoncd/pipeline,2025-01-06,0.3,0.06451612903225806,155
docker/cli,2025-01-06,1.95,0.14285714285714285,203
tektoncd/pipeline,2025-01-13,1.5333333333333334,0.0427807486631016,561
docker/cli,2025-01-13,1.9583333333333333,0.15326633165829145,398
prometheus/prometheus,2025-01-13,15.483333333333334,0.13754045307443366,618
prometheus/prometheus,2025-01-20,3.208333333333333,0.12658227848101267,158
docker/cli,2025-01-20,1.9333333333333333,0.09144542772861357,339
tektoncd/pipeline,2025-01-20,0.55,0.02100840336134454,476
docker/cli,2025-01-27,1.8666666666666667,0.15517241379310345,232
prometheus/prometheus,2025-01-27,18.116666666666667,0.14620689655172414,725
tektoncd/pipeline,2025-01-27,0.5833333333333334,0.06521739130434782,506
prometheus/prometheus,2025-02-03,13.733333333333333,0.19314641744548286,321
docker/cli,2025-02-03,1.9666666666666666,0.12474437627811862,489
tektoncd/pipeline,2025-02-03,0.4,0.036619718309859155,355
docker/cli,2025-02-10,1.9333333333333333,0.12653061224489795,245
prometheus/prometheus,2025-02-10,1.65,0.20750551876379691,453
tektoncd/pipeline,2025-02-10,0.8166666666666667,0.1337579617834395,157
tektoncd/pipeline,2025-02-17,0.75,0.06914893617021277,564
docker/cli,2025-02-17,1.9166666666666667,0.2276595744680851,470
prometheus/prometheus,2025-02-17,0.95,0.15748031496062992,254
tektoncd/pipeline,2025-02-24,0.5666666666666667,0.08135593220338982,295
docker/cli,2025-02-24,1.8333333333333333,0.056291390728476824,302
prometheus/prometheus,2025-02-24,16.6,0.14150943396226415,530
prometheus/prometheus,2025-03-03,17.083333333333336,0.2882882882882883,666
tektoncd/pipeline,2025-03-03,0.5166666666666667,0.08798283261802575,466
docker/cli,2025-03-03,1.9333333333333333,0.20748829953198128,641
tektoncd/pipeline,2025-03-10,0.3333333333333333,0.06779661016949153,354
prometheus/prometheus,2025-03-10,0.9166666666666666,0.21726190476190477,336
docker/cli,2025-03-10,2.158333333333333,0.17857142857142858,364
tektoncd/pipeline,2025-03-17,0.5416666666666667,0.09259259259259259,216
prometheus/prometheus,2025-03-17,23.96666666666667,0.08633093525179857,556
docker/cli,2025-03-17,2.1166666666666667,0.16569200779727095,513
tektoncd/pipeline,2025-03-24,0.5,0.1002710027100271,369
prometheus/prometheus,2025-03-24,0.9833333333333333,0.17276422764227642,492
docker/cli,2025-03-24,2.05,0.09737827715355805,267
prometheus/prometheus,2025-03-31,1.0666666666666667,0.18448637316561844,477
docker/cli,2025-03-31,1.9666666666666666,0.10850439882697947,341
tektoncd/pipeline,2025-03-31,0.42500000000000004,0.046511627906976744,172
prometheus/prometheus,2025-04-07,0.9333333333333333,0.15789473684210525,228
tektoncd/pipeline,2025-04-07,0.55,0.07142857142857142,210
docker/cli,2025-04-07,2.0583333333333336,0.17346938775510204,490
prometheus/prometheus,2025-04-14,1.375,0.09502262443438914,442
tektoncd/pipeline,2025-04-14,0.5666666666666667,0.08900523560209424,191
docker/cli,2025-04-14,1.9416666666666667,0.1507537688442211,398
docker/cli,2025-04-21,1.9166666666666667,0.1148936170212766,235
prometheus/prometheus,2025-04-21,2.75,0.12026726057906459,449
tektoncd/pipeline,2025-04-21,0.5166666666666667,0.0859375,256
prometheus/prometheus,2025-04-28,1.0333333333333334,0.1468682505399568,463
docker/cli,2025-04-28,1.9166666666666667,0.22807017543859648,57
tektoncd/pipeline,2025-04-28,0.7833333333333333,0.05426356589147287,258
prometheus/prometheus,2025-05-05,0.9333333333333333,0.10666666666666667,300
docker/cli,2025-05-05,1.9416666666666667,0.1,100
tektoncd/pipeline,2025-05-05,0.6,0.07116104868913857,267
prometheus/prometheus,2025-05-12,1.0,0.12213740458015267,262
tektoncd/pipeline,2025-05-12,0.3916666666666667,0.05,380
docker/cli,2025-05-12,2.1,0.16400911161731208,439
tektoncd/pipeline,2025-05-19,0.5416666666666667,0.0273972602739726,292
docker/cli,2025-05-19,2.1166666666666667,0.16056338028169015,355
prometheus/prometheus,2025-05-19,1.0,0.08860759493670886,237
docker/cli,2025-05-26,1.9833333333333334,0.15614617940199335,301
tektoncd/pipeline,2025-05-26,0.65,0.024793388429752067,121
prometheus/prometheus,2025-05-26,5.616666666666667,0.0798611111111111,288
tektoncd/pipeline,2025-06-02,0.4,0.0502092050209205,239
docker/cli,2025-06-02,2.0166666666666666,0.09803921568627451,51
prometheus/prometheus,2025-06-02,1.1166666666666667,0.13846153846153847,325
tektoncd/pipeline,2025-06-09,0.5,0.030985915492957747,355
docker/cli,2025-06-09,1.9333333333333333,0.1875,176
prometheus/prometheus,2025-06-09,0.9333333333333333,0.11409395973154363,298
prometheus/prometheus,2025-06-16,0.9166666666666666,0.0748792270531401,414
docker/cli,2025-06-16,1.925,0.17901234567901234,162
tektoncd/pipeline,2025-06-16,0.5,0.012738853503184714,157
docker/cli,2025-06-23,1.9333333333333333,0.175,80
prometheus/prometheus,2025-06-23,0.95,0.14741035856573706,502
tektoncd/pipeline,2025-06-23,0.45,0.05357142857142857,112
tektoncd/pipeline,2025-06-30,0.30833333333333335,0.017045454545454544,176
prometheus/prometheus,2025-06-30,0.95,0.10699588477366255,486
docker/cli,2025-06-30,1.7833333333333334,0.23684210526315788,152
prometheus/prometheus,2025-07-07,0.9666666666666667,0.11954459203036052,527
