repo_full,week,merge_count
docker/cli,2024-01-08,16
tektoncd/pipeline,2024-01-08,1
prometheus/prometheus,2024-01-08,2
docker/cli,2024-01-15,16
tektoncd/pipeline,2024-01-15,7
prometheus/prometheus,2024-01-15,18
docker/cli,2024-01-22,19
tektoncd/pipeline,2024-01-22,23
prometheus/prometheus,2024-01-22,23
docker/cli,2024-01-29,8
tektoncd/pipeline,2024-01-29,1
prometheus/prometheus,2024-01-29,12
tektoncd/pipeline,2024-02-05,8
prometheus/prometheus,2024-02-05,5
docker/cli,2024-02-05,8
prometheus/prometheus,2024-02-12,6
docker/cli,2024-02-12,8
tektoncd/pipeline,2024-02-12,25
prometheus/prometheus,2024-02-19,12
docker/cli,2024-02-19,7
tektoncd/pipeline,2024-02-19,12
prometheus/prometheus,2024-02-26,22
tektoncd/pipeline,2024-02-26,15
docker/cli,2024-02-26,6
tektoncd/pipeline,2024-03-04,4
prometheus/prometheus,2024-03-04,30
docker/cli,2024-03-04,16
tektoncd/pipeline,2024-03-11,4
prometheus/prometheus,2024-03-11,20
docker/cli,2024-03-11,9
prometheus/prometheus,2024-03-18,23
docker/cli,2024-03-18,16
tektoncd/pipeline,2024-03-18,17
docker/cli,2024-03-25,5
tektoncd/pipeline,2024-03-25,18
prometheus/prometheus,2024-03-25,25
docker/cli,2024-04-01,8
tektoncd/pipeline,2024-04-01,23
prometheus/prometheus,2024-04-01,19
tektoncd/pipeline,2024-04-08,28
prometheus/prometheus,2024-04-08,9
docker/cli,2024-04-08,7
prometheus/prometheus,2024-04-15,14
docker/cli,2024-04-15,8
tektoncd/pipeline,2024-04-15,1
prometheus/prometheus,2024-04-22,11
docker/cli,2024-04-22,5
tektoncd/pipeline,2024-04-22,21
docker/cli,2024-04-29,8
tektoncd/pipeline,2024-04-29,5
prometheus/prometheus,2024-04-29,27
tektoncd/pipeline,2024-05-06,9
prometheus/prometheus,2024-05-06,13
docker/cli,2024-05-06,6
tektoncd/pipeline,2024-05-13,25
prometheus/prometheus,2024-05-13,14
docker/cli,2024-05-13,13
tektoncd/pipeline,2024-05-20,7
docker/cli,2024-05-20,5
prometheus/prometheus,2024-05-20,7
docker/cli,2024-05-27,14
tektoncd/pipeline,2024-05-27,16
prometheus/prometheus,2024-05-27,11
docker/cli,2024-06-03,24
tektoncd/pipeline,2024-06-03,17
prometheus/prometheus,2024-06-03,63
tektoncd/pipeline,2024-06-10,12
prometheus/prometheus,2024-06-10,15
docker/cli,2024-06-10,17
prometheus/prometheus,2024-06-17,25
docker/cli,2024-06-17,24
tektoncd/pipeline,2024-06-17,13
prometheus/prometheus,2024-06-24,19
docker/cli,2024-06-24,15
tektoncd/pipeline,2024-06-24,8
prometheus/prometheus,2024-07-01,17
tektoncd/pipeline,2024-07-01,19
docker/cli,2024-07-01,22
