repo_full,month,time_to_release_med_days,n
prometheus/prometheus,2024-01-01,6.807291666666667,47
tektoncd/pipeline,2024-01-01,19.753668981481482,32
prometheus/prometheus,2024-02-01,9.927488425925926,53
tektoncd/pipeline,2024-02-01,5.090810185185185,59
tektoncd/pipeline,2024-03-01,1.8416898148148149,44
prometheus/prometheus,2024-03-01,4.107916666666666,98
tektoncd/pipeline,2024-04-01,3.79875,77
prometheus/prometheus,2024-04-01,8.027488425925926,64
tektoncd/pipeline,2024-05-01,6.350723379629629,58
prometheus/prometheus,2024-05-01,8.735162037037037,61
prometheus/prometheus,2024-06-01,1.3161111111111112,122
tektoncd/pipeline,2024-06-01,7.435815972222223,50
prometheus/prometheus,2024-07-01,6.238622685185185,83
tektoncd/pipeline,2024-07-01,2.7224363425925926,60
prometheus/prometheus,2024-08-01,4.696354166666667,100
tektoncd/pipeline,2024-08-01,4.0202430555555555,33
prometheus/prometheus,2024-09-01,5.872835648148148,147
tektoncd/pipeline,2024-09-01,9.0903125,44
prometheus/prometheus,2024-10-01,7.3034375,129
tektoncd/pipeline,2024-10-01,7.8678182870370375,36
tektoncd/pipeline,2024-11-01,0.9309837962962964,35
prometheus/prometheus,2024-11-01,2.3699247685185183,138
tektoncd/pipeline,2024-12-01,30.718425925925928,24
prometheus/prometheus,2024-12-01,8.94457175925926,149
tektoncd/pipeline,2025-01-01,5.553900462962963,60
prometheus/prometheus,2025-01-01,19.236527777777777,117
tektoncd/pipeline,2025-02-01,15.759965277777777,30
prometheus/prometheus,2025-02-01,6.25693287037037,67
tektoncd/pipeline,2025-03-01,3.697384259259259,46
prometheus/prometheus,2025-03-01,7.604398148148148,177
prometheus/prometheus,2025-04-01,4.296805555555555,75
tektoncd/pipeline,2025-04-01,10.762997685185185,44
tektoncd/pipeline,2025-05-01,22.685358796296295,49
prometheus/prometheus,2025-05-01,8.893530092592593,63
tektoncd/pipeline,2025-06-01,18.97678240740741,43
prometheus/prometheus,2025-06-01,9.296388888888888,51
tektoncd/pipeline,2025-07-01,13.120393518518519,51
prometheus/prometheus,2025-07-01,4.743368055555555,82
tektoncd/pipeline,2025-08-01,16.22875,37
prometheus/prometheus,2025-08-01,10.85316550925926,56
tektoncd/pipeline,2025-09-01,9.598113425925925,14
prometheus/prometheus,2025-09-01,7.920092592592592,53
tektoncd/pipeline,2025-10-01,9.829583333333334,50
prometheus/prometheus,2025-10-01,1.8163310185185184,101
tektoncd/pipeline,2025-11-01,12.492337962962964,36
prometheus/prometheus,2025-11-01,6.4832986111111115,89
tektoncd/pipeline,2025-12-01,0.11658564814814815,7
prometheus/prometheus,2025-12-01,5.156956018518518,75
prometheus/prometheus,2026-01-01,2.1786921296296295,83
