owner,repo,repo_full,release_id,tag_name,name,draft,prerelease,created_at,published_at,published_at_dt,created_at_dt,release_time_dt
tektoncd,pipeline,tektoncd/pipeline,267047566,v1.7.0,"Tekton Pipeline release v1.7.0 ""LaPerm Little Helper""",False,False,2025-12-03T10:07:25Z,2025-12-03T11:22:40Z,2025-12-03 11:22:40+00:00,2025-12-03 10:07:25+00:00,2025-12-03 11:22:40+00:00
tektoncd,pipeline,tektoncd/pipeline,258624494,v1.6.0,"Tekton Pipeline release v1.6.0 LTS ""Sphynx Sentinels""",False,False,2025-10-30T17:04:25Z,2025-10-31T09:03:58Z,2025-10-31 09:03:58+00:00,2025-10-30 17:04:25+00:00,2025-10-31 09:03:58+00:00
tektoncd,pipeline,tektoncd/pipeline,251837142,v1.5.0,"Tekton Pipeline release v1.5.0 ""Bombay Robbie""",False,False,2025-10-02T13:30:13Z,2025-10-02T20:45:26Z,2025-10-02 20:45:26+00:00,2025-10-02 13:30:13+00:00,2025-10-02 20:45:26+00:00
tektoncd,pipeline,tektoncd/pipeline,244864883,v1.4.0,"Tekton Pipeline release v1.4.0 ""Kurilian K-2SO""",False,False,2025-09-04T16:12:02Z,2025-09-04T17:35:07Z,2025-09-04 17:35:07+00:00,2025-09-04 16:12:02+00:00,2025-09-04 17:35:07+00:00
tektoncd,pipeline,tektoncd/pipeline,245123139,v1.3.2,"Tekton Pipeline release v1.3.2 ""Maine Coon Melfina""",False,False,2025-09-04T21:39:00Z,2025-09-05T16:28:09Z,2025-09-05 16:28:09+00:00,2025-09-04 21:39:00+00:00,2025-09-05 16:28:09+00:00
tektoncd,pipeline,tektoncd/pipeline,237717871,v1.3.1,"Tekton Pipeline release v1.3.1 LTS ""Maine Coon Melfina""",False,False,2025-08-05T14:24:26Z,2025-08-05T21:34:57Z,2025-08-05 21:34:57+00:00,2025-08-05 14:24:26+00:00,2025-08-05 21:34:57+00:00
tektoncd,pipeline,tektoncd/pipeline,236870911,v1.3.0,"Tekton Pipeline release v1.3.0 LTS ""Maine Coon Melfina""",False,False,2025-07-31T21:33:21Z,2025-08-04T14:09:33Z,2025-08-04 14:09:33+00:00,2025-07-31 21:33:21+00:00,2025-08-04 14:09:33+00:00
tektoncd,pipeline,tektoncd/pipeline,229130042,v1.2.0,"Tekton Pipeline release v1.2.0 ""Dragon Li Dreadnought""",False,False,2025-06-30T12:03:57Z,2025-07-01T13:53:34Z,2025-07-01 13:53:34+00:00,2025-06-30 12:03:57+00:00,2025-07-01 13:53:34+00:00
tektoncd,pipeline,tektoncd/pipeline,223202598,v1.1.0,"Tekton Pipeline release v1.1.0 ""Selkirk Rex Saul Tigh""",False,False,2025-05-29T01:14:50Z,2025-06-04T21:12:49Z,2025-06-04 21:12:49+00:00,2025-05-29 01:14:50+00:00,2025-06-04 21:12:49+00:00
tektoncd,pipeline,tektoncd/pipeline,215491153,v1.0.0,"Tekton Pipeline release v1.0.0 ""Oriental Omnidroid"" LTS",False,False,2025-04-28T23:06:43Z,2025-05-01T00:03:29Z,2025-05-01 00:03:29+00:00,2025-04-28 23:06:43+00:00,2025-05-01 00:03:29+00:00
tektoncd,pipeline,tektoncd/pipeline,215266818,v0.59.6,"Tekton Pipeline release v0.59.6 ""Scottish Fold Sox""",False,False,2025-04-25T13:34:42Z,2025-04-29T13:33:33Z,2025-04-29 13:33:33+00:00,2025-04-25 13:34:42+00:00,2025-04-29 13:33:33+00:00
tektoncd,pipeline,tektoncd/pipeline,208966057,v0.70.0,"Tekton Pipeline release v0.70.0 ""Norwegian Forest Cat Number Five (Aaron Doral)""",False,False,2025-03-25T14:12:49Z,2025-03-28T14:47:12Z,2025-03-28 14:47:12+00:00,2025-03-25 14:12:49+00:00,2025-03-28 14:47:12+00:00
tektoncd,pipeline,tektoncd/pipeline,206992317,v0.69.1,"Tekton Pipeline release v0.69.1 ""Oriental Longhair Omnibot""",False,False,2025-03-18T16:46:45Z,2025-03-20T12:05:22Z,2025-03-20 12:05:22+00:00,2025-03-18 16:46:45+00:00,2025-03-20 12:05:22+00:00
tektoncd,pipeline,tektoncd/pipeline,207017935,v0.68.1,"Tekton Pipeline release v0.68.1 ""LaPerm Giskard Reventlov"" LTS",False,False,2025-03-14T10:46:11Z,2025-03-20T12:04:50Z,2025-03-20 12:04:50+00:00,2025-03-14 10:46:11+00:00,2025-03-20 12:04:50+00:00
tektoncd,pipeline,tektoncd/pipeline,207199645,v0.65.7,"Tekton Pipeline release v0.65.7 ""Sokoke Herbie""",False,False,2025-03-14T15:40:11Z,2025-04-29T14:22:45Z,2025-04-29 14:22:45+00:00,2025-03-14 15:40:11+00:00,2025-04-29 14:22:45+00:00
tektoncd,pipeline,tektoncd/pipeline,207234103,v0.62.9,"Tekton Pipeline release v0.62.9 ""Ragamuffin Reventlov""",False,False,2025-03-14T16:06:11Z,2025-04-29T14:22:52Z,2025-04-29 14:22:52+00:00,2025-03-14 16:06:11+00:00,2025-04-29 14:22:52+00:00
tektoncd,pipeline,tektoncd/pipeline,204296547,v0.69.0,"Tekton Pipeline release v0.69.0 ""Oriental Longhair Omnibot""",False,False,2025-03-06T09:21:03Z,2025-03-07T07:39:16Z,2025-03-07 07:39:16+00:00,2025-03-06 09:21:03+00:00,2025-03-07 07:39:16+00:00
tektoncd,pipeline,tektoncd/pipeline,197630372,v0.68.0,"Tekton Pipeline release v0.68.0 ""LaPerm Giskard Reventlov"" LTS",False,False,2025-01-30T14:31:39Z,2025-01-31T09:34:17Z,2025-01-31 09:34:17+00:00,2025-01-30 14:31:39+00:00,2025-01-31 09:34:17+00:00
tektoncd,pipeline,tektoncd/pipeline,197118090,v0.65.6,"Tekton Pipeline release v0.65.6 ""Sokoke Herbie""",False,False,2025-01-22T18:39:35Z,2025-01-28T12:49:01Z,2025-01-28 12:49:01+00:00,2025-01-22 18:39:35+00:00,2025-01-28 12:49:01+00:00
tektoncd,pipeline,tektoncd/pipeline,197133727,v0.62.8,"Tekton Pipeline release v0.62.8 ""Ragamuffin Reventlov""",False,False,2025-01-22T18:39:35Z,2025-01-28T12:48:50Z,2025-01-28 12:48:50+00:00,2025-01-22 18:39:35+00:00,2025-01-28 12:48:50+00:00
tektoncd,pipeline,tektoncd/pipeline,194732730,v0.62.7,"Tekton Pipeline release v0.62.7 ""Ragamuffin Reventlov""",False,False,2025-01-14T16:26:01Z,2025-01-14T17:20:03Z,2025-01-14 17:20:03+00:00,2025-01-14 16:26:01+00:00,2025-01-14 17:20:03+00:00
tektoncd,pipeline,tektoncd/pipeline,194737841,v0.65.5,"Tekton Pipeline release v0.65.5 ""Sokoke Herbie""",False,False,2025-01-09T10:20:03Z,2025-01-14T17:33:47Z,2025-01-14 17:33:47+00:00,2025-01-09 10:20:03+00:00,2025-01-14 17:33:47+00:00
tektoncd,pipeline,tektoncd/pipeline,189055953,v0.66.0,"Tekton Pipeline release v0.66.0 ""American Curl AL-76""",False,False,2024-12-03T11:42:27Z,2024-12-04T22:16:05Z,2024-12-04 22:16:05+00:00,2024-12-03 11:42:27+00:00,2024-12-04 22:16:05+00:00
tektoncd,pipeline,tektoncd/pipeline,189166136,v0.65.4,"Tekton Pipeline release v0.65.4 ""Sokoke Herbie""",False,False,2024-12-03T13:18:27Z,2024-12-05T13:12:08Z,2024-12-05 13:12:08+00:00,2024-12-03 13:18:27+00:00,2024-12-05 13:12:08+00:00
tektoncd,pipeline,tektoncd/pipeline,188682876,v0.65.3,"Tekton Pipeline release v0.65.3 ""Sokoke Herbie""",False,False,2024-11-25T14:42:23Z,2024-12-03T11:46:54Z,2024-12-03 11:46:54+00:00,2024-11-25 14:42:23+00:00,2024-12-03 11:46:54+00:00
tektoncd,pipeline,tektoncd/pipeline,186134970,v0.65.2,"Tekton Pipeline release v0.65.2 ""Sokoke Herbie""",False,False,2024-11-18T16:44:20Z,2024-11-19T09:09:41Z,2024-11-19 09:09:41+00:00,2024-11-18 16:44:20+00:00,2024-11-19 09:09:41+00:00
tektoncd,pipeline,tektoncd/pipeline,186139764,v0.62.6,"Tekton Pipeline release v0.62.6 ""Ragamuffin Reventlov""",False,False,2024-11-18T16:50:20Z,2024-11-20T07:44:25Z,2024-11-20 07:44:25+00:00,2024-11-18 16:50:20+00:00,2024-11-20 07:44:25+00:00
tektoncd,pipeline,tektoncd/pipeline,186212500,v0.59.5,"Tekton Pipeline release v0.59.5 ""Scottish Fold Sox""",False,False,2024-11-18T16:40:20Z,2024-11-20T07:44:38Z,2024-11-20 07:44:38+00:00,2024-11-18 16:40:20+00:00,2024-11-20 07:44:38+00:00
tektoncd,pipeline,tektoncd/pipeline,183873331,v0.65.1,"Tekton Pipeline release v0.65.1 ""Sokoke Herbie LTS""",False,False,2024-11-05T19:40:31Z,2024-11-06T08:15:23Z,2024-11-06 08:15:23+00:00,2024-11-05 19:40:31+00:00,2024-11-06 08:15:23+00:00
tektoncd,pipeline,tektoncd/pipeline,183873171,v0.62.5,"Tekton Pipeline release v0.62.5 ""Ragamuffin Reventlov""",False,False,2024-11-05T19:40:31Z,2024-11-06T08:15:08Z,2024-11-06 08:15:08+00:00,2024-11-05 19:40:31+00:00,2024-11-06 08:15:08+00:00
tektoncd,pipeline,tektoncd/pipeline,186366136,v0.56.9,"Tekton Pipeline release v0.56.9 ""Persian Terminator""",False,False,2024-11-05T19:40:31Z,2024-12-03T11:47:14Z,2024-12-03 11:47:14+00:00,2024-11-05 19:40:31+00:00,2024-12-03 11:47:14+00:00
tektoncd,pipeline,tektoncd/pipeline,182274858,v0.65.0,"Tekton Pipeline release v0.65.0 ""Sokoke Herbie LTS""",False,False,2024-10-24T10:28:51Z,2024-10-28T14:52:16Z,2024-10-28 14:52:16+00:00,2024-10-24 10:28:51+00:00,2024-10-28 14:52:16+00:00
tektoncd,pipeline,tektoncd/pipeline,180392173,v0.62.4,"Tekton Pipeline release v0.62.4 ""Ragamuffin Reventlov""",False,False,2024-10-16T09:16:30Z,2024-10-17T08:55:56Z,2024-10-17 08:55:56+00:00,2024-10-16 09:16:30+00:00,2024-10-17 08:55:56+00:00
tektoncd,pipeline,tektoncd/pipeline,180392848,v0.59.4,"Tekton Pipeline release v0.59.4 ""Scottish Fold Sox""",False,False,2024-10-16T09:16:30Z,2024-10-17T08:55:45Z,2024-10-17 08:55:45+00:00,2024-10-16 09:16:30+00:00,2024-10-17 08:55:45+00:00
tektoncd,pipeline,tektoncd/pipeline,180279060,v0.56.8,"Tekton Pipeline release v0.56.8 ""Persian Terminator""",False,False,2024-10-16T09:16:30Z,2024-10-17T08:54:12Z,2024-10-17 08:54:12+00:00,2024-10-16 09:16:30+00:00,2024-10-17 08:54:12+00:00
tektoncd,pipeline,tektoncd/pipeline,180295883,v0.53.9,"Tekton Pipeline release v0.53.9 ""Chartreux Rachael""",False,False,2024-10-16T09:16:30Z,2024-10-17T08:53:47Z,2024-10-17 08:53:47+00:00,2024-10-16 09:16:30+00:00,2024-10-17 08:53:47+00:00
tektoncd,pipeline,tektoncd/pipeline,177258978,v0.64.0,"Tekton Pipeline release v0.64.0 ""Ragamuffin Reventlov""",False,False,2024-09-27T08:38:03Z,2024-09-27T10:18:29Z,2024-09-27 10:18:29+00:00,2024-09-27 08:38:03+00:00,2024-09-27 10:18:29+00:00
tektoncd,pipeline,tektoncd/pipeline,173239149,v0.62.3,"Tekton Pipeline release v0.62.3 ""Birman HAL LTS""",False,False,2024-09-02T20:31:18Z,2024-09-03T14:56:51Z,2024-09-03 14:56:51+00:00,2024-09-02 20:31:18+00:00,2024-09-03 14:56:51+00:00
tektoncd,pipeline,tektoncd/pipeline,172831791,v0.63.0,"Tekton Pipeline release v0.63.0 ""Abyssinian K-9""",False,False,2024-08-30T09:35:17Z,2024-08-30T18:58:24Z,2024-08-30 18:58:24+00:00,2024-08-30 09:35:17+00:00,2024-08-30 18:58:24+00:00
tektoncd,pipeline,tektoncd/pipeline,171637569,v0.62.2,"Tekton Pipeline release v0.62.2 ""Birman HAL LTS""",False,False,2024-08-20T08:20:11Z,2024-08-23T10:14:10Z,2024-08-23 10:14:10+00:00,2024-08-20 08:20:11+00:00,2024-08-23 10:14:10+00:00
tektoncd,pipeline,tektoncd/pipeline,168786409,v0.56.7,"Tekton Pipeline release v0.56.7 ""Persian Terminator""",False,False,2024-08-01T08:31:15Z,2024-08-06T08:27:16Z,2024-08-06 08:27:16+00:00,2024-08-01 08:31:15+00:00,2024-08-06 08:27:16+00:00
tektoncd,pipeline,tektoncd/pipeline,168754942,v0.62.1,"Tekton Pipeline release v0.62.1 ""Birman HAL LTS""",False,False,2024-07-31T15:09:15Z,2024-08-06T08:26:29Z,2024-08-06 08:26:29+00:00,2024-07-31 15:09:15+00:00,2024-08-06 08:26:29+00:00
tektoncd,pipeline,tektoncd/pipeline,168767467,v0.59.3,"Tekton Pipeline release v0.59.3 ""Scottish Fold Sox""",False,False,2024-07-31T14:53:15Z,2024-08-06T08:26:53Z,2024-08-06 08:26:53+00:00,2024-07-31 14:53:15+00:00,2024-08-06 08:26:53+00:00
tektoncd,pipeline,tektoncd/pipeline,167221259,v0.62.0,"Tekton Pipeline release v0.62.0 ""Birman HAL LTS""",False,False,2024-07-25T12:49:47Z,2024-07-25T23:24:17Z,2024-07-25 23:24:17+00:00,2024-07-25 12:49:47+00:00,2024-07-25 23:24:17+00:00
tektoncd,pipeline,tektoncd/pipeline,168866651,v0.53.8,"Tekton Pipeline release v0.53.8 ""Chartreux Rachael""",False,False,2024-07-15T15:12:52Z,2024-08-06T11:39:50Z,2024-08-06 11:39:50+00:00,2024-07-15 15:12:52+00:00,2024-08-06 11:39:50+00:00
tektoncd,pipeline,tektoncd/pipeline,164632348,v0.61.1,"Tekton Pipeline release v0.61.1 ""Ragdoll Data""",False,False,2024-07-09T13:54:18Z,2024-07-09T14:57:06Z,2024-07-09 14:57:06+00:00,2024-07-09 13:54:18+00:00,2024-07-09 14:57:06+00:00
tektoncd,pipeline,tektoncd/pipeline,164078255,v0.59.2,"Tekton Pipeline release v0.59.2 ""Scottish Fold Sox""",False,False,2024-07-04T20:03:28Z,2024-07-04T23:40:18Z,2024-07-04 23:40:18+00:00,2024-07-04 20:03:28+00:00,2024-07-04 23:40:18+00:00
tektoncd,pipeline,tektoncd/pipeline,164477269,v0.56.6,"Tekton Pipeline release v0.56.6 ""Persian Terminator""",False,False,2024-07-04T07:37:28Z,2024-07-08T20:25:14Z,2024-07-08 20:25:14+00:00,2024-07-04 07:37:28+00:00,2024-07-08 20:25:14+00:00
tektoncd,pipeline,tektoncd/pipeline,162403049,v0.61.0,"Tekton Pipeline release v0.61.0 ""Ragdoll Data""",False,False,2024-06-24T14:41:21Z,2024-06-25T22:43:59Z,2024-06-25 22:43:59+00:00,2024-06-24 14:41:21+00:00,2024-06-25 22:43:59+00:00
tektoncd,pipeline,tektoncd/pipeline,159513299,v0.53.7,"Tekton Pipeline release v0.53.7 ""Chartreux Rachael""",False,False,2024-06-05T12:47:13Z,2024-06-08T13:58:09Z,2024-06-08 13:58:09+00:00,2024-06-05 12:47:13+00:00,2024-06-08 13:58:09+00:00
tektoncd,pipeline,tektoncd/pipeline,159507549,v0.60.2,"Tekton Pipeline release v0.60.2 ""Chinchilla Tobor""",False,False,2024-06-04T23:23:12Z,2024-06-08T12:40:37Z,2024-06-08 12:40:37+00:00,2024-06-04 23:23:12+00:00,2024-06-08 12:40:37+00:00
tektoncd,pipeline,tektoncd/pipeline,159506806,v0.59.1,"Tekton Pipeline release v0.59.1 ""Scottish Fold Sox""",False,False,2024-06-04T19:11:12Z,2024-06-08T12:07:50Z,2024-06-08 12:07:50+00:00,2024-06-04 19:11:12+00:00,2024-06-08 12:07:50+00:00
tektoncd,pipeline,tektoncd/pipeline,159507650,v0.56.5,"Tekton Pipeline release v0.56.5 ""Persian Terminator""",False,False,2024-06-04T19:11:12Z,2024-06-08T12:42:04Z,2024-06-08 12:42:04+00:00,2024-06-04 19:11:12+00:00,2024-06-08 12:42:04+00:00
tektoncd,pipeline,tektoncd/pipeline,157842354,v0.60.1,"Tekton Pipeline release v0.60.1 ""Chinchilla Tobor""",False,False,2024-05-27T21:18:40Z,2024-05-28T18:09:12Z,2024-05-28 18:09:12+00:00,2024-05-27 21:18:40+00:00,2024-05-28 18:09:12+00:00
