owner,repo,repo_full,run_id,workflow_name,event,status,conclusion,created_at,run_started_at,updated_at,head_sha,pr_numbers,run_started_dt,updated_dt,ci_duration_min,is_failure,is_cd_workflow
docker,cli,docker/cli,11895634294,codeql,pull_request,completed,success,2024-11-18T15:28:02Z,2024-11-27T14:06:58Z,2026-01-02T06:35:29Z,43dd6ea46417c76750c6be8d9159e650783d41d1,[],2024-11-27 14:06:58+00:00,2026-01-02 06:35:29+00:00,576988.5166666667,False,False
docker,cli,docker/cli,11895634299,validate,pull_request,completed,success,2024-11-18T15:28:02Z,2024-11-27T14:06:58Z,2026-01-02T06:29:29Z,43dd6ea46417c76750c6be8d9159e650783d41d1,[],2024-11-27 14:06:58+00:00,2026-01-02 06:29:29+00:00,576982.5166666667,False,False
docker,cli,docker/cli,11895634319,build,pull_request,completed,success,2024-11-18T15:28:02Z,2024-11-27T14:06:58Z,2026-01-02T06:29:29Z,43dd6ea46417c76750c6be8d9159e650783d41d1,[],2024-11-27 14:06:58+00:00,2026-01-02 06:29:29+00:00,576982.5166666667,False,False
docker,cli,docker/cli,11895634244,test,pull_request,completed,failure,2024-11-18T15:28:01Z,2024-11-27T14:06:58Z,2026-01-02T06:29:29Z,43dd6ea46417c76750c6be8d9159e650783d41d1,[],2024-11-27 14:06:58+00:00,2026-01-02 06:29:29+00:00,576982.5166666667,True,False
docker,cli,docker/cli,11895634258,e2e,pull_request,completed,success,2024-11-18T15:28:01Z,2024-11-27T14:06:58Z,2026-01-02T06:35:29Z,43dd6ea46417c76750c6be8d9159e650783d41d1,[],2024-11-27 14:06:58+00:00,2026-01-02 06:35:29+00:00,576988.5166666667,False,False
docker,cli,docker/cli,12223513000,build,push,completed,success,2024-12-08T16:40:37Z,2024-12-08T16:40:37Z,2026-01-12T16:49:37Z,57ec2c7d7221619552ac0ec9e5fc9410e0adb288,[],2024-12-08 16:40:37+00:00,2026-01-12 16:49:37+00:00,576009.0,False,False
docker,cli,docker/cli,12223513005,validate,push,completed,success,2024-12-08T16:40:37Z,2024-12-08T16:40:37Z,2026-01-12T16:44:48Z,57ec2c7d7221619552ac0ec9e5fc9410e0adb288,[],2024-12-08 16:40:37+00:00,2026-01-12 16:44:48+00:00,576004.1833333333,False,False
docker,cli,docker/cli,12223513008,test,push,completed,success,2024-12-08T16:40:37Z,2024-12-08T16:40:37Z,2026-01-12T16:44:48Z,57ec2c7d7221619552ac0ec9e5fc9410e0adb288,[],2024-12-08 16:40:37+00:00,2026-01-12 16:44:48+00:00,576004.1833333333,False,False
docker,cli,docker/cli,12223513014,e2e,push,completed,success,2024-12-08T16:40:37Z,2024-12-08T16:40:37Z,2026-01-12T16:44:37Z,57ec2c7d7221619552ac0ec9e5fc9410e0adb288,[],2024-12-08 16:40:37+00:00,2026-01-12 16:44:37+00:00,576004.0,False,False
docker,cli,docker/cli,12223513033,codeql,push,completed,success,2024-12-08T16:40:37Z,2024-12-08T16:40:37Z,2026-01-12T16:44:37Z,57ec2c7d7221619552ac0ec9e5fc9410e0adb288,[],2024-12-08 16:40:37+00:00,2026-01-12 16:44:37+00:00,576004.0,False,False
docker,cli,docker/cli,12223508708,validate-pr,pull_request,completed,success,2024-12-08T16:40:10Z,2024-12-08T16:40:10Z,2026-01-12T16:45:02Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-08 16:40:10+00:00,2026-01-12 16:45:02+00:00,576004.8666666667,False,False
docker,cli,docker/cli,12223508607,validate-pr,pull_request,completed,success,2024-12-08T16:40:08Z,2024-12-08T16:40:08Z,2026-01-12T16:45:02Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-08 16:40:08+00:00,2026-01-12 16:45:02+00:00,576004.9,False,False
docker,cli,docker/cli,12223508606,validate-pr,pull_request,completed,success,2024-12-08T16:40:08Z,2024-12-08T16:40:08Z,2026-01-12T16:45:02Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-08 16:40:08+00:00,2026-01-12 16:45:02+00:00,576004.9,False,False
docker,cli,docker/cli,12214432338,validate-pr,pull_request,completed,success,2024-12-07T16:31:10Z,2024-12-07T16:31:10Z,2026-01-11T16:33:28Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-07 16:31:10+00:00,2026-01-11 16:33:28+00:00,576002.3,False,False
docker,cli,docker/cli,12214416920,validate-pr,pull_request,completed,success,2024-12-07T16:28:30Z,2024-12-07T16:28:30Z,2026-01-11T16:33:36Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-07 16:28:30+00:00,2026-01-11 16:33:36+00:00,576005.1,False,False
docker,cli,docker/cli,12214416925,e2e,pull_request,completed,success,2024-12-07T16:28:30Z,2024-12-07T16:28:30Z,2026-01-11T16:37:34Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-07 16:28:30+00:00,2026-01-11 16:37:34+00:00,576009.0666666667,False,False
docker,cli,docker/cli,12214416927,test,pull_request,completed,success,2024-12-07T16:28:30Z,2024-12-07T16:28:30Z,2026-01-11T16:32:37Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-07 16:28:30+00:00,2026-01-11 16:32:37+00:00,576004.1166666667,False,False
docker,cli,docker/cli,12214416928,build,pull_request,completed,success,2024-12-07T16:28:30Z,2024-12-07T16:28:30Z,2026-01-11T16:32:37Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-07 16:28:30+00:00,2026-01-11 16:32:37+00:00,576004.1166666667,False,False
docker,cli,docker/cli,12214416946,validate,pull_request,completed,success,2024-12-07T16:28:30Z,2024-12-07T16:28:30Z,2026-01-11T16:32:50Z,190ebb50369e73c47b79c2023bf1a32b6848f04d,[],2024-12-07 16:28:30+00:00,2026-01-11 16:32:50+00:00,576004.3333333334,False,False
docker,cli,docker/cli,12212502365,validate-pr,pull_request,completed,success,2024-12-07T11:27:55Z,2024-12-07T11:27:55Z,2026-01-11T11:33:28Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:55+00:00,2026-01-11 11:33:28+00:00,576005.55,False,False
docker,cli,docker/cli,12212500258,validate-pr,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:33:28Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:33:28+00:00,576005.95,False,False
docker,cli,docker/cli,12212500260,validate-pr,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:33:28Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:33:28+00:00,576005.95,False,False
docker,cli,docker/cli,12212500268,validate,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:32:41Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:32:41+00:00,576005.1666666666,False,False
docker,cli,docker/cli,12212500269,validate-pr,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:33:28Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:33:28+00:00,576005.95,False,False
docker,cli,docker/cli,12212500272,validate-pr,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:33:28Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:33:28+00:00,576005.95,False,False
docker,cli,docker/cli,12212500274,test,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:56:24Z,2026-01-11T12:00:31Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:56:24+00:00,2026-01-11 12:00:31+00:00,576004.1166666667,False,False
docker,cli,docker/cli,12212500275,e2e,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:32:37Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:32:37+00:00,576005.1,False,False
docker,cli,docker/cli,12212500276,build,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:32:41Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:32:41+00:00,576005.1666666666,False,False
docker,cli,docker/cli,12212500281,codeql,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:32:36Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:32:36+00:00,576005.0833333334,False,False
docker,cli,docker/cli,12212500313,validate-pr,pull_request,completed,success,2024-12-07T11:27:31Z,2024-12-07T11:27:31Z,2026-01-11T11:33:28Z,b51a71148fa0b6120a46784b4b850468db01222c,[],2024-12-07 11:27:31+00:00,2026-01-11 11:33:28+00:00,576005.95,False,False
docker,cli,docker/cli,12212352703,codeql,pull_request,completed,success,2024-12-07T11:04:54Z,2024-12-07T11:04:54Z,2026-01-11T11:10:38Z,bd2f038888390dd8d6ae776b2e47fba14eef41c5,[],2024-12-07 11:04:54+00:00,2026-01-11 11:10:38+00:00,576005.7333333333,False,False
docker,cli,docker/cli,12212352705,test,pull_request,completed,success,2024-12-07T11:04:54Z,2024-12-07T11:04:54Z,2026-01-11T11:10:43Z,bd2f038888390dd8d6ae776b2e47fba14eef41c5,[],2024-12-07 11:04:54+00:00,2026-01-11 11:10:43+00:00,576005.8166666667,False,False
docker,cli,docker/cli,12212352710,validate,pull_request,completed,success,2024-12-07T11:04:54Z,2024-12-07T11:04:54Z,2026-01-11T11:10:49Z,bd2f038888390dd8d6ae776b2e47fba14eef41c5,[],2024-12-07 11:04:54+00:00,2026-01-11 11:10:49+00:00,576005.9166666666,False,False
docker,cli,docker/cli,12212352697,build,pull_request,completed,success,2024-12-07T11:04:53Z,2024-12-07T11:04:53Z,2026-01-11T11:10:43Z,bd2f038888390dd8d6ae776b2e47fba14eef41c5,[],2024-12-07 11:04:53+00:00,2026-01-11 11:10:43+00:00,576005.8333333334,False,False
docker,cli,docker/cli,12212352701,e2e,pull_request,completed,success,2024-12-07T11:04:53Z,2024-12-07T11:04:53Z,2026-01-11T11:10:37Z,bd2f038888390dd8d6ae776b2e47fba14eef41c5,[],2024-12-07 11:04:53+00:00,2026-01-11 11:10:37+00:00,576005.7333333333,False,False
docker,cli,docker/cli,12211842804,validate-pr,pull_request,completed,success,2024-12-07T09:38:25Z,2024-12-07T09:38:25Z,2026-01-11T09:41:57Z,3284a80b05ea0e25b33cfd8ed383ee105d18a5bd,[],2024-12-07 09:38:25+00:00,2026-01-11 09:41:57+00:00,576003.5333333333,False,False
docker,cli,docker/cli,12211842834,validate-pr,pull_request,completed,success,2024-12-07T09:38:25Z,2024-12-07T09:38:25Z,2026-01-11T09:41:57Z,3284a80b05ea0e25b33cfd8ed383ee105d18a5bd,[],2024-12-07 09:38:25+00:00,2026-01-11 09:41:57+00:00,576003.5333333333,False,False
docker,cli,docker/cli,12211840566,codeql,push,completed,success,2024-12-07T09:38:03Z,2024-12-07T09:38:03Z,2026-01-11T09:41:29Z,cede9c4679ba170cf549f8482fb8710c17623221,[],2024-12-07 09:38:03+00:00,2026-01-11 09:41:29+00:00,576003.4333333333,False,False
docker,cli,docker/cli,12211840568,test,push,completed,success,2024-12-07T09:38:03Z,2024-12-07T09:38:03Z,2026-01-11T09:41:39Z,cede9c4679ba170cf549f8482fb8710c17623221,[],2024-12-07 09:38:03+00:00,2026-01-11 09:41:39+00:00,576003.6,False,False
docker,cli,docker/cli,12211840571,e2e,push,completed,success,2024-12-07T09:38:03Z,2024-12-07T09:38:03Z,2026-01-11T09:47:34Z,cede9c4679ba170cf549f8482fb8710c17623221,[],2024-12-07 09:38:03+00:00,2026-01-11 09:47:34+00:00,576009.5166666667,False,False
docker,cli,docker/cli,12211840573,build,push,completed,success,2024-12-07T09:38:03Z,2024-12-07T09:38:03Z,2026-01-11T09:47:32Z,cede9c4679ba170cf549f8482fb8710c17623221,[],2024-12-07 09:38:03+00:00,2026-01-11 09:47:32+00:00,576009.4833333333,False,False
docker,cli,docker/cli,12211840574,validate,push,completed,success,2024-12-07T09:38:03Z,2024-12-07T09:38:03Z,2026-01-11T09:41:45Z,cede9c4679ba170cf549f8482fb8710c17623221,[],2024-12-07 09:38:03+00:00,2026-01-11 09:41:45+00:00,576003.7,False,False
docker,cli,docker/cli,12211769923,build,pull_request,completed,success,2024-12-07T09:26:48Z,2024-12-07T09:26:48Z,2026-01-11T09:35:39Z,5bf163914c5f737cd47f385118f8628cc3d266cc,[],2024-12-07 09:26:48+00:00,2026-01-11 09:35:39+00:00,576008.85,False,False
docker,cli,docker/cli,12211769931,validate,pull_request,completed,success,2024-12-07T09:26:48Z,2024-12-07T09:26:48Z,2026-01-11T09:29:46Z,5bf163914c5f737cd47f385118f8628cc3d266cc,[],2024-12-07 09:26:48+00:00,2026-01-11 09:29:46+00:00,576002.9666666667,False,False
docker,cli,docker/cli,12211769935,test,pull_request,completed,success,2024-12-07T09:26:48Z,2024-12-07T09:26:48Z,2026-01-11T09:35:39Z,5bf163914c5f737cd47f385118f8628cc3d266cc,[],2024-12-07 09:26:48+00:00,2026-01-11 09:35:39+00:00,576008.85,False,False
docker,cli,docker/cli,12211769936,e2e,pull_request,completed,success,2024-12-07T09:26:48Z,2024-12-07T09:26:48Z,2026-01-11T09:35:33Z,5bf163914c5f737cd47f385118f8628cc3d266cc,[],2024-12-07 09:26:48+00:00,2026-01-11 09:35:33+00:00,576008.75,False,False
docker,cli,docker/cli,12211735087,validate-pr,pull_request,completed,success,2024-12-07T09:21:12Z,2024-12-07T09:21:12Z,2026-01-11T09:25:42Z,cfe264b8e805bf61f09cffff9d7dfd851c347470,[],2024-12-07 09:21:12+00:00,2026-01-11 09:25:42+00:00,576004.5,False,False
