owner,repo,repo_full,run_id,workflow_name,event,status,conclusion,created_at,run_started_at,updated_at,head_sha,pr_numbers,run_started_dt,updated_dt,ci_duration_min,is_failure,is_cd_workflow
tektoncd,pipeline,tektoncd/pipeline,12204326612,go_modules in /tools - Update #928835709,dynamic,completed,success,2024-12-06T18:42:57Z,2024-12-06T18:42:57Z,2026-01-11T02:01:48Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 18:42:57+00:00,2026-01-11 02:01:48+00:00,576438.85,False,False
tektoncd,pipeline,tektoncd/pipeline,12204323624,go_modules in /. - Update #928835576,dynamic,completed,success,2024-12-06T18:42:42Z,2024-12-06T18:42:42Z,2026-01-11T02:07:37Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 18:42:42+00:00,2026-01-11 02:07:37+00:00,576444.9166666666,False,False
tektoncd,pipeline,tektoncd/pipeline,12204123163,go_modules in /test/custom-task-ctrls/wait-task-beta - Update #928825133,dynamic,completed,success,2024-12-06T18:28:23Z,2024-12-06T18:28:23Z,2026-01-11T01:55:45Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 18:28:23+00:00,2026-01-11 01:55:45+00:00,576447.3666666667,False,False
tektoncd,pipeline,tektoncd/pipeline,12201184741,Slash Command Routing,issue_comment,completed,success,2024-12-06T15:09:26Z,2024-12-06T15:09:26Z,2026-01-10T23:25:56Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 15:09:26+00:00,2026-01-10 23:25:56+00:00,576496.5,False,False
tektoncd,pipeline,tektoncd/pipeline,12201129107,Slash Command Routing,issue_comment,completed,success,2024-12-06T15:06:16Z,2024-12-06T15:06:16Z,2026-01-10T23:20:28Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 15:06:16+00:00,2026-01-10 23:20:28+00:00,576494.2,False,False
tektoncd,pipeline,tektoncd/pipeline,12201072431,Slash Command Routing,issue_comment,completed,success,2024-12-06T15:03:00Z,2024-12-06T15:03:00Z,2026-01-10T23:20:16Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 15:03:00+00:00,2026-01-10 23:20:16+00:00,576497.2666666667,False,False
tektoncd,pipeline,tektoncd/pipeline,12200680969,Rerun Failed Actions,repository_dispatch,completed,success,2024-12-06T14:37:20Z,2024-12-06T14:37:20Z,2026-01-10T23:02:16Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 14:37:20+00:00,2026-01-10 23:02:16+00:00,576504.9333333333,False,False
tektoncd,pipeline,tektoncd/pipeline,12200677922,Slash Command Routing,issue_comment,completed,success,2024-12-06T14:37:08Z,2024-12-06T14:37:08Z,2026-01-10T23:02:03Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 14:37:08+00:00,2026-01-10 23:02:03+00:00,576504.9166666666,False,False
tektoncd,pipeline,tektoncd/pipeline,12200668330,Scorecard supply-chain security,push,completed,success,2024-12-06T14:36:32Z,2024-12-06T14:36:32Z,2026-01-10T23:01:48Z,d306d649df2dbd2badaba6a90459efd05c753d2f,[3],2024-12-06 14:36:32+00:00,2026-01-10 23:01:48+00:00,576505.2666666667,False,False
tektoncd,pipeline,tektoncd/pipeline,12200657807,Slash Command Routing,issue_comment,completed,success,2024-12-06T14:35:51Z,2024-12-06T14:35:51Z,2026-01-10T22:56:32Z,0fc79e04e0d5a6185fc4053ce77f9a1471d79e07,[3],2024-12-06 14:35:51+00:00,2026-01-10 22:56:32+00:00,576500.6833333333,False,False
tektoncd,pipeline,tektoncd/pipeline,12200657071,Slash Command Routing,issue_comment,completed,success,2024-12-06T14:35:49Z,2024-12-06T14:35:49Z,2026-01-10T22:56:29Z,0fc79e04e0d5a6185fc4053ce77f9a1471d79e07,[3],2024-12-06 14:35:49+00:00,2026-01-10 22:56:29+00:00,576500.6666666666,False,False
tektoncd,pipeline,tektoncd/pipeline,12199888250,Slash Command Routing,issue_comment,completed,success,2024-12-06T13:45:13Z,2024-12-06T13:45:13Z,2026-01-10T22:20:00Z,0fc79e04e0d5a6185fc4053ce77f9a1471d79e07,[3],2024-12-06 13:45:13+00:00,2026-01-10 22:20:00+00:00,576514.7833333333,False,False
tektoncd,pipeline,tektoncd/pipeline,12199880962,Slash Command Routing,issue_comment,completed,success,2024-12-06T13:44:42Z,2024-12-06T13:44:42Z,2026-01-10T22:20:00Z,0fc79e04e0d5a6185fc4053ce77f9a1471d79e07,[3],2024-12-06 13:44:42+00:00,2026-01-10 22:20:00+00:00,576515.3,False,False
