owner,repo,repo_full,pr_number,created_at,merged_at,closed_at,state,is_draft,additions,deletions,changed_files,commit_count,author,merge_sha,first_review_at,review_count,created_at_dt,merged_at_dt,closed_at_dt,first_review_dt,done_at_dt,is_merged,pr_cycle_hours,review_latency_hours,review_duration_hours,pr_churn
docker,cli,docker/cli,6750,2026-01-16T08:47:32Z,2026-01-16T09:00:51Z,2026-01-16T09:00:51Z,MERGED,False,8,8,8,1,vvoland,533934c06314356a715cf60a6e4a3b997072b112,2026-01-16T09:00:43Z,1,2026-01-16 08:47:32+00:00,2026-01-16 09:00:51+00:00,2026-01-16 09:00:51+00:00,2026-01-16 09:00:43+00:00,2026-01-16 09:00:51+00:00,True,0.22194444444444444,0.21972222222222224,0.0022222222222222222,16
docker,cli,docker/cli,6747,2026-01-15T11:50:33Z,2026-01-15T13:20:51Z,2026-01-15T13:20:51Z,MERGED,False,1,1,1,1,vvoland,560c3c8fa33c2c2f921a6372ebf9b20559cb4881,2026-01-15T13:13:23Z,1,2026-01-15 11:50:33+00:00,2026-01-15 13:20:51+00:00,2026-01-15 13:20:51+00:00,2026-01-15 13:13:23+00:00,2026-01-15 13:20:51+00:00,True,1.505,1.3805555555555555,0.12444444444444444,2
docker,cli,docker/cli,6746,2026-01-15T10:45:43Z,2026-01-15T17:07:26Z,2026-01-15T17:07:26Z,MERGED,False,208,156,16,1,thaJeztah,7d2d923a5fb5ba3047886d27592e3140c186b654,2026-01-15T11:02:26Z,1,2026-01-15 10:45:43+00:00,2026-01-15 17:07:26+00:00,2026-01-15 17:07:26+00:00,2026-01-15 11:02:26+00:00,2026-01-15 17:07:26+00:00,True,6.361944444444444,0.2786111111111111,6.083333333333333,364
docker,cli,docker/cli,6745,2026-01-14T23:46:57Z,2026-01-16T11:33:02Z,2026-01-16T11:33:02Z,MERGED,False,1,5,1,1,thaJeztah,49b7be014693e407eb936aae12935d01c9ec0675,2026-01-16T11:32:56Z,1,2026-01-14 23:46:57+00:00,2026-01-16 11:33:02+00:00,2026-01-16 11:33:02+00:00,2026-01-16 11:32:56+00:00,2026-01-16 11:33:02+00:00,True,35.768055555555556,35.76638888888889,0.0016666666666666668,6
docker,cli,docker/cli,6744,2026-01-14T23:00:23Z,2026-01-16T11:33:23Z,2026-01-16T11:33:23Z,MERGED,False,5,16,1,2,thaJeztah,714f5bfae4a4750599f6ce5b6ac539992c3a2582,2026-01-16T11:33:17Z,1,2026-01-14 23:00:23+00:00,2026-01-16 11:33:23+00:00,2026-01-16 11:33:23+00:00,2026-01-16 11:33:17+00:00,2026-01-16 11:33:23+00:00,True,36.55,36.54833333333333,0.0016666666666666668,21
docker,cli,docker/cli,6742,2026-01-14T12:26:45Z,2026-01-14T22:56:08Z,2026-01-14T22:56:08Z,MERGED,False,118,33,9,1,thaJeztah,b43d4d8e7f198b194aa2b03324931677d91c04b2,2026-01-14T13:54:25Z,5,2026-01-14 12:26:45+00:00,2026-01-14 22:56:08+00:00,2026-01-14 22:56:08+00:00,2026-01-14 13:54:25+00:00,2026-01-14 22:56:08+00:00,True,10.489722222222222,1.461111111111111,9.028611111111111,151
docker,cli,docker/cli,6741,2026-01-13T14:44:56Z,2026-01-13T15:27:02Z,2026-01-13T15:27:02Z,MERGED,False,7,7,2,1,thaJeztah,6050e2bff96ec3e11337aaaee4008729c6fa0b96,2026-01-13T15:08:25Z,1,2026-01-13 14:44:56+00:00,2026-01-13 15:27:02+00:00,2026-01-13 15:27:02+00:00,2026-01-13 15:08:25+00:00,2026-01-13 15:27:02+00:00,True,0.7016666666666667,0.3913888888888889,0.31027777777777776,14
docker,cli,docker/cli,6740,2026-01-13T14:32:46Z,2026-01-14T08:46:57Z,2026-01-14T08:46:57Z,MERGED,False,33,0,2,1,thaJeztah,8f50791fef30158667529a4e72611481dc125ae1,2026-01-13T15:45:51Z,1,2026-01-13 14:32:46+00:00,2026-01-14 08:46:57+00:00,2026-01-14 08:46:57+00:00,2026-01-13 15:45:51+00:00,2026-01-14 08:46:57+00:00,True,18.23638888888889,1.2180555555555554,17.018333333333334,33
docker,cli,docker/cli,6739,2026-01-13T13:48:54Z,2026-01-13T15:18:58Z,2026-01-13T15:18:58Z,MERGED,False,3,4,2,1,thaJeztah,5d22eaae4b4efec242ffff6399d37b2835e263bf,2026-01-13T15:06:34Z,1,2026-01-13 13:48:54+00:00,2026-01-13 15:18:58+00:00,2026-01-13 15:18:58+00:00,2026-01-13 15:06:34+00:00,2026-01-13 15:18:58+00:00,True,1.501111111111111,1.2944444444444445,0.20666666666666667,7
docker,cli,docker/cli,6738,2026-01-13T13:47:46Z,2026-01-13T15:27:36Z,2026-01-13T15:27:36Z,MERGED,False,1,0,1,1,thaJeztah,07d7ef19f39ebd38dde28c353c683725ddd17c0b,2026-01-13T15:07:41Z,1,2026-01-13 13:47:46+00:00,2026-01-13 15:27:36+00:00,2026-01-13 15:27:36+00:00,2026-01-13 15:07:41+00:00,2026-01-13 15:27:36+00:00,True,1.663888888888889,1.3319444444444444,0.33194444444444443,1
