owner,repo,repo_full,run_id,workflow_name,event,status,conclusion,created_at,run_started_at,updated_at,head_sha,pr_numbers,run_started_dt,updated_dt,ci_duration_min,is_failure,is_cd_workflow
prometheus,prometheus,prometheus/prometheus,11687542758,CI,push,completed,failure,2024-11-05T15:39:06Z,2024-11-24T16:40:41Z,2025-12-29T16:53:29Z,8e39961fd7556baeabc1e1f3a6982d309261667e,[],2024-11-24 16:40:41+00:00,2025-12-29 16:53:29+00:00,576012.8,True,False
prometheus,prometheus,prometheus/prometheus,12129973790,CI,pull_request,completed,success,2024-12-02T23:41:05Z,2024-12-02T23:41:05Z,2026-01-07T07:52:32Z,0dc4f3d561bf00e5b0bc91d65c802600864c48c6,[],2024-12-02 23:41:05+00:00,2026-01-07 07:52:32+00:00,576491.45,False,False
prometheus,prometheus,prometheus/prometheus,12129973714,Scorecards supply-chain security,pull_request,completed,success,2024-12-02T23:41:04Z,2024-12-02T23:41:04Z,2026-01-07T07:34:58Z,0dc4f3d561bf00e5b0bc91d65c802600864c48c6,[],2024-12-02 23:41:04+00:00,2026-01-07 07:34:58+00:00,576473.9,False,False
prometheus,prometheus,prometheus/prometheus,12129750576,Lock Threads,schedule,completed,success,2024-12-02T23:21:43Z,2024-12-02T23:21:43Z,2026-01-07T07:11:09Z,48287b15d4fe3a2c9578982bdffeccdc0e14d1ef,"[93, 5, 3, 14]",2024-12-02 23:21:43+00:00,2026-01-07 07:11:09+00:00,576469.4333333333,False,False
prometheus,prometheus,prometheus/prometheus,12129020206,Stale Check,schedule,completed,success,2024-12-02T22:22:24Z,2024-12-02T22:22:24Z,2026-01-07T06:16:46Z,48287b15d4fe3a2c9578982bdffeccdc0e14d1ef,"[93, 5, 3, 14]",2024-12-02 22:22:24+00:00,2026-01-07 06:16:46+00:00,576474.3666666667,False,False
prometheus,prometheus,prometheus/prometheus,12124974310,Sync repo files,schedule,completed,success,2024-12-02T17:46:22Z,2024-12-02T17:46:22Z,2026-01-07T00:58:41Z,48287b15d4fe3a2c9578982bdffeccdc0e14d1ef,"[93, 5, 3, 14]",2024-12-02 17:46:22+00:00,2026-01-07 00:58:41+00:00,576432.3166666667,False,False
prometheus,prometheus,prometheus/prometheus,12124371777,Scorecards supply-chain security,push,completed,success,2024-12-02T17:09:28Z,2024-12-02T17:09:28Z,2026-01-07T00:04:51Z,48287b15d4fe3a2c9578982bdffeccdc0e14d1ef,"[93, 5, 3, 14]",2024-12-02 17:09:28+00:00,2026-01-07 00:04:51+00:00,576415.3833333333,False,False
prometheus,prometheus,prometheus/prometheus,12124371794,buf.build,push,completed,success,2024-12-02T17:09:28Z,2024-12-02T17:09:28Z,2026-01-07T00:05:11Z,48287b15d4fe3a2c9578982bdffeccdc0e14d1ef,"[93, 5, 3, 14]",2024-12-02 17:09:28+00:00,2026-01-07 00:05:11+00:00,576415.7166666667,False,False
prometheus,prometheus,prometheus/prometheus,12124371824,CI,push,completed,success,2024-12-02T17:09:28Z,2024-12-02T17:09:28Z,2026-01-07T00:34:32Z,48287b15d4fe3a2c9578982bdffeccdc0e14d1ef,"[93, 5, 3, 14]",2024-12-02 17:09:28+00:00,2026-01-07 00:34:32+00:00,576445.0666666667,False,False
prometheus,prometheus,prometheus/prometheus,12123761888,Scorecards supply-chain security,push,completed,success,2024-12-02T16:33:52Z,2024-12-02T16:33:52Z,2026-01-06T23:16:50Z,92fdf651876a8fad171c1c8fe7162dd8787e70b9,"[93, 5, 3, 14]",2024-12-02 16:33:52+00:00,2026-01-06 23:16:50+00:00,576402.9666666667,False,False
prometheus,prometheus,prometheus/prometheus,12123761889,CI,push,completed,success,2024-12-02T16:33:52Z,2024-12-02T16:33:52Z,2026-01-06T23:46:32Z,92fdf651876a8fad171c1c8fe7162dd8787e70b9,"[93, 5, 3, 14]",2024-12-02 16:33:52+00:00,2026-01-06 23:46:32+00:00,576432.6666666666,False,False
prometheus,prometheus,prometheus/prometheus,12123761900,buf.build,push,completed,success,2024-12-02T16:33:52Z,2024-12-02T16:33:52Z,2026-01-06T23:17:05Z,92fdf651876a8fad171c1c8fe7162dd8787e70b9,"[93, 5, 3, 14]",2024-12-02 16:33:52+00:00,2026-01-06 23:17:05+00:00,576403.2166666667,False,False
prometheus,prometheus,prometheus/prometheus,12121488440,CodeQL,schedule,completed,success,2024-12-02T14:31:26Z,2024-12-02T14:31:26Z,2026-01-06T20:16:50Z,cd1f8ac129a289be8e7d98b6de57a9ba5814c406,"[93, 5, 3, 14]",2024-12-02 14:31:26+00:00,2026-01-06 20:16:50+00:00,576345.4,False,False
prometheus,prometheus,prometheus/prometheus,12121342467,CI,pull_request,completed,success,2024-12-02T14:23:44Z,2024-12-02T14:23:44Z,2026-01-06T20:28:32Z,53eb1fe71f4c22c6687200c2faa66bfc6c37e0ac,[],2024-12-02 14:23:44+00:00,2026-01-06 20:28:32+00:00,576364.8,False,False
prometheus,prometheus,prometheus/prometheus,12121342472,Scorecards supply-chain security,pull_request,completed,success,2024-12-02T14:23:44Z,2024-12-02T14:23:44Z,2026-01-06T20:05:03Z,53eb1fe71f4c22c6687200c2faa66bfc6c37e0ac,[],2024-12-02 14:23:44+00:00,2026-01-06 20:05:03+00:00,576341.3166666667,False,False
prometheus,prometheus,prometheus/prometheus,12121090395,CI,pull_request,completed,success,2024-12-02T14:10:03Z,2024-12-02T14:10:03Z,2026-01-06T20:04:33Z,90e832c861df33e17b7240ddf1d57441860953dd,[],2024-12-02 14:10:03+00:00,2026-01-06 20:04:33+00:00,576354.5,False,False
